branch,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
classical,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_Ym,union,240,0,0.0
classical,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_Ym,family_v12,240,0,0.0
classical,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_Ym,family,240,0,0.0
classical,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY,union,240,218,0.9083333333333333
classical,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY,family_v12,240,206,0.8583333333333333
classical,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY,family,240,203,0.8458333333333333
classical,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY_trusted,exact,240,133,0.5541666666666667
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_X,union,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_X,family_v12,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_X,family,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XF,union,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XF,family_v12,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XF,family,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_Ym,union,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_Ym,family_v12,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_Ym,family,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY,union,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY,family_v12,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY,family,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY_trusted,exact,240,18,0.075
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_X,union,240,38,0.15833333333333333
classical,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_X,family_v12,240,34,0.14166666666666666
