gate,protocol,dataset_tag,svd_dim,split_seed,model_seed,model,attack,attack_family,attack_priority_group,attack_class,mechanism,strength,impact_bal_acc,bal_acc,bal_acc_clean,delta_bal_acc,integrity_jsd_vs_clean_eval,integrity_mmd_vs_clean_eval,integrity_ks_reject05_vs_clean_eval,integrity_score_jsd_vs_clean_eval,integrity_pred_pos_rate_shift,integrity_pred_jsd,integrity_label_prior_shift,integrity_label_jsd,integrity_confusion_profile_l1,integrity_confusion_profile_jsd,integrity_pred_disagreement,integrity_confusion_profile_l1_delta,integrity_confusion_profile_jsd_delta,label_flip_rate,atk_family,atk_strength,atk_alpha,atk_strength_nominal,atk_strength_eff,atk_delta,atk_per_feature,atk_dvec_mean,atk_dvec_std,atk_priority_group,atk_mechanism,atk_window_sd,atk_min_mass,atk_frozen_entry_fraction,atk_perturbed_entry_fraction,atk_fully_frozen_row_fraction,atk_max_feature_frozen_fraction,atk_min_feature_frozen_fraction,atk_mean_abs_delta,atk_mean_abs_delta_moved,atk_max_abs_delta,atk_n_samples,atk_n_features
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,mean_shift_pf_delta_0.020,covariate_shift,core,control,mean_shift,0.02,0.0,0.75,0.75,0.0,0.140303620018776,0.0,1.0,0.1112780481805162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,covariate_shift,0.0190889423875714,,0.02,0.0190889423875714,0.02,1.0,-0.0081900767577851,0.0172426901664911,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,mean_shift_pf_delta_0.050,covariate_shift,core,control,mean_shift,0.05,0.0,0.75390625,0.75,-0.00390625,0.1335280436227049,0.0,1.0,0.4412779486179553,0.00390625,8.525620894431468e-06,0.0,0.0,0.0078125,1.5768084440617573e-05,0.01171875,0.0078125,1.5768084440617573e-05,,covariate_shift,0.0494765471799803,,0.05,0.0494765471799803,0.05,1.0,0.0018974862855087,0.0494401483275397,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,mean_shift_pf_delta_0.100,covariate_shift,core,control,mean_shift,0.1,0.015625,0.734375,0.75,0.015625,0.2838127365094041,0.0367960073345601,1.0,0.5268500417845412,0.015625,0.0001384372770281,0.0,0.0,0.03125,0.0002491107163117,0.0234375,0.03125,0.0002491107163117,,covariate_shift,0.1236008015476575,,0.1,0.1236008015476575,0.1,1.0,0.0109893087297652,0.1231113042610845,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,scaling_drift_alpha_0.020,covariate_shift,core,control,scaling_drift,0.02,0.00390625,0.74609375,0.75,0.00390625,0.0711501170951056,0.0,0.875,0.4717737237581637,0.00390625,8.525620894431468e-06,0.0,0.0,0.0078125,4.666389468980874e-05,0.00390625,0.0078125,4.666389468980874e-05,,covariate_shift,0.02,0.02,,,,,,,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,scaling_drift_alpha_0.050,covariate_shift,core,control,scaling_drift,0.05,0.02734375,0.72265625,0.75,0.02734375,0.2409702694271245,0.0290525799268474,0.875,0.5281707990344264,0.02734375,0.0004111043140826,0.0,0.0,0.0546875,0.0018772957751487,0.03515625,0.0546875,0.0018772957751487,,covariate_shift,0.05,0.05,,,,,,,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,scaling_drift_alpha_0.100,covariate_shift,core,control,scaling_drift,0.1,0.1328125,0.6171875,0.75,0.1328125,0.3581963255401914,0.0996187961106904,1.0,0.5470078687276576,0.5,0.1359783530825955,0.0,0.0,1.0,0.1682266765342544,0.515625,1.0,0.1682266765342544,,covariate_shift,0.1,0.1,,,,,,,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.020,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.02,0.00390625,0.76953125,0.7734375,0.00390625,0.007486554567142,0.0,0.0,0.0576331652414445,0.00390625,9.103040205248958e-06,0.0,0.0,0.0078125,0.0001439093135599,0.00390625,0.0078125,0.0001439093135599,,adaptive_covariate_shift,0.02,,0.02,0.0073928074101435,,,,,adaptive,mean_shift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.0073928074101435,0.0198954922154718,0.0308588568910652,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.050,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.05,0.0,0.78125,0.7734375,-0.0078125,0.0169008315872326,0.0,0.0,0.1351421093836736,0.015625,0.00014406260755,0.0,0.0,0.03125,0.0002850518324319,0.0234375,0.03125,0.0002850518324319,,adaptive_covariate_shift,0.05,,0.05,0.0148272317186578,,,,,adaptive,mean_shift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.0148272317186578,0.0399029836528401,0.0606128814866524,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.100,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.1,0.01171875,0.76171875,0.7734375,0.01171875,0.0484963575283866,0.0,0.25,0.156875530684001,0.04296875,0.0010641192060348,0.0,0.0,0.0859375,0.0043318862628805,0.06640625,0.0859375,0.0043318862628805,,adaptive_covariate_shift,0.1,,0.1,0.0295955849975257,,,,,adaptive,mean_shift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.0295955849975257,0.0796475138961007,0.1209609799766111,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.250,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.25,0.03515625,0.73828125,0.7734375,0.03515625,0.092478954903423,0.0,0.5,0.1866307784236172,0.01953125,0.0002243041607745,0.0,0.0,0.0703125,0.0041422732768479,0.05859375,0.0703125,0.0041422732768479,,adaptive_covariate_shift,0.25,,0.25,0.0787744120905615,,,,,adaptive,mean_shift,0.01,0.05,0.62841796875,0.37158203125,0.39453125,0.8125,0.5390625,0.0787744120905615,0.2119973665722338,0.3101339031642887,256.0,8.0
