regime,policy,policy_class,tau,attack,attack_class,mechanism,strength,n,n_material,unsafe_allow,true_hold,true_block,immaterial_allow,integrity_only_hold_block,containment,unsafe_allow_rate
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,600,124,15,109,0,218,258,0.8790322580645161,0.12096774193548387
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,600,431,54,377,0,71,98,0.8747099767981439,0.12529002320185614
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,600,282,16,266,0,109,209,0.9432624113475178,0.05673758865248227
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,600,196,6,190,0,119,285,0.9693877551020408,0.030612244897959183
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,600,485,36,449,0,20,95,0.9257731958762887,0.07422680412371134
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,600,320,15,305,0,41,239,0.953125,0.046875
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,600,211,1,210,0,55,334,0.995260663507109,0.004739336492890996
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,mean_shift_pf_delta_0.020,control,mean_shift,0.02,600,197,0,197,0,0,403,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,mean_shift_pf_delta_0.020,control,mean_shift,0.02,600,59,0,59,0,0,541,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,mean_shift_pf_delta_0.020,control,mean_shift,0.02,600,35,0,35,0,0,565,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,mean_shift_pf_delta_0.050,control,mean_shift,0.05,600,275,0,275,0,0,325,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,mean_shift_pf_delta_0.050,control,mean_shift,0.05,600,118,0,118,0,0,482,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,mean_shift_pf_delta_0.050,control,mean_shift,0.05,600,68,0,68,0,0,532,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,mean_shift_pf_delta_0.100,control,mean_shift,0.1,600,355,0,355,0,0,245,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,mean_shift_pf_delta_0.100,control,mean_shift,0.1,600,212,0,212,0,0,388,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,mean_shift_pf_delta_0.100,control,mean_shift,0.1,600,147,0,147,0,0,453,1.0,0.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,scaling_drift_alpha_0.020,control,scaling_drift,0.02,600,290,0,290,0,0,310,1.0,0.0
