all,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XFY,union,600,520,0.8666666666666667
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XFY,family_v12,600,487,0.8116666666666666
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XFY,family,600,474,0.79
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XFY_trusted,exact,600,442,0.7366666666666667
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_X,union,600,543,0.905
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_X,family_v12,600,534,0.89
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_X,family,600,534,0.89
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XF,union,600,561,0.935
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XF,family_v12,600,546,0.91
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XF,family,600,540,0.9
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_Ym,union,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY,union,600,563,0.9383333333333334
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY,family_v12,600,543,0.905
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY,family,600,535,0.8916666666666667
all_environments,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY_trusted,exact,600,474,0.79
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_X,union,600,42,0.07
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_X,family_v12,600,31,0.051666666666666666
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_X,family,600,30,0.05
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XF,union,600,166,0.27666666666666667
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XF,family_v12,600,143,0.23833333333333334
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XF,family,600,135,0.225
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_Ym,union,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY,union,600,166,0.27666666666666667
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY,family_v12,600,136,0.22666666666666666
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY,family,600,133,0.22166666666666668
all_environments,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY_trusted,exact,600,280,0.4666666666666667
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_X,union,600,232,0.38666666666666666
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_X,family_v12,600,211,0.3516666666666667
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_X,family,600,210,0.35
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XF,union,600,341,0.5683333333333334
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XF,family_v12,600,298,0.49666666666666665
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XF,family,600,280,0.4666666666666667
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_Ym,union,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY,union,600,341,0.5683333333333334
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY,family_v12,600,284,0.47333333333333333
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY,family,600,269,0.4483333333333333
all_environments,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY_trusted,exact,600,342,0.57
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_X,union,600,367,0.6116666666666667
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_X,family_v12,600,339,0.565
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_X,family,600,339,0.565
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XF,union,600,429,0.715
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XF,family_v12,600,404,0.6733333333333333
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XF,family,600,397,0.6616666666666666
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_Ym,union,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY,union,600,429,0.715
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY,family_v12,600,397,0.6616666666666666
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY,family,600,392,0.6533333333333333
all_environments,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY_trusted,exact,600,384,0.64
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_X,union,600,475,0.7916666666666666
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_X,family_v12,600,454,0.7566666666666667
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_X,family,600,453,0.755
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XF,union,600,511,0.8516666666666667
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XF,family_v12,600,483,0.805
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XF,family,600,474,0.79
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_Ym,union,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XFY,union,600,512,0.8533333333333334
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XFY,family_v12,600,479,0.7983333333333333
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XFY,family,600,463,0.7716666666666666
all_environments,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XFY_trusted,exact,600,464,0.7733333333333333
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_X,union,600,544,0.9066666666666666
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_X,family_v12,600,527,0.8783333333333333
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_X,family,600,525,0.875
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XF,union,600,569,0.9483333333333334
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XF,family_v12,600,539,0.8983333333333333
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XF,family,600,530,0.8833333333333333
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_Ym,union,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XFY,union,600,569,0.9483333333333334
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XFY,family_v12,600,535,0.8916666666666667
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XFY,family,600,518,0.8633333333333333
all_environments,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XFY_trusted,exact,600,523,0.8716666666666667
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_X,union,600,600,1.0
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_X,family_v12,600,600,1.0
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_X,family,600,600,1.0
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XF,union,600,600,1.0
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XF,family_v12,600,598,0.9966666666666667
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XF,family,600,584,0.9733333333333334
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_Ym,union,600,0,0.0
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_Ym,family_v12,600,0,0.0
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_Ym,family,600,0,0.0
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XFY,union,600,600,1.0
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XFY,family_v12,600,597,0.995
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XFY,family,600,584,0.9733333333333334
all_environments,mean_shift_pf_delta_0.020,control,mean_shift,0.02,I_XFY_trusted,exact,600,214,0.3566666666666667
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_X,union,600,600,1.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_X,family_v12,600,600,1.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_X,family,600,600,1.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XF,union,600,600,1.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XF,family_v12,600,600,1.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XF,family,600,600,1.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_Ym,union,600,0,0.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_Ym,family_v12,600,0,0.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_Ym,family,600,0,0.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XFY,union,600,600,1.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XFY,family_v12,600,600,1.0
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XFY,family,600,599,0.9983333333333333
all_environments,mean_shift_pf_delta_0.050,control,mean_shift,0.05,I_XFY_trusted,exact,600,300,0.5
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_X,union,600,600,1.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_X,family_v12,600,600,1.0
all_environments,mean_shift_pf_delta_0.100,control,mean_shift,0.1,I_X,family,600,600,1.0
