gate,branch,svd_dim,n,perturbed_entry_fraction_mean,perturbed_entry_fraction_min,perturbed_entry_fraction_max,fully_frozen_row_fraction_mean
gate2_id_256,classical,8,100,0.382666015625,0.35400390625,0.4111328125,0.36875
gate2_id_256,classical,10,100,0.39738281250000007,0.3671875,0.427734375,0.36640625
gate2_id_256,classical,12,100,0.4107096354166667,0.3763020833333333,0.4401041666666666,0.35546875
gate2_id_256,quantum,8,100,0.382666015625,0.35400390625,0.4111328125,0.36875
gate2_id_256,quantum,10,100,0.39738281250000007,0.3671875,0.427734375,0.36640625
gate2_id_256,quantum,12,100,0.4107096354166667,0.3763020833333333,0.4401041666666666,0.35546875
gate3a_ood_tue_wed,classical,8,100,0.390625,0.353515625,0.4345703125,0.3484375
gate3a_ood_tue_wed,classical,10,100,0.40398437499999995,0.36875,0.4421874999999999,0.3390625
gate3a_ood_tue_wed,classical,12,100,0.41223958333333344,0.3717447916666666,0.4498697916666666,0.33359375
gate3a_ood_tue_wed,quantum,8,100,0.390625,0.353515625,0.4345703125,0.3484375
gate3a_ood_tue_wed,quantum,10,100,0.40398437499999995,0.36875,0.4421874999999999,0.3390625
gate3a_ood_tue_wed,quantum,12,100,0.41223958333333344,0.3717447916666666,0.4498697916666666,0.33359375
gate3b_ood_tue_fri_portscan,classical,8,100,0.18095703125,0.1396484375,0.2314453125,0.46875
gate3b_ood_tue_fri_portscan,classical,10,100,0.188125,0.14375,0.24140625,0.440625
gate3b_ood_tue_fri_portscan,classical,12,100,0.19010416666666663,0.150390625,0.2454427083333333,0.42578125
gate3b_ood_tue_fri_portscan,quantum,8,100,0.18095703125,0.1396484375,0.2314453125,0.46875
gate3b_ood_tue_fri_portscan,quantum,10,100,0.188125,0.14375,0.24140625,0.440625
gate3b_ood_tue_fri_portscan,quantum,12,100,0.19010416666666663,0.150390625,0.2454427083333333,0.42578125
gate3c_ood_wed_thu_webattacks,classical,8,100,0.2689453125,0.2216796875,0.3427734375,0.24765625
gate3c_ood_wed_thu_webattacks,classical,10,100,0.295703125,0.2515625,0.353125,0.18125
gate3c_ood_wed_thu_webattacks,classical,12,100,0.33183593750000007,0.267578125,0.3776041666666666,0.18125
gate3c_ood_wed_thu_webattacks,quantum,8,100,0.2689453125,0.2216796875,0.3427734375,0.24765625
gate3c_ood_wed_thu_webattacks,quantum,10,100,0.295703125,0.2515625,0.353125,0.18125
gate3c_ood_wed_thu_webattacks,quantum,12,100,0.33183593750000007,0.267578125,0.3776041666666666,0.18125
gate3d_ood_wed_fri_morning,classical,8,100,0.16044921875,0.1240234375,0.1787109375,0.4328125
gate3d_ood_wed_fri_morning,classical,10,100,0.16437499999999997,0.12421875,0.20703125,0.4015625
gate3d_ood_wed_fri_morning,classical,12,100,0.16445312499999992,0.1276041666666666,0.212890625,0.3953125
gate3d_ood_wed_fri_morning,quantum,8,100,0.16044921875,0.1240234375,0.1787109375,0.4328125
gate3d_ood_wed_fri_morning,quantum,10,100,0.16437499999999997,0.12421875,0.20703125,0.4015625
gate3d_ood_wed_fri_morning,quantum,12,100,0.16445312499999992,0.1276041666666666,0.212890625,0.3953125
gate5a_id_unsw,classical,8,100,0.47216796875,0.40234375,0.5224609375,0.05703125
gate5a_id_unsw,classical,10,100,0.42796874999999984,0.3703125,0.4851562499999999,0.03515625
gate5a_id_unsw,classical,12,100,0.44368489583333326,0.3912760416666666,0.4986979166666666,0.034375
gate5a_id_unsw,quantum,8,300,0.47216796875,0.40234375,0.5224609375,0.05703125
gate5a_id_unsw,quantum,10,300,0.4279687499999999,0.3703125,0.4851562499999999,0.03515625
gate5a_id_unsw,quantum,12,300,0.4436848958333333,0.3912760416666666,0.4986979166666666,0.034375
gate5b_id_ton_iot,classical,8,100,0.22958984375,0.1318359375,0.29296875,0.60859375
gate5b_id_ton_iot,classical,10,100,0.22890625,0.140625,0.2781249999999999,0.571875
gate5b_id_ton_iot,classical,12,100,0.23951822916666657,0.1393229166666666,0.3046875,0.49921875
gate5b_id_ton_iot,quantum,8,300,0.22958984375,0.1318359375,0.29296875,0.60859375
gate5b_id_ton_iot,quantum,10,300,0.22890625,0.140625,0.2781249999999999,0.571875
gate5b_id_ton_iot,quantum,12,300,0.23951822916666657,0.1393229166666666,0.3046875,0.49921875
gate6_ood_unsw,classical,8,100,0.473828125,0.3974609375,0.55078125,0.02578125
gate6_ood_unsw,classical,10,100,0.425234375,0.35546875,0.51015625,0.0125
gate6_ood_unsw,classical,12,100,0.4393880208333333,0.380859375,0.5169270833333333,0.0125
gate6_ood_unsw,quantum,8,100,0.473828125,0.3974609375,0.55078125,0.02578125
gate6_ood_unsw,quantum,10,100,0.425234375,0.35546875,0.51015625,0.0125
gate6_ood_unsw,quantum,12,100,0.4393880208333333,0.380859375,0.5169270833333333,0.0125
