gate,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,union,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,family_v12,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,family,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,union,60,4,0.06666666666666667
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,family_v12,60,2,0.03333333333333333
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,family,60,2,0.03333333333333333
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_Ym,union,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_Ym,family_v12,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_Ym,family,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY,union,60,4,0.06666666666666667
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY,family_v12,60,2,0.03333333333333333
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY,family,60,2,0.03333333333333333
gate2_id_256,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY_trusted,exact,60,16,0.26666666666666666
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,union,60,1,0.016666666666666666
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,family_v12,60,1,0.016666666666666666
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,family,60,1,0.016666666666666666
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,union,60,26,0.43333333333333335
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,family_v12,60,26,0.43333333333333335
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,family,60,26,0.43333333333333335
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_Ym,union,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_Ym,family_v12,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_Ym,family,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY,union,60,26,0.43333333333333335
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY,family_v12,60,26,0.43333333333333335
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY,family,60,25,0.4166666666666667
gate2_id_256,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY_trusted,exact,60,26,0.43333333333333335
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,union,60,54,0.9
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,family_v12,60,51,0.85
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,family,60,51,0.85
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XF,union,60,57,0.95
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XF,family_v12,60,55,0.9166666666666666
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XF,family,60,54,0.9
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_Ym,union,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_Ym,family_v12,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_Ym,family,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY,union,60,57,0.95
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY,family_v12,60,54,0.9
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY,family,60,54,0.9
gate2_id_256,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY_trusted,exact,60,31,0.5166666666666667
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_X,union,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_X,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_X,family,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XF,union,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XF,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XF,family,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_Ym,union,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_Ym,family_v12,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_Ym,family,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XFY,union,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XFY,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XFY,family,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XFY_trusted,exact,60,38,0.6333333333333333
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_X,union,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_X,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_X,family,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XF,union,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XF,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XF,family,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_Ym,union,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_Ym,family_v12,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_Ym,family,60,0,0.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY,union,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY,family,60,60,1.0
gate2_id_256,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,I_XFY_trusted,exact,60,52,0.8666666666666667
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_X,union,60,16,0.26666666666666666
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_X,family_v12,60,13,0.21666666666666667
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_X,family,60,13,0.21666666666666667
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XF,union,60,30,0.5
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XF,family_v12,60,30,0.5
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XF,family,60,30,0.5
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_Ym,union,60,0,0.0
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_Ym,family_v12,60,0,0.0
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_Ym,family,60,0,0.0
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY,union,60,30,0.5
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY,family_v12,60,30,0.5
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY,family,60,30,0.5
gate2_id_256,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,I_XFY_trusted,exact,60,30,0.5
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_X,union,60,43,0.7166666666666667
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_X,family_v12,60,42,0.7
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_X,family,60,42,0.7
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XF,union,60,43,0.7166666666666667
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XF,family_v12,60,41,0.6833333333333333
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XF,family,60,40,0.6666666666666666
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_Ym,union,60,0,0.0
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_Ym,family_v12,60,0,0.0
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_Ym,family,60,0,0.0
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY,union,60,43,0.7166666666666667
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY,family_v12,60,40,0.6666666666666666
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY,family,60,39,0.65
gate2_id_256,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,I_XFY_trusted,exact,60,34,0.5666666666666667
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_X,union,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_X,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_X,family,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XF,union,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XF,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XF,family,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_Ym,union,60,0,0.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_Ym,family_v12,60,0,0.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_Ym,family,60,0,0.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY,union,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY,family,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY_trusted,exact,60,37,0.6166666666666667
gate2_id_256,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_X,union,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_X,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_X,family,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XF,union,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XF,family_v12,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XF,family,60,60,1.0
gate2_id_256,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_Ym,union,60,0,0.0
