scope_type,scope,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,response_rate,clean_n_fire,paired_clean_false_action_rate,attack_only,clean_only,both_fire,neither_fire,n_material_tau0,material_fraction_tau0,material_fraction_tau002,material_fraction_tau005,mean_signed_delta_bal_acc,prediction_change_rate
pooled,all_environments,sham_tiny_gaussian_sigma_0.001,near_null,tiny_gaussian,0.001,I_X,union,600,495,0.825,98,0.16333333333333333,397,0,98,105,27,0.045,0.0033333333333333335,0.0,-6.094932203437383e-05,0.04833333333333333
pooled,all_environments,sham_tiny_gaussian_sigma_0.001,near_null,tiny_gaussian,0.001,I_X,family,600,382,0.6366666666666667,37,0.06166666666666667,345,0,37,218,27,0.045,0.0033333333333333335,0.0,-6.094932203437383e-05,0.04833333333333333
pooled,all_environments,sham_tiny_gaussian_sigma_0.001,near_null,tiny_gaussian,0.001,I_XF,union,600,512,0.8533333333333334,149,0.24833333333333332,363,0,149,88,27,0.045,0.0033333333333333335,0.0,-6.094932203437383e-05,0.04833333333333333
pooled,all_environments,sham_tiny_gaussian_sigma_0.001,near_null,tiny_gaussian,0.001,I_XF,family,600,341,0.5683333333333334,43,0.07166666666666667,299,1,42,258,27,0.045,0.0033333333333333335,0.0,-6.094932203437383e-05,0.04833333333333333
pooled,all_environments,sham_tiny_gaussian_sigma_0.001,near_null,tiny_gaussian,0.001,I_Ym,union,600,48,0.08,48,0.08,0,0,48,552,27,0.045,0.0033333333333333335,0.0,-6.094932203437383e-05,0.04833333333333333
pooled,all_environments,sham_tiny_gaussian_sigma_0.001,near_null,tiny_gaussian,0.001,I_Ym,family,600,48,0.08,48,0.08,0,0,48,552,27,0.045,0.0033333333333333335,0.0,-6.094932203437383e-05,0.04833333333333333
pooled,all_environments,sham_tiny_gaussian_sigma_0.001,near_null,tiny_gaussian,0.001,I_XFY,union,600,532,0.8866666666666667,191,0.31833333333333336,341,0,191,68,27,0.045,0.0033333333333333335,0.0,-6.094932203437383e-05,0.04833333333333333
pooled,all_environments,sham_tiny_gaussian_sigma_0.001,near_null,tiny_gaussian,0.001,I_XFY,family,600,325,0.5416666666666666,43,0.07166666666666667,283,1,42,274,27,0.045,0.0033333333333333335,0.0,-6.094932203437383e-05,0.04833333333333333
pooled,all_environments,sham_tiny_scaling_alpha_0.001,near_null,tiny_scaling,0.001,I_X,union,600,587,0.9783333333333334,98,0.16333333333333333,489,0,98,13,57,0.095,0.008333333333333333,0.0016666666666666668,-5.666602614274179e-05,0.095
pooled,all_environments,sham_tiny_scaling_alpha_0.001,near_null,tiny_scaling,0.001,I_X,family,600,493,0.8216666666666667,37,0.06166666666666667,456,0,37,107,57,0.095,0.008333333333333333,0.0016666666666666668,-5.666602614274179e-05,0.095
pooled,all_environments,sham_tiny_scaling_alpha_0.001,near_null,tiny_scaling,0.001,I_XF,union,600,589,0.9816666666666667,149,0.24833333333333332,440,0,149,11,57,0.095,0.008333333333333333,0.0016666666666666668,-5.666602614274179e-05,0.095
pooled,all_environments,sham_tiny_scaling_alpha_0.001,near_null,tiny_scaling,0.001,I_XF,family,600,485,0.8083333333333333,43,0.07166666666666667,442,0,43,115,57,0.095,0.008333333333333333,0.0016666666666666668,-5.666602614274179e-05,0.095
pooled,all_environments,sham_tiny_scaling_alpha_0.001,near_null,tiny_scaling,0.001,I_Ym,union,600,48,0.08,48,0.08,0,0,48,552,57,0.095,0.008333333333333333,0.0016666666666666668,-5.666602614274179e-05,0.095
pooled,all_environments,sham_tiny_scaling_alpha_0.001,near_null,tiny_scaling,0.001,I_Ym,family,600,48,0.08,48,0.08,0,0,48,552,57,0.095,0.008333333333333333,0.0016666666666666668,-5.666602614274179e-05,0.095
pooled,all_environments,sham_tiny_scaling_alpha_0.001,near_null,tiny_scaling,0.001,I_XFY,union,600,589,0.9816666666666667,191,0.31833333333333336,398,0,191,11,57,0.095,0.008333333333333333,0.0016666666666666668,-5.666602614274179e-05,0.095
pooled,all_environments,sham_tiny_scaling_alpha_0.001,near_null,tiny_scaling,0.001,I_XFY,family,600,457,0.7616666666666667,43,0.07166666666666667,415,1,42,142,57,0.095,0.008333333333333333,0.0016666666666666668,-5.666602614274179e-05,0.095
environment,gate2_id_256,sham_tiny_gaussian_sigma_0.001,near_null,tiny_gaussian,0.001,I_X,union,60,60,1.0,13,0.21666666666666667,47,0,13,0,2,0.03333333333333333,0.0,0.0,0.000136056688435735,0.03333333333333333
