mechanism,strength,regime,rule,n_environment_split_cells,cells_adaptive_lower,cells_equal,cells_adaptive_higher,fraction_cells_adaptive_lower,aligned_control_response,aligned_adaptive_response,aligned_response_difference_adaptive_minus_control,aligned_control_material_fraction_tau0,aligned_adaptive_material_fraction_tau0,aligned_control_material_rows,aligned_adaptive_material_rows,aligned_adaptive_material_nonresponse_rows,aligned_adaptive_material_nonresponse_fraction,aligned_adaptive_response_among_material,original_control_response,original_adaptive_response,original_control_material_fraction_tau0,original_adaptive_material_fraction_tau0
mean_shift,0.02,I_X,union,40,40,0,0,1.0,1.0,0.29333333333333333,-0.7066666666666667,0.36333333333333334,0.26166666666666666,218,157,117,0.7452229299363057,0.25477707006369427,1.0,0.01,0.3283333333333333,0.29
mean_shift,0.02,I_X,family,40,40,0,0,1.0,1.0,0.185,-0.815,0.36333333333333334,0.26166666666666666,218,157,131,0.8343949044585988,0.16560509554140126,1.0,0.0066666666666666,0.3283333333333333,0.29
mean_shift,0.02,I_XF,union,40,39,1,0,0.975,1.0,0.55,-0.44999999999999996,0.36333333333333334,0.26166666666666666,218,157,59,0.37579617834394907,0.6242038216560509,1.0,0.0966666666666666,0.3283333333333333,0.29
mean_shift,0.02,I_XF,family,40,39,1,0,0.975,0.9933333333333333,0.29833333333333334,-0.695,0.36333333333333334,0.26166666666666666,218,157,100,0.6369426751592356,0.3630573248407643,0.9733333333333334,0.06,0.3283333333333333,0.29
mean_shift,0.05,I_X,union,40,35,5,0,0.875,1.0,0.49166666666666664,-0.5083333333333333,0.5083333333333333,0.4483333333333333,305,269,129,0.4795539033457249,0.5204460966542751,1.0,0.095,0.4583333333333333,0.395
mean_shift,0.05,I_X,family,40,37,3,0,0.925,1.0,0.39166666666666666,-0.6083333333333334,0.5083333333333333,0.4483333333333333,305,269,155,0.5762081784386617,0.42379182156133827,1.0,0.0783333333333333,0.4583333333333333,0.395
mean_shift,0.05,I_XF,union,40,33,7,0,0.825,1.0,0.72,-0.28,0.5083333333333333,0.4483333333333333,305,269,57,0.21189591078066913,0.7881040892193308,1.0,0.31,0.4583333333333333,0.395
mean_shift,0.05,I_XF,family,40,38,2,0,0.95,1.0,0.535,-0.46499999999999997,0.5083333333333333,0.4483333333333333,305,269,95,0.35315985130111527,0.6468401486988847,1.0,0.2366666666666666,0.4583333333333333,0.395
mean_shift,0.1,I_X,union,40,25,15,0,0.625,1.0,0.735,-0.265,0.6216666666666667,0.5933333333333334,373,356,80,0.2247191011235955,0.7752808988764045,1.0,0.4,0.5916666666666667,0.5366666666666666
mean_shift,0.1,I_X,family,40,29,11,0,0.725,1.0,0.62,-0.38,0.6216666666666667,0.5933333333333334,373,356,121,0.3398876404494382,0.6601123595505618,1.0,0.3416666666666667,0.5916666666666667,0.5366666666666666
mean_shift,0.1,I_XF,union,40,22,18,0,0.55,1.0,0.8633333333333333,-0.13666666666666671,0.6216666666666667,0.5933333333333334,373,356,32,0.0898876404494382,0.9101123595505618,1.0,0.5966666666666667,0.5916666666666667,0.5366666666666666
mean_shift,0.1,I_XF,family,40,31,9,0,0.775,1.0,0.7233333333333334,-0.2766666666666666,0.6216666666666667,0.5933333333333334,373,356,77,0.21629213483146068,0.7837078651685393,1.0,0.4833333333333333,0.5916666666666667,0.5366666666666666
scaling_drift,0.02,I_X,union,40,40,0,0,1.0,1.0,0.44166666666666665,-0.5583333333333333,0.5116666666666667,0.4166666666666667,307,250,115,0.46,0.54,1.0,0.07,0.4833333333333333,0.4016666666666666
scaling_drift,0.02,I_X,family,40,40,0,0,1.0,1.0,0.33,-0.6699999999999999,0.5116666666666667,0.4166666666666667,307,250,141,0.564,0.436,0.995,0.05,0.4833333333333333,0.4016666666666666
scaling_drift,0.02,I_XF,union,40,39,1,0,0.975,1.0,0.6433333333333333,-0.3566666666666667,0.5116666666666667,0.4166666666666667,307,250,42,0.168,0.832,1.0,0.2766666666666666,0.4833333333333333,0.4016666666666666
scaling_drift,0.02,I_XF,family,40,40,0,0,1.0,0.9966666666666667,0.48833333333333334,-0.5083333333333333,0.5116666666666667,0.4166666666666667,307,250,72,0.288,0.712,0.9633333333333334,0.225,0.4833333333333333,0.4016666666666666
scaling_drift,0.05,I_X,union,40,29,11,0,0.725,1.0,0.6716666666666666,-0.32833333333333337,0.6116666666666667,0.5583333333333333,367,335,82,0.24477611940298508,0.755223880597015,1.0,0.3866666666666666,0.575,0.5216666666666666
scaling_drift,0.05,I_X,family,40,29,11,0,0.725,1.0,0.5866666666666667,-0.41333333333333333,0.6116666666666667,0.5583333333333333,367,335,110,0.3283582089552239,0.6716417910447762,1.0,0.35,0.575,0.5216666666666666
scaling_drift,0.05,I_XF,union,40,27,13,0,0.675,1.0,0.8033333333333333,-0.19666666666666666,0.6116666666666667,0.5583333333333333,367,335,25,0.07462686567164178,0.9253731343283582,1.0,0.5683333333333334,0.575,0.5216666666666666
scaling_drift,0.05,I_XF,family,40,30,10,0,0.75,1.0,0.6933333333333334,-0.30666666666666664,0.6116666666666667,0.5583333333333333,367,335,56,0.16716417910447762,0.8328358208955224,0.995,0.4666666666666667,0.575,0.5216666666666666
scaling_drift,0.1,I_X,union,40,24,16,0,0.6,1.0,0.8266666666666667,-0.17333333333333334,0.68,0.6666666666666666,408,400,31,0.0775,0.9225,1.0,0.6116666666666667,0.6433333333333333,0.5833333333333334
scaling_drift,0.1,I_X,family,40,25,15,0,0.625,1.0,0.75,-0.25,0.68,0.6666666666666666,408,400,56,0.14,0.86,1.0,0.565,0.6433333333333333,0.5833333333333334
scaling_drift,0.1,I_XF,union,40,20,20,0,0.5,1.0,0.8933333333333333,-0.10666666666666669,0.68,0.6666666666666666,408,400,10,0.025,0.975,1.0,0.715,0.6433333333333333,0.5833333333333334
scaling_drift,0.1,I_XF,family,40,26,14,0,0.65,1.0,0.8233333333333334,-0.17666666666666664,0.68,0.6666666666666666,408,400,24,0.06,0.94,1.0,0.6616666666666666,0.6433333333333333,0.5833333333333334
