response_kind,scope_type,scope,target,target_kind,rule,n,n_fire,false_action_rate,max_abs_response
clean_resample,pooled,all_environments,integrity_jsd_vs_clean_eval,sensor,per_sensor_or_union,12000,600,0.05,
clean_resample,pooled,all_environments,integrity_mmd_vs_clean_eval,sensor,per_sensor_or_union,12000,822,0.0685,
clean_resample,pooled,all_environments,integrity_ks_reject05_vs_clean_eval,sensor,per_sensor_or_union,12000,342,0.0285,
clean_resample,pooled,all_environments,integrity_score_jsd_vs_clean_eval,sensor,per_sensor_or_union,12000,668,0.0556666666666666,
clean_resample,pooled,all_environments,integrity_pred_pos_rate_shift,sensor,per_sensor_or_union,12000,520,0.0433333333333333,
clean_resample,pooled,all_environments,integrity_pred_jsd,sensor,per_sensor_or_union,12000,586,0.0488333333333333,
clean_resample,pooled,all_environments,integrity_label_prior_shift,sensor,per_sensor_or_union,12000,570,0.0475,
clean_resample,pooled,all_environments,integrity_label_jsd,sensor,per_sensor_or_union,12000,570,0.0475,
clean_resample,pooled,all_environments,integrity_confusion_profile_l1,sensor,per_sensor_or_union,12000,517,0.0430833333333333,
clean_resample,pooled,all_environments,integrity_confusion_profile_jsd,sensor,per_sensor_or_union,12000,638,0.0531666666666666,
clean_resample,pooled,all_environments,I_X,regime,per_sensor_or_union,12000,1500,0.125,
clean_resample,pooled,all_environments,I_XF,regime,per_sensor_or_union,12000,2438,0.2031666666666666,
clean_resample,pooled,all_environments,I_Ym,regime,per_sensor_or_union,12000,570,0.0475,
clean_resample,pooled,all_environments,I_XFY,regime,per_sensor_or_union,12000,3113,0.2594166666666667,
clean_resample,environment,gate2_id_256,integrity_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,156,0.13,
clean_resample,environment,gate2_id_256,integrity_mmd_vs_clean_eval,sensor,per_sensor_or_union,1200,65,0.0541666666666666,
clean_resample,environment,gate2_id_256,integrity_ks_reject05_vs_clean_eval,sensor,per_sensor_or_union,1200,58,0.0483333333333333,
clean_resample,environment,gate2_id_256,integrity_score_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,94,0.0783333333333333,
clean_resample,environment,gate2_id_256,integrity_pred_pos_rate_shift,sensor,per_sensor_or_union,1200,28,0.0233333333333333,
clean_resample,environment,gate2_id_256,integrity_pred_jsd,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate2_id_256,integrity_label_prior_shift,sensor,per_sensor_or_union,1200,54,0.045,
clean_resample,environment,gate2_id_256,integrity_label_jsd,sensor,per_sensor_or_union,1200,54,0.045,
clean_resample,environment,gate2_id_256,integrity_confusion_profile_l1,sensor,per_sensor_or_union,1200,71,0.0591666666666666,
clean_resample,environment,gate2_id_256,integrity_confusion_profile_jsd,sensor,per_sensor_or_union,1200,111,0.0925,
clean_resample,environment,gate2_id_256,I_X,regime,per_sensor_or_union,1200,244,0.2033333333333333,
clean_resample,environment,gate2_id_256,I_XF,regime,per_sensor_or_union,1200,294,0.245,
clean_resample,environment,gate2_id_256,I_Ym,regime,per_sensor_or_union,1200,54,0.045,
clean_resample,environment,gate2_id_256,I_XFY,regime,per_sensor_or_union,1200,397,0.3308333333333333,
clean_resample,environment,gate3a_ood_tue_wed,integrity_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,98,0.0816666666666666,
clean_resample,environment,gate3a_ood_tue_wed,integrity_mmd_vs_clean_eval,sensor,per_sensor_or_union,1200,63,0.0525,
clean_resample,environment,gate3a_ood_tue_wed,integrity_ks_reject05_vs_clean_eval,sensor,per_sensor_or_union,1200,46,0.0383333333333333,
clean_resample,environment,gate3a_ood_tue_wed,integrity_score_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,58,0.0483333333333333,
clean_resample,environment,gate3a_ood_tue_wed,integrity_pred_pos_rate_shift,sensor,per_sensor_or_union,1200,41,0.0341666666666666,
clean_resample,environment,gate3a_ood_tue_wed,integrity_pred_jsd,sensor,per_sensor_or_union,1200,43,0.0358333333333333,
clean_resample,environment,gate3a_ood_tue_wed,integrity_label_prior_shift,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3a_ood_tue_wed,integrity_label_jsd,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3a_ood_tue_wed,integrity_confusion_profile_l1,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3a_ood_tue_wed,integrity_confusion_profile_jsd,sensor,per_sensor_or_union,1200,58,0.0483333333333333,
clean_resample,environment,gate3a_ood_tue_wed,I_X,regime,per_sensor_or_union,1200,180,0.15,
clean_resample,environment,gate3a_ood_tue_wed,I_XF,regime,per_sensor_or_union,1200,276,0.23,
clean_resample,environment,gate3a_ood_tue_wed,I_Ym,regime,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3a_ood_tue_wed,I_XFY,regime,per_sensor_or_union,1200,305,0.2541666666666666,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,36,0.03,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_mmd_vs_clean_eval,sensor,per_sensor_or_union,1200,21,0.0175,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_ks_reject05_vs_clean_eval,sensor,per_sensor_or_union,1200,24,0.02,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_score_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,61,0.0508333333333333,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_pred_pos_rate_shift,sensor,per_sensor_or_union,1200,53,0.0441666666666666,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_pred_jsd,sensor,per_sensor_or_union,1200,31,0.0258333333333333,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_label_prior_shift,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_label_jsd,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_confusion_profile_l1,sensor,per_sensor_or_union,1200,27,0.0225,
clean_resample,environment,gate3b_ood_tue_fri_portscan,integrity_confusion_profile_jsd,sensor,per_sensor_or_union,1200,47,0.0391666666666666,
clean_resample,environment,gate3b_ood_tue_fri_portscan,I_X,regime,per_sensor_or_union,1200,79,0.0658333333333333,
clean_resample,environment,gate3b_ood_tue_fri_portscan,I_XF,regime,per_sensor_or_union,1200,192,0.16,
clean_resample,environment,gate3b_ood_tue_fri_portscan,I_Ym,regime,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3b_ood_tue_fri_portscan,I_XFY,regime,per_sensor_or_union,1200,237,0.1975,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,16,0.0133333333333333,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_mmd_vs_clean_eval,sensor,per_sensor_or_union,1200,68,0.0566666666666666,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_ks_reject05_vs_clean_eval,sensor,per_sensor_or_union,1200,34,0.0283333333333333,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_score_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,67,0.0558333333333333,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_pred_pos_rate_shift,sensor,per_sensor_or_union,1200,40,0.0333333333333333,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_pred_jsd,sensor,per_sensor_or_union,1200,56,0.0466666666666666,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_label_prior_shift,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_label_jsd,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_confusion_profile_l1,sensor,per_sensor_or_union,1200,19,0.0158333333333333,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,integrity_confusion_profile_jsd,sensor,per_sensor_or_union,1200,45,0.0375,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,I_X,regime,per_sensor_or_union,1200,84,0.07,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,I_XF,regime,per_sensor_or_union,1200,195,0.1625,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,I_Ym,regime,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3c_ood_wed_thu_webattacks,I_XFY,regime,per_sensor_or_union,1200,217,0.1808333333333333,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,64,0.0533333333333333,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_mmd_vs_clean_eval,sensor,per_sensor_or_union,1200,54,0.045,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_ks_reject05_vs_clean_eval,sensor,per_sensor_or_union,1200,58,0.0483333333333333,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_score_jsd_vs_clean_eval,sensor,per_sensor_or_union,1200,59,0.0491666666666666,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_pred_pos_rate_shift,sensor,per_sensor_or_union,1200,48,0.04,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_pred_jsd,sensor,per_sensor_or_union,1200,51,0.0425,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_label_prior_shift,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_label_jsd,sensor,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_confusion_profile_l1,sensor,per_sensor_or_union,1200,44,0.0366666666666666,
clean_resample,environment,gate3d_ood_wed_fri_morning,integrity_confusion_profile_jsd,sensor,per_sensor_or_union,1200,79,0.0658333333333333,
clean_resample,environment,gate3d_ood_wed_fri_morning,I_X,regime,per_sensor_or_union,1200,159,0.1325,
clean_resample,environment,gate3d_ood_wed_fri_morning,I_XF,regime,per_sensor_or_union,1200,255,0.2125,
clean_resample,environment,gate3d_ood_wed_fri_morning,I_Ym,regime,per_sensor_or_union,1200,30,0.025,
clean_resample,environment,gate3d_ood_wed_fri_morning,I_XFY,regime,per_sensor_or_union,1200,309,0.2575,
clean_resample,environment,gate5a_id_unsw,integrity_jsd_vs_clean_eval,sensor,per_sensor_or_union,2400,68,0.0283333333333333,
clean_resample,environment,gate5a_id_unsw,integrity_mmd_vs_clean_eval,sensor,per_sensor_or_union,2400,77,0.0320833333333333,
clean_resample,environment,gate5a_id_unsw,integrity_ks_reject05_vs_clean_eval,sensor,per_sensor_or_union,2400,20,0.0083333333333333,
clean_resample,environment,gate5a_id_unsw,integrity_score_jsd_vs_clean_eval,sensor,per_sensor_or_union,2400,96,0.04,
clean_resample,environment,gate5a_id_unsw,integrity_pred_pos_rate_shift,sensor,per_sensor_or_union,2400,92,0.0383333333333333,
clean_resample,environment,gate5a_id_unsw,integrity_pred_jsd,sensor,per_sensor_or_union,2400,112,0.0466666666666666,
clean_resample,environment,gate5a_id_unsw,integrity_label_prior_shift,sensor,per_sensor_or_union,2400,168,0.07,
clean_resample,environment,gate5a_id_unsw,integrity_label_jsd,sensor,per_sensor_or_union,2400,168,0.07,
clean_resample,environment,gate5a_id_unsw,integrity_confusion_profile_l1,sensor,per_sensor_or_union,2400,110,0.0458333333333333,
clean_resample,environment,gate5a_id_unsw,integrity_confusion_profile_jsd,sensor,per_sensor_or_union,2400,48,0.02,
clean_resample,environment,gate5a_id_unsw,I_X,regime,per_sensor_or_union,2400,152,0.0633333333333333,
clean_resample,environment,gate5a_id_unsw,I_XF,regime,per_sensor_or_union,2400,324,0.135,
clean_resample,environment,gate5a_id_unsw,I_Ym,regime,per_sensor_or_union,2400,168,0.07,
clean_resample,environment,gate5a_id_unsw,I_XFY,regime,per_sensor_or_union,2400,503,0.2095833333333333,
clean_resample,environment,gate5b_id_ton_iot,integrity_jsd_vs_clean_eval,sensor,per_sensor_or_union,2400,124,0.0516666666666666,
