protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus
id,id8c8771f4,svc_rbf,12,target_shift,label_flip_prior_preserving_r_0.100,0.06328125,0.0,0.0,0.0,0.0,0.02697558537862007,0.012261629717554578,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.05859375,0.0,0.0,0.0,0.0,0.022510213627608293,0.010231915285276496,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.05859375,0.0,0.0,0.0,0.0,0.022522318432817982,0.01023741746946272,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.0578125,0.0,0.0,0.0,0.0,0.032326574710182195,0.014693897595537362,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.0546875,0.0,0.0,0.0,0.0,0.022677416248066753,0.010307916476393978,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.0546875,0.0,0.0,0.0,0.0,0.032282047126973905,0.01467365778498814,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.05390625,0.0,0.0,0.0,0.0,0.022366156395985628,0.010166434725448013,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.05390625,0.0,0.0,0.0,0.0,0.019868367273136685,0.009031076033243947,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,svc_rbf,10,target_shift,label_flip_prior_preserving_r_0.100,0.053125,0.0,0.0,0.0,0.0,0.02469226438621762,0.011223756539189826,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,svc_rbf,8,target_shift,label_flip_prior_preserving_r_0.100,0.05234375,0.0,0.0,0.0,0.0,0.03461829083669422,0.015735586743951917,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.05,0.0,0.0,0.0,0.0,0.02586916326790913,0.011758710576322332,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.04921875,0.0,0.0,0.0,0.0,0.019129945706835853,0.008695429866743569,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,12,target_shift,label_flip_r_0.100,0.04159995759677417,0.0,0.0,0.0,0.8042010283803709,0.016935771975058897,0.1539164469669124,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,12,target_shift,label_flip_r_0.100,0.040902441078185574,0.0,0.0,0.0,0.8042010283803709,0.01674781144240198,0.15383101036115926,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,svc_rbf,12,target_shift,label_flip_r_0.100,0.04086342287867675,0.0,0.0,0.0,0.8042010283803709,0.018423656267338398,0.1545927580088576,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,8,target_shift,label_flip_r_0.100,0.03868855873759293,0.0,0.0,0.0,0.8042010283803709,0.024525760409252466,0.15736644170972763,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,10,target_shift,label_flip_r_0.100,0.0386164233483383,0.0,0.0,0.0,0.8042010283803709,0.016947484095017687,0.15392177065780274,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,svc_rbf,8,target_shift,label_flip_r_0.100,0.03852851852983268,0.0,0.0,0.0,0.8042010283803709,0.027572610695713613,0.15875137365811906,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,10,target_shift,label_flip_r_0.100,0.037324834118061714,0.0,0.0,0.0,0.8042010283803709,0.016659596037010074,0.15379091244961746,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,svc_rbf,10,target_shift,label_flip_r_0.100,0.036993757741975754,0.0,0.0,0.0,0.8042010283803709,0.01809611177440861,0.154443874148435,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
