protocol,dataset_tag,model,svd_dim,split_seed,impact_mean,detectability_standard_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean
id,id8c8771f4,qsvc_pauli_xyz_r1,8,42,0.02920634519676858,0.21841994779093846,0.1227281625527675,0.020600612930364165,0.021847717747095957
id,id8c8771f4,qsvc_pauli_xyz_r1,8,43,0.032023776667627166,0.21422649806873195,0.13098268770910207,0.02017307556412471,0.022812408859346118
id,id8c8771f4,qsvc_pauli_xyz_r1,8,44,0.02858663141278644,0.2176642264116712,0.11933823495547494,0.017315317241804337,0.020186232921561072
id,id8c8771f4,qsvc_pauli_xyz_r1,8,45,0.024856291053015747,0.22501810425853278,0.12413591264474566,0.017376463509248888,0.01922559363871467
id,id8c8771f4,qsvc_pauli_xyz_r1,8,46,0.025938639839018455,0.20952065046521293,0.11855666352253436,0.01837876977795454,0.019777275671010473
id,id8c8771f4,qsvc_pauli_xyz_r1,10,42,0.027503841346444916,0.22876737400419278,0.12516353677514572,0.020079813095129403,0.02163571037935308
id,id8c8771f4,qsvc_pauli_xyz_r1,10,43,0.03078712156494115,0.2181776041614713,0.12457596809034699,0.020296502650900737,0.022416476747800274
id,id8c8771f4,qsvc_pauli_xyz_r1,10,44,0.027681171794596785,0.22263709154768385,0.1274328812300778,0.01662974373824211,0.018566715087882216
id,id8c8771f4,qsvc_pauli_xyz_r1,10,45,0.02723254640895543,0.22742008703329863,0.12659547790793166,0.01868483800500103,0.02008868414335738
id,id8c8771f4,qsvc_pauli_xyz_r1,10,46,0.026894363652561627,0.22204160534129253,0.12618182331789,0.018872562290626255,0.020015124379994958
id,id8c8771f4,qsvc_pauli_xyz_r1,12,42,0.02852476476863731,0.2288121576891698,0.1320755583404884,0.019808722882942807,0.02031751842139302
id,id8c8771f4,qsvc_pauli_xyz_r1,12,43,0.037644590890685954,0.22080843788422905,0.14335188470553203,0.022262554137688413,0.023740771161809743
id,id8c8771f4,qsvc_pauli_xyz_r1,12,44,0.04343894784406892,0.2245318647834807,0.14501268553116656,0.023518980503588666,0.02575158024615306
id,id8c8771f4,qsvc_pauli_xyz_r1,12,45,0.029724704973477907,0.2355668421405022,0.13897671684735768,0.019515621596329642,0.020849572803244714
id,id8c8771f4,qsvc_pauli_xyz_r1,12,46,0.03915263024073546,0.22517078488705433,0.14100247569204338,0.02467825358906385,0.02639443706034216
id,id8c8771f4,qsvc_z_r1,8,42,0.02335512495332723,0.21918458419591702,0.11843711124810932,0.0167075139016028,0.017485402232834957
id,id8c8771f4,qsvc_z_r1,8,43,0.025069147538091956,0.20817961583159167,0.1301421604006524,0.01601267560766624,0.017152624273822067
id,id8c8771f4,qsvc_z_r1,8,44,0.021856860681463284,0.21420006786200102,0.12000044632427782,0.013299612931799733,0.014924660032159132
id,id8c8771f4,qsvc_z_r1,8,45,0.016272402202398853,0.21823720590764195,0.1137341644547383,0.014336324646378538,0.014495527612772348
id,id8c8771f4,qsvc_z_r1,8,46,0.02015843791991012,0.20473531065843806,0.11231105004222577,0.016137102517145337,0.016757719029428107
id,id8c8771f4,qsvc_z_r1,10,42,0.02486154352692046,0.22501798061344253,0.12470365354986832,0.017685190866906515,0.01840615291738286
id,id8c8771f4,qsvc_z_r1,10,43,0.029269928011741952,0.21504237032257947,0.12931166918970355,0.018480026445885714,0.0198515062059262
id,id8c8771f4,qsvc_z_r1,10,44,0.030076938798898733,0.2186294212914297,0.13240656066378817,0.017002006776306786,0.019092501589831105
id,id8c8771f4,qsvc_z_r1,10,45,0.02448933660527791,0.22078099833554654,0.12471931156811296,0.017027144292407367,0.018351947967013546
id,id8c8771f4,qsvc_z_r1,10,46,0.02204953921809638,0.21273443942047907,0.1177367504908734,0.016377193411237213,0.017146705599180453
id,id8c8771f4,qsvc_z_r1,12,42,0.032698647066901926,0.22830869476945478,0.13241531129071263,0.020554473850718215,0.022165878570734817
id,id8c8771f4,qsvc_z_r1,12,43,0.02815696910075223,0.21857507704890472,0.12465517410711613,0.01980255188025679,0.02076184914334239
id,id8c8771f4,qsvc_z_r1,12,44,0.033141465609955165,0.22330989307705557,0.13234986390970577,0.01979765420990505,0.021822122271051073
id,id8c8771f4,qsvc_z_r1,12,45,0.028405516998133918,0.23158233440934456,0.1316675659486064,0.01952954512558438,0.021219091643577655
id,id8c8771f4,qsvc_z_r1,12,46,0.02502484662722363,0.21451763986378988,0.11459134239366732,0.019129644086705543,0.02019975088476062
id,id8c8771f4,qsvc_zz_r1,8,42,0.0538686973566747,0.22624956206132346,0.16778445392477076,0.029049204506244118,0.0305933533293478
id,id8c8771f4,qsvc_zz_r1,8,43,0.0359958852925386,0.2224700620493025,0.15941664291488322,0.02180178556228842,0.023009755173215074
id,id8c8771f4,qsvc_zz_r1,8,44,0.04789217207836973,0.2292413427584968,0.15913910910599754,0.025426638058553046,0.027981605049759814
id,id8c8771f4,qsvc_zz_r1,8,45,0.03585643361939385,0.23243702230247984,0.17060928150772972,0.02078541935432225,0.02142702710475917
id,id8c8771f4,qsvc_zz_r1,8,46,0.027335122715068307,0.21599053000921947,0.1417798699848063,0.018012113683566894,0.018662645480422825
id,id8c8771f4,qsvc_zz_r1,10,42,0.0575741014708638,0.23667404786460375,0.1831700716829686,0.02968603252338136,0.03087493320669043
id,id8c8771f4,qsvc_zz_r1,10,43,0.044762417719513635,0.22949772551906414,0.16180274471665862,0.02670734898143445,0.027581118624108704
id,id8c8771f4,qsvc_zz_r1,10,44,0.05891018223983285,0.23406484320173437,0.1841328263573903,0.03008676189850963,0.032282626648652175
id,id8c8771f4,qsvc_zz_r1,10,45,0.04963411758165416,0.2334424119012228,0.18668935248792304,0.028769027516517463,0.029754841031180094
id,id8c8771f4,qsvc_zz_r1,10,46,0.03209635243057431,0.22327777904382315,0.15458664813429857,0.020619252217208426,0.021706979803982927
id,id8c8771f4,qsvc_zz_r1,12,42,0.06453173437763393,0.23568979820410435,0.1820938090420956,0.03346638122793753,0.035315651432891074
id,id8c8771f4,qsvc_zz_r1,12,43,0.049002707268341966,0.22191665289580884,0.17030236807992077,0.026606708991518537,0.027818761236724353
id,id8c8771f4,qsvc_zz_r1,12,44,0.0641928450935193,0.2331359091280656,0.1832507100834734,0.034074619490716496,0.03606189467068216
id,id8c8771f4,qsvc_zz_r1,12,45,0.052413819532023766,0.2361708010306462,0.17419069730114914,0.028745171586701992,0.030489879688589554
id,id8c8771f4,qsvc_zz_r1,12,46,0.04557312605019251,0.22402511656209287,0.16275289262574166,0.026665976219870997,0.027637301346116715
id,id8c8771f4,svc_rbf,8,42,0.01678136853658675,0.13671376071389935,0.07327934995256925,0.016468897890918283,0.015998658611981784
id,id8c8771f4,svc_rbf,8,43,0.015487070458603994,0.13273151277193812,0.08229703301245408,0.015284785741552554,0.014266228996687039
id,id8c8771f4,svc_rbf,8,44,0.01613879791455245,0.13128873318090312,0.07001197638060971,0.015587434367002849,0.015251464165080908
id,id8c8771f4,svc_rbf,8,45,0.016755732543578344,0.14323639038716174,0.07725089447510351,0.016450419898603536,0.015724194554659378
id,id8c8771f4,svc_rbf,8,46,0.014448489403733382,0.13408807855143928,0.06891795067930372,0.01426153537760294,0.01373635290891894
id,id8c8771f4,svc_rbf,10,42,0.018545027614890436,0.13630347133589205,0.07435556671046496,0.018233841278907814,0.017644719120279068
id,id8c8771f4,svc_rbf,10,43,0.015811608789274716,0.13375825971841468,0.0731813395503573,0.015585001804722654,0.014913104783332506
id,id8c8771f4,svc_rbf,10,44,0.014050817191778616,0.13287352205856817,0.0700717660559683,0.013782365483950511,0.013370165317258357
id,id8c8771f4,svc_rbf,10,45,0.015604761007863698,0.13907351318611838,0.07277275353894141,0.015343777743975537,0.01476881285947514
id,id8c8771f4,svc_rbf,10,46,0.014525102776297694,0.1415189842226696,0.07217428916296875,0.014131684518403161,0.013693068352799776
id,id8c8771f4,svc_rbf,12,42,0.01911783931483192,0.13123245905523342,0.07186695951587554,0.018683190059799255,0.018020701859119425
id,id8c8771f4,svc_rbf,12,43,0.016712864753277476,0.1282716831581827,0.0712695869003564,0.01639843946805134,0.01576681232105762
id,id8c8771f4,svc_rbf,12,44,0.014459417602832694,0.1310734075610865,0.06971792323491678,0.014207384676000736,0.013759674945750092
id,id8c8771f4,svc_rbf,12,45,0.016374854969358945,0.14083066736588412,0.0732534057670405,0.016064777786645702,0.015510003235076446
id,id8c8771f4,svc_rbf,12,46,0.01629748890050849,0.12647899891127273,0.06671258308633052,0.015817420284789507,0.015489954691511716
