protocol,dataset_tag,model,svd_dim,impact_mean,stealth_full_sharednorm_mean,n_seed_units,n_split_clusters,svc_impact_mean,svc_stealth_full_sharednorm_mean,impact_ratio_vs_svc,stealth_full_sharednorm_ratio_vs_svc
id,id8c8771f4,qsvc_pauli_xyz_r1,8,0.028122336833843277,0.020769845767545658,20,5,0.015922291771410985,0.01499537984746561,1.7662241866675177,1.3850830041531759
id,id8c8771f4,qsvc_pauli_xyz_r1,10,0.02801980895349998,0.02054454214767758,20,5,0.01570746347602103,0.01487797408662897,1.7838531979574515,1.380869601469546
id,id8c8771f4,qsvc_pauli_xyz_r1,12,0.03569712774352111,0.023410775938588542,20,5,0.016592493108161903,0.01570942941050306,2.1514022944485403,1.490237189833037
id,id8c8771f4,qsvc_z_r1,8,0.02134239465903829,0.016163186636203322,20,5,0.015922291771410985,0.01499537984746561,1.3404097202488956,1.0778777730618865
id,id8c8771f4,qsvc_z_r1,10,0.02614945723218709,0.018569762855866832,20,5,0.01570746347602103,0.01487797408662897,1.6647791205821856,1.2481378679477417
id,id8c8771f4,qsvc_z_r1,12,0.029485489080593376,0.021233738502693313,20,5,0.016592493108161903,0.01570942941050306,1.7770378983065158,1.3516556170077567
id,id8c8771f4,qsvc_zz_r1,8,0.040189662212409036,0.024334877227500936,20,5,0.015922291771410985,0.01499537984746561,2.5241129097113353,1.622824995100995
id,id8c8771f4,qsvc_zz_r1,10,0.048595434288487754,0.02844009986292286,20,5,0.01570746347602103,0.01487797408662897,3.093779868574796,1.9115572925000825
id,id8c8771f4,qsvc_zz_r1,12,0.05514284646434229,0.03146469767500078,20,5,0.016592493108161903,0.01570942941050306,3.3233611190844696,2.0029179197281355
id,id8c8771f4,svc_rbf,8,0.015922291771410985,0.01499537984746561,20,5,0.015922291771410985,0.01499537984746561,1.0,1.0
id,id8c8771f4,svc_rbf,10,0.01570746347602103,0.01487797408662897,20,5,0.01570746347602103,0.01487797408662897,1.0,1.0
id,id8c8771f4,svc_rbf,12,0.016592493108161903,0.01570942941050306,20,5,0.016592493108161903,0.01570942941050306,1.0,1.0
