protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit
id,id8c8771f4,qsvc_pauli_xyz_r1,8,42,42,0.038772951709779666,0.2144860231167987,0.22227895558257568,0.07638740501592309,0.09332979624391868,0.1371399648710675,0.024483414707080098,0.025737962642467336,18,42|42
id,id8c8771f4,qsvc_pauli_xyz_r1,8,42,43,0.021684568542767457,0.2112730293014411,0.2141858808822179,0.09721925447629062,0.017848568961037158,0.10367498884423988,0.018363006032886976,0.01920895044820594,18,42|43
id,id8c8771f4,qsvc_pauli_xyz_r1,8,42,44,0.03606786731786731,0.21257924010596688,0.22203266844203984,0.06423425544651948,0.08314414327687022,0.13021090009504993,0.022627395353980704,0.024397044605945675,18,42|44
id,id8c8771f4,qsvc_pauli_xyz_r1,8,42,45,0.02029999321665988,0.21418649866137937,0.21518228625692037,0.16666666666666666,0.024938456409365026,0.11988679640071272,0.016928635627508883,0.018046913291764877,18,42|45
id,id8c8771f4,qsvc_pauli_xyz_r1,8,43,42,0.032334493872466855,0.22504081825789982,0.23845045716771424,0.08641535418570365,0.030465223069881683,0.11626896839924296,0.02486531491028942,0.02782552298868572,18,43|42
id,id8c8771f4,qsvc_pauli_xyz_r1,8,43,43,0.042680297972636665,0.22353938032170356,0.22620594787294118,0.09721925447629062,0.06432956289008682,0.1291736468086164,0.020430722711853158,0.02688826370769978,18,43|43
id,id8c8771f4,qsvc_pauli_xyz_r1,8,43,44,0.01585150369592573,0.187633757792965,0.1948826222728068,0.13194296057147867,0.1354014033265634,0.15640212971518194,0.013424789308941679,0.012883243501985189,18,43|44
id,id8c8771f4,qsvc_pauli_xyz_r1,8,43,45,0.0372288111294794,0.1838384463431987,0.1973669649614656,0.08024339560167054,0.07859828279956665,0.12208600591336699,0.02197147532541459,0.023652605239013785,18,43|45
id,id8c8771f4,qsvc_pauli_xyz_r1,8,44,42,0.021400410368899152,0.22462208462857985,0.23347662502568708,0.11727515281585174,0.03276610834465297,0.12111703158706516,0.017161866847791397,0.018502260246515526,18,44|42
id,id8c8771f4,qsvc_pauli_xyz_r1,8,44,43,0.02850434424695177,0.2118915319177027,0.21198909684251974,0.09721925447629062,0.026262551514557243,0.10670069580867696,0.01784586941924129,0.02347179563575101,18,44|43
id,id8c8771f4,qsvc_pauli_xyz_r1,8,44,44,0.03548221926918163,0.18690427397512932,0.19651742429904473,0.07638740501592309,0.069223245994507,0.11681461247277818,0.019549521001633995,0.021951219441170025,18,44|44
id,id8c8771f4,qsvc_pauli_xyz_r1,8,44,45,0.028959551766113215,0.20779842621013284,0.2286737594794333,0.08024339560167054,0.07694895407321996,0.13272059995337948,0.014704011698550658,0.016819656362807724,18,44|45
id,id8c8771f4,qsvc_pauli_xyz_r1,8,45,42,0.031288046484735856,0.21326208916771427,0.22704545088921643,0.0920060883452081,0.0369419254886373,0.11608214615367893,0.0214831211191423,0.02579045474560002,18,45|42
id,id8c8771f4,qsvc_pauli_xyz_r1,8,45,43,0.019378007420334232,0.21036382969780995,0.22571181332613316,0.10220889783263903,0.07788123500488364,0.13606102036311174,0.014811461255338563,0.01616807639488357,18,45|43
id,id8c8771f4,qsvc_pauli_xyz_r1,8,45,44,0.0348991426360378,0.19150923307237894,0.21470197141848968,0.07638740501592309,0.08356101496993183,0.12994434277776945,0.020858522917770683,0.022119858188789292,18,45|44
id,id8c8771f4,qsvc_pauli_xyz_r1,8,45,45,0.013859967670955105,0.21873403995140808,0.2326131814002918,0.08887557316470082,0.0301627364396157,0.1144561412844225,0.012352748744744001,0.012823985225585803,18,45|45
id,id8c8771f4,qsvc_pauli_xyz_r1,8,46,42,0.03136256105006105,0.19623430703720227,0.2038067652676401,0.05555555555555555,0.0876993824891507,0.12407591678431136,0.020069385365414864,0.020123550979163893,18,46|42
id,id8c8771f4,qsvc_pauli_xyz_r1,8,46,43,0.02691586868679904,0.2072677892564802,0.216788433891993,0.09875927420876114,0.03376447181232697,0.1121358766406481,0.021753523666774688,0.02380991466837927,18,46|43
