svd_dim,metric,analysis_unit,mean,std,ci95_low,ci95_high,n,all_positive
8,impact_mean,split_seed_cluster_primary,0.024267370440998054,0.009883496025883974,0.011995389249267923,0.03653935163272819,5,True
8,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.009339497380035328,0.004247659704843782,0.004065331247909967,0.01461366351216069,5,True
10,impact_mean,split_seed_cluster_primary,0.03288797081246672,0.010397516274519522,0.01997774918365808,0.045798192441275365,5,True
10,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.013562125776293895,0.003947970120970514,0.008660073411100639,0.018464178141487153,5,True
12,impact_mean,split_seed_cluster_primary,0.038550353356180386,0.008713363045222093,0.027731284159648976,0.049369422552711796,5,True
12,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.01575526826449771,0.004259286823005401,0.010466665158348206,0.021043871370647216,5,True
