split_seed,model_seed,svd_dim,n_train,n_test,attack,attack_family,boundary,shots,circuit_hash_changed,circuit_depth_delta,circuit_op_count_l1,kernel_hash_changed,kernel_max_abs_delta_train,kernel_max_abs_delta_test,kernel_max_abs_delta,kernel_symmetry_residual,kernel_diagonal_residual,kernel_min_eigenvalue,kernel_psd_repair_relative_fro,repeated_estimation_discrepancy,prediction_disagreement,bal_acc,bal_acc_clean,bal_acc_drop,f1_pos,roc_auc,repair_bal_acc,repair_bal_acc_drop,repair_prediction_disagreement,semantic_kernel_detected,algebraic_kernel_detected,repeated_estimation_detected,model_output_detected
42,42,4,64,64,benign_transpile_o1,semantic_control,transpilation,,True,4,16,True,6.8833827526759706e-15,5.551115123125783e-15,6.8833827526759706e-15,2.220446049250313e-16,5.773159728050814e-15,-1.0883556444836953e-15,1.2644563756437836e-15,0.0,0.0,0.765625,0.765625,0.0,0.7058823529411765,0.8349609375,0.765625,0.0,0.0,False,False,False,False
42,42,4,64,64,clean,clean,none,,False,0,0,False,0.0,0.0,0.0,2.220446049250313e-16,3.774758283725532e-15,-1.3787579542408156e-15,1.1989010497486958e-15,0.0,0.0,0.765625,0.765625,0.0,0.7058823529411765,0.8349609375,0.765625,0.0,0.0,False,False,False,False
42,42,4,64,64,common_unitary_x,semantic_control,circuit,,True,0,1,True,4.440892098500626e-15,5.551115123125783e-16,4.440892098500626e-15,2.220446049250313e-16,6.661338147750939e-15,-7.393044252751684e-16,1.2761100761856376e-15,0.0,0.0,0.765625,0.765625,0.0,0.7058823529411765,0.8359375,0.765625,0.0,0.0,False,False,False,False
42,42,4,64,64,feature_map_reps_2,circuit_tamper,circuit,,True,14,26,True,0.4379331987734535,0.4093194371550085,0.4379331987734535,2.220446049250313e-16,5.329070518200751e-15,3.706530306683398e-16,1.7652182073202948e-15,0.0,0.109375,0.71875,0.765625,0.046875,0.6666666666666666,0.771484375,0.71875,0.046875,0.109375,True,False,False,True
42,42,4,64,64,kernel_asymmetric_delta_0.020,kernel_tamper,kernel,,False,0,0,True,0.020000000000000018,0.0,0.020000000000000018,0.02000000000000013,3.774758283725532e-15,-0.013478621219767966,0.0035073007026075577,0.0,0.0,0.765625,0.765625,0.0,0.7058823529411765,0.8291015625,0.765625,0.0,0.0,True,True,False,False
42,42,4,64,64,kernel_diagonal_erosion_0.020,kernel_tamper,kernel,,False,0,0,True,0.020000000000000018,0.0,0.020000000000000018,2.220446049250313e-16,0.020000000000002793,-0.020000000000001582,0.004276491594090015,0.0,0.0,0.765625,0.765625,0.0,0.7058823529411765,0.8349609375,0.765625,0.0,0.0,True,True,False,False
42,42,4,64,64,kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,,False,0,0,True,0.050000000000000044,0.04999999999999993,0.050000000000000044,2.220446049250313e-16,3.552713678800501e-15,0.04999999999999853,1.5342667187212036e-15,0.0,0.0,0.765625,0.765625,0.0,0.7058823529411765,0.841796875,0.765625,0.0,0.0,True,False,False,False
42,42,4,64,64,parameterized_rz_alpha_0.020,circuit_tamper,circuit,,True,0,1,True,0.02343680315121678,0.023113818118475696,0.02343680315121678,2.220446049250313e-16,4.884981308350689e-15,-9.232364614637628e-16,1.3953599102951e-15,0.0,0.0,0.765625,0.765625,0.0,0.7058823529411765,0.837890625,0.765625,0.0,0.0,True,False,False,False
42,42,4,64,64,parameterized_rz_alpha_0.100,circuit_tamper,circuit,,True,0,1,True,0.10139058105153838,0.12208631016942045,0.12208631016942045,2.220446049250313e-16,6.106226635438361e-15,-1.9026287945916076e-15,1.281532702357303e-15,0.0,0.0,0.765625,0.765625,0.0,0.7058823529411765,0.830078125,0.765625,0.0,0.0,True,False,False,False
42,42,4,64,64,shot_emulator_1024,finite_shot_emulator,kernel_estimation,1024.0,False,0,0,True,0.044215732057572704,0.0425182283621624,0.044215732057572704,0.0,0.0,-0.07905213722384817,0.0065421706267257,0.060546875,0.0,0.765625,0.765625,0.0,0.7058823529411765,0.818359375,0.765625,0.0,0.0,True,True,True,False
42,42,4,64,64,shot_emulator_256,finite_shot_emulator,kernel_estimation,256.0,False,0,0,True,0.09085529685390234,0.0961743531709327,0.0961743531709327,0.0,0.0,-0.1801989117315298,0.01487145462418111,0.12890625,0.015625,0.78125,0.765625,-0.015625,0.7307692307692307,0.798828125,0.765625,0.0,0.0,True,True,True,True
43,42,4,64,64,benign_transpile_o1,semantic_control,transpilation,,True,4,16,True,7.771561172376096e-15,5.329070518200751e-15,7.771561172376096e-15,2.220446049250313e-16,4.884981308350689e-15,-7.961796037214385e-15,2.7993751672135703e-15,0.0,0.0,0.75,0.75,0.0,0.68,0.8330078125,0.75,0.0,0.0,False,False,False,False
43,42,4,64,64,clean,clean,none,,False,0,0,False,0.0,0.0,0.0,3.3306690738754696e-16,3.9968028886505635e-15,-4.698822271649252e-15,2.4122946484158793e-15,0.0,0.0,0.75,0.75,0.0,0.68,0.8330078125,0.75,0.0,0.0,False,False,False,False
43,42,4,64,64,common_unitary_x,semantic_control,circuit,,True,0,1,True,4.9960036108132044e-15,7.771561172376096e-16,4.9960036108132044e-15,5.551115123125783e-16,3.9968028886505635e-15,-2.223352092161512e-15,2.1934097842901123e-15,0.0,0.0,0.75,0.75,0.0,0.68,0.8330078125,0.75,0.0,0.0,False,False,False,False
