attack,attack_family,boundary,svd_dim,metric,mean,ci95_low,ci95_high,n
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,4,bal_acc_drop,0.0,0.0,0.0,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,4,prediction_disagreement,0.0,0.0,0.0,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,4,kernel_max_abs_delta,0.020000000000000018,0.020000000000000018,0.020000000000000018,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,4,kernel_psd_repair_relative_fro,0.0036275147817430853,0.0031505833939223064,0.004104446169563864,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,4,repeated_estimation_discrepancy,0.0,0.0,0.0,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,6,bal_acc_drop,0.0,0.0,0.0,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,6,prediction_disagreement,0.0,0.0,0.0,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,6,kernel_max_abs_delta,0.020000000000000018,0.020000000000000018,0.020000000000000018,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,6,kernel_psd_repair_relative_fro,0.003518287835193093,0.0030795239137762255,0.00395705175660996,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,6,repeated_estimation_discrepancy,0.0,0.0,0.0,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,8,bal_acc_drop,0.0,0.0,0.0,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,8,prediction_disagreement,0.0,0.0,0.0,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,8,kernel_max_abs_delta,0.020000000000000018,0.020000000000000018,0.020000000000000018,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,8,kernel_psd_repair_relative_fro,0.0034915031730880517,0.003152279397171003,0.0038307269490051,5
kernel_diagonal_erosion_0.020,kernel_tamper,kernel,8,repeated_estimation_discrepancy,0.0,0.0,0.0,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,4,bal_acc_drop,0.0,0.0,0.0,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,4,prediction_disagreement,0.0,0.0,0.0,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,4,kernel_max_abs_delta,0.050000000000000044,0.04999999999999995,0.05000000000000014,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,4,kernel_psd_repair_relative_fro,1.907222389274474e-15,1.2582815684913859e-15,2.5561632100575627e-15,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,4,repeated_estimation_discrepancy,0.0,0.0,0.0,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,6,bal_acc_drop,0.003125,-0.005551390953743122,0.011801390953743121,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,6,prediction_disagreement,0.003125,-0.005551390953743122,0.011801390953743121,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,6,kernel_max_abs_delta,0.049999999999999975,0.0499999999999999,0.05000000000000005,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,6,kernel_psd_repair_relative_fro,1.3636996566828284e-15,1.0622348340055036e-15,1.6651644793601532e-15,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,6,repeated_estimation_discrepancy,0.0,0.0,0.0,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,8,bal_acc_drop,0.0,0.0,0.0,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,8,prediction_disagreement,0.0,0.0,0.0,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,8,kernel_max_abs_delta,0.04999999999999993,0.04999999999999993,0.04999999999999993,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,8,kernel_psd_repair_relative_fro,1.608036894651528e-15,8.5817950732697e-16,2.3578942819760857e-15,5
kernel_psd_preserving_mix_0.050,kernel_tamper,kernel,8,repeated_estimation_discrepancy,0.0,0.0,0.0,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,4,bal_acc_drop,0.0,0.0,0.0,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,4,prediction_disagreement,0.0,0.0,0.0,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,4,kernel_max_abs_delta,0.019341600763422014,0.015373198880601688,0.02331000264624234,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,4,kernel_psd_repair_relative_fro,1.8362667071579305e-15,1.2321894671293321e-15,2.440343947186529e-15,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,4,repeated_estimation_discrepancy,0.0,0.0,0.0,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,6,bal_acc_drop,0.0,0.0,0.0,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,6,prediction_disagreement,0.0,0.0,0.0,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,6,kernel_max_abs_delta,0.004941811337110588,0.004167928043735558,0.005715694630485617,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,6,kernel_psd_repair_relative_fro,1.572801700620492e-15,1.1905365556408223e-15,1.9550668456001616e-15,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,6,repeated_estimation_discrepancy,0.0,0.0,0.0,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,8,bal_acc_drop,0.0,0.0,0.0,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,8,prediction_disagreement,0.0,0.0,0.0,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,8,kernel_max_abs_delta,0.001527070717837461,0.0009904823101494489,0.0020636591255254735,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,8,kernel_psd_repair_relative_fro,1.5327137570469425e-15,7.859119959338328e-16,2.279515518160052e-15,5
parameterized_rz_alpha_0.020,circuit_tamper,circuit,8,repeated_estimation_discrepancy,0.0,0.0,0.0,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,4,bal_acc_drop,-0.00625,-0.023602781907486242,0.011102781907486243,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,4,prediction_disagreement,0.00625,-0.011102781907486243,0.023602781907486242,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,4,kernel_max_abs_delta,0.09488103107365128,0.06963956088400489,0.12012250126329768,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,4,kernel_psd_repair_relative_fro,1.8043971060652912e-15,1.1867241955279356e-15,2.422070016602647e-15,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,4,repeated_estimation_discrepancy,0.0,0.0,0.0,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,6,bal_acc_drop,0.0,0.0,0.0,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,6,prediction_disagreement,0.0,0.0,0.0,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,6,kernel_max_abs_delta,0.024910869975909307,0.02015249707217341,0.029669242879645202,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,6,kernel_psd_repair_relative_fro,1.7683885835061864e-15,1.1474573473655061e-15,2.3893198196468664e-15,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,6,repeated_estimation_discrepancy,0.0,0.0,0.0,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,8,bal_acc_drop,0.003125,-0.005551390953743122,0.011801390953743121,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,8,prediction_disagreement,0.003125,-0.005551390953743122,0.011801390953743121,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,8,kernel_max_abs_delta,0.007648780821096933,0.005334814654410228,0.009962746987783638,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,8,kernel_psd_repair_relative_fro,1.7394610437731557e-15,3.4339644603942745e-16,3.135525641506884e-15,5
parameterized_rz_alpha_0.100,circuit_tamper,circuit,8,repeated_estimation_discrepancy,0.0,0.0,0.0,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,4,bal_acc_drop,-0.003125,-0.011801390953743121,0.005551390953743122,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,4,prediction_disagreement,0.003125,-0.005551390953743122,0.011801390953743121,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,4,kernel_max_abs_delta,0.04687502299395123,0.041426612102862644,0.052323433885039815,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,4,kernel_psd_repair_relative_fro,0.005749914249121034,0.00485153544407257,0.0066482930541694974,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,4,repeated_estimation_discrepancy,0.0638671875,0.05548382818401708,0.07225054681598293,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,6,bal_acc_drop,0.0,0.0,0.0,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,6,prediction_disagreement,0.0,0.0,0.0,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,6,kernel_max_abs_delta,0.04896829759540572,0.04342555388062182,0.05451104131018962,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,6,kernel_psd_repair_relative_fro,0.004407819119760582,0.0030282605900919307,0.005787377649429233,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,6,repeated_estimation_discrepancy,0.062109375,0.05165739574040938,0.07256135425959062,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,8,bal_acc_drop,0.0125,-0.012795809136073543,0.03779580913607354,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,8,prediction_disagreement,0.0125,-0.012795809136073543,0.03779580913607354,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,8,kernel_max_abs_delta,0.04569602007251365,0.03549919719241923,0.055892842952608074,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,8,kernel_psd_repair_relative_fro,0.004518577200178708,0.0025110358477752172,0.006526118552582199,5
shot_emulator_1024,finite_shot_emulator,kernel_estimation,8,repeated_estimation_discrepancy,0.0640625,0.05456882479568985,0.07355617520431014,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,4,bal_acc_drop,-0.00625,-0.016876365322785268,0.004376365322785266,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,4,prediction_disagreement,0.0125,-0.012795809136073543,0.03779580913607354,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,4,kernel_max_abs_delta,0.09362394935796159,0.08113082898707673,0.10611706972884645,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,4,kernel_psd_repair_relative_fro,0.012646332543013816,0.010751464060441807,0.014541201025585825,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,4,repeated_estimation_discrepancy,0.134375,0.1199868333360001,0.14876316666399989,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,6,bal_acc_drop,0.0125,-0.012795809136073543,0.03779580913607354,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,6,prediction_disagreement,0.01875,-0.013129095968355795,0.0506290959683558,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,6,kernel_max_abs_delta,0.08569607503201818,0.07665115451523996,0.09474099554879639,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,6,kernel_psd_repair_relative_fro,0.009635407110574142,0.006475554845843619,0.012795259375304666,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,6,repeated_estimation_discrepancy,0.1265625,0.11438846913652066,0.1387365308634793,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,8,bal_acc_drop,0.009375,-0.007977781907486237,0.026727781907486238,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,8,prediction_disagreement,0.015625,-0.0037759999719338515,0.035025999971933855,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,8,kernel_max_abs_delta,0.09382489891139686,0.08945522374196076,0.09819457408083297,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,8,kernel_psd_repair_relative_fro,0.010639167072581276,0.007095440809966827,0.014182893335195724,5
shot_emulator_256,finite_shot_emulator,kernel_estimation,8,repeated_estimation_discrepancy,0.125,0.11592601314302658,0.13407398685697342,5
