attack,attack_family,boundary,svd_dim,metric,mean,ci95_low,ci95_high,n
benign_transpile_o1,semantic_control,transpilation,4,bal_acc_drop,0.0,0.0,0.0,5
benign_transpile_o1,semantic_control,transpilation,4,prediction_disagreement,0.0,0.0,0.0,5
benign_transpile_o1,semantic_control,transpilation,4,kernel_max_abs_delta,8.491124470211276e-15,6.5962327416320244e-15,1.0386016198790526e-14,5
benign_transpile_o1,semantic_control,transpilation,4,kernel_psd_repair_relative_fro,1.7836270218687076e-15,9.90415735196653e-16,2.5768383085407625e-15,5
benign_transpile_o1,semantic_control,transpilation,4,repeated_estimation_discrepancy,0.0,0.0,0.0,5
benign_transpile_o1,semantic_control,transpilation,6,bal_acc_drop,0.0,0.0,0.0,5
benign_transpile_o1,semantic_control,transpilation,6,prediction_disagreement,0.0,0.0,0.0,5
benign_transpile_o1,semantic_control,transpilation,6,kernel_max_abs_delta,2.2907890862011726e-14,1.9002700814922965e-14,2.6813080909100488e-14,5
benign_transpile_o1,semantic_control,transpilation,6,kernel_psd_repair_relative_fro,1.4613701138968716e-15,1.2390509426758027e-15,1.6836892851179405e-15,5
benign_transpile_o1,semantic_control,transpilation,6,repeated_estimation_discrepancy,0.0,0.0,0.0,5
benign_transpile_o1,semantic_control,transpilation,8,bal_acc_drop,0.0,0.0,0.0,5
benign_transpile_o1,semantic_control,transpilation,8,prediction_disagreement,0.0,0.0,0.0,5
benign_transpile_o1,semantic_control,transpilation,8,kernel_max_abs_delta,8.402167850363184e-14,2.529053922336008e-14,1.4275281778390362e-13,5
benign_transpile_o1,semantic_control,transpilation,8,kernel_psd_repair_relative_fro,1.312271089685262e-15,6.982300350425001e-16,1.9263121443280238e-15,5
benign_transpile_o1,semantic_control,transpilation,8,repeated_estimation_discrepancy,0.0,0.0,0.0,5
clean,clean,none,4,bal_acc_drop,0.0,0.0,0.0,5
clean,clean,none,4,prediction_disagreement,0.0,0.0,0.0,5
clean,clean,none,4,kernel_max_abs_delta,0.0,0.0,0.0,5
clean,clean,none,4,kernel_psd_repair_relative_fro,1.7618694867880837e-15,1.165493701008839e-15,2.358245272567328e-15,5
clean,clean,none,4,repeated_estimation_discrepancy,0.0,0.0,0.0,5
clean,clean,none,6,bal_acc_drop,0.0,0.0,0.0,5
clean,clean,none,6,prediction_disagreement,0.0,0.0,0.0,5
clean,clean,none,6,kernel_max_abs_delta,0.0,0.0,0.0,5
clean,clean,none,6,kernel_psd_repair_relative_fro,1.3930413806039e-15,9.8085522111392e-16,1.8052275400938804e-15,5
clean,clean,none,6,repeated_estimation_discrepancy,0.0,0.0,0.0,5
clean,clean,none,8,bal_acc_drop,0.0,0.0,0.0,5
clean,clean,none,8,prediction_disagreement,0.0,0.0,0.0,5
clean,clean,none,8,kernel_max_abs_delta,0.0,0.0,0.0,5
clean,clean,none,8,kernel_psd_repair_relative_fro,1.694430587570645e-15,5.43677280852953e-16,2.845183894288337e-15,5
clean,clean,none,8,repeated_estimation_discrepancy,0.0,0.0,0.0,5
common_unitary_x,semantic_control,circuit,4,bal_acc_drop,0.0,0.0,0.0,5
common_unitary_x,semantic_control,circuit,4,prediction_disagreement,0.0,0.0,0.0,5
common_unitary_x,semantic_control,circuit,4,kernel_max_abs_delta,7.348288644237755e-15,3.120242577692058e-15,1.1576334710783451e-14,5
common_unitary_x,semantic_control,circuit,4,kernel_psd_repair_relative_fro,1.587624652734589e-15,1.0656618655856619e-15,2.109587439883516e-15,5
common_unitary_x,semantic_control,circuit,4,repeated_estimation_discrepancy,0.0,0.0,0.0,5
common_unitary_x,semantic_control,circuit,6,bal_acc_drop,0.0,0.0,0.0,5
common_unitary_x,semantic_control,circuit,6,prediction_disagreement,0.0,0.0,0.0,5
common_unitary_x,semantic_control,circuit,6,kernel_max_abs_delta,2.335180659951419e-14,1.0282874413267025e-14,3.6420738785761355e-14,5
common_unitary_x,semantic_control,circuit,6,kernel_psd_repair_relative_fro,1.673588359681782e-15,1.5535373081301025e-15,1.7936394112334615e-15,5
common_unitary_x,semantic_control,circuit,6,repeated_estimation_discrepancy,0.0,0.0,0.0,5
common_unitary_x,semantic_control,circuit,8,bal_acc_drop,0.0,0.0,0.0,5
common_unitary_x,semantic_control,circuit,8,prediction_disagreement,0.0,0.0,0.0,5
common_unitary_x,semantic_control,circuit,8,kernel_max_abs_delta,6.363902053984142e-14,5.2757898094307034e-14,7.452014298537581e-14,5
common_unitary_x,semantic_control,circuit,8,kernel_psd_repair_relative_fro,1.4264961465551266e-15,6.822270384832257e-16,2.1707652546270274e-15,5
common_unitary_x,semantic_control,circuit,8,repeated_estimation_discrepancy,0.0,0.0,0.0,5
feature_map_reps_2,circuit_tamper,circuit,4,bal_acc_drop,-0.009375,-0.05188046129114106,0.033130461291141056,5
feature_map_reps_2,circuit_tamper,circuit,4,prediction_disagreement,0.065625,0.0006968353947768985,0.1305531646052231,5
feature_map_reps_2,circuit_tamper,circuit,4,kernel_max_abs_delta,0.4463486934904425,0.4007071191576752,0.49199026782320976,5
feature_map_reps_2,circuit_tamper,circuit,4,kernel_psd_repair_relative_fro,1.3570482362643383e-15,7.869821366779404e-16,1.9271143358507363e-15,5
feature_map_reps_2,circuit_tamper,circuit,4,repeated_estimation_discrepancy,0.0,0.0,0.0,5
feature_map_reps_2,circuit_tamper,circuit,6,bal_acc_drop,0.01875,-0.0065458091360735375,0.04404580913607353,5
feature_map_reps_2,circuit_tamper,circuit,6,prediction_disagreement,0.08125,0.024025271435982314,0.13847472856401769,5
feature_map_reps_2,circuit_tamper,circuit,6,kernel_max_abs_delta,0.38142259449011007,0.3171746056904641,0.44567058328975606,5
feature_map_reps_2,circuit_tamper,circuit,6,kernel_psd_repair_relative_fro,1.390778510260503e-15,7.632166093959848e-16,2.018340411125021e-15,5
feature_map_reps_2,circuit_tamper,circuit,6,repeated_estimation_discrepancy,0.0,0.0,0.0,5
feature_map_reps_2,circuit_tamper,circuit,8,bal_acc_drop,0.00625,-0.015870543390348046,0.028370543390348044,5
feature_map_reps_2,circuit_tamper,circuit,8,prediction_disagreement,0.05,-0.05749624717759688,0.1574962471775969,5
feature_map_reps_2,circuit_tamper,circuit,8,kernel_max_abs_delta,0.32876156193410866,0.30401420307983085,0.35350892078838647,5
feature_map_reps_2,circuit_tamper,circuit,8,kernel_psd_repair_relative_fro,1.0691050964558395e-15,7.200018770868969e-16,1.418208315824782e-15,5
feature_map_reps_2,circuit_tamper,circuit,8,repeated_estimation_discrepancy,0.0,0.0,0.0,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,4,bal_acc_drop,0.0,0.0,0.0,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,4,prediction_disagreement,0.0,0.0,0.0,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,4,kernel_max_abs_delta,0.020000000000000018,0.020000000000000018,0.020000000000000018,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,4,kernel_psd_repair_relative_fro,0.0027216924739059288,0.002112699704397314,0.0033306852434145436,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,4,repeated_estimation_discrepancy,0.0,0.0,0.0,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,6,bal_acc_drop,0.0,0.0,0.0,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,6,prediction_disagreement,0.0,0.0,0.0,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,6,kernel_max_abs_delta,0.020000000000000018,0.020000000000000018,0.020000000000000018,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,6,kernel_psd_repair_relative_fro,0.002926930749107195,0.002217478640492373,0.003636382857722017,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,6,repeated_estimation_discrepancy,0.0,0.0,0.0,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,8,bal_acc_drop,0.0,0.0,0.0,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,8,prediction_disagreement,0.0,0.0,0.0,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,8,kernel_max_abs_delta,0.020000000000000018,0.020000000000000018,0.020000000000000018,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,8,kernel_psd_repair_relative_fro,0.003137460034314385,0.002494454904427677,0.003780465164201093,5
kernel_asymmetric_delta_0.020,kernel_tamper,kernel,8,repeated_estimation_discrepancy,0.0,0.0,0.0,5
