protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit,gate,max_train,max_test
id,id6292a46b,qsvc_pauli_xyz_r1,8,42,42,0.017362383919843596,0.2162951474369248,0.22399711035450187,0.07638740501592309,0.08389999839670262,0.1334784766757606,0.01467681505949844,0.015382703210940167,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,42,43,0.047720071644802825,0.19987416548650516,0.2034791848375312,0.09721925447629062,0.12091839934132992,0.14663156772812325,0.031507358151618856,0.0326156613190739,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,43,42,0.02761558316201603,0.19141238815043313,0.19205825830933365,0.08641535418570365,0.05004427985611614,0.1082986491717566,0.022638833497126528,0.023302366926724747,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,43,43,0.015341054554764227,0.19668292882599345,0.18930812242468512,0.09721925447629062,0.07846415361264408,0.12218106970132199,0.012892545028257072,0.01276413995965941,18,43|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,44,42,0.025216973808026663,0.20880337052007591,0.20685956295598237,0.11727515281585174,0.09854495930326948,0.1413375776338164,0.018637712907721052,0.019562930347038716,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,44,43,0.03271076481761964,0.1992042244238686,0.20639379638561392,0.09721925447629062,0.08503449192571745,0.131380559465784,0.02663220172747882,0.026462027199330825,18,44|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,45,42,0.01883411564405551,0.2053331750318027,0.20290479199999834,0.0920060883452081,0.06320089458807783,0.11923961978461807,0.01765392849431854,0.016938484438656934,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,45,43,0.02499173525767656,0.1993142160338011,0.20966891700459747,0.10220889783263903,0.17990951201981453,0.1766037294347946,0.019036028573980388,0.018290331399782454,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,46,42,0.029592003289919948,0.20574155553990217,0.2032412343122744,0.05555555555555555,0.08115337980969572,0.12089481340078977,0.024200057142121704,0.025505930932862568,18,46|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,46,43,0.024380102362293217,0.20374533075014828,0.22242345195456967,0.09875927420876114,0.12833972499668622,0.15717372556538473,0.017446023886294806,0.018052075880626888,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,42,42,0.03607818779189747,0.2215085854923094,0.2200130916807432,0.07638740501592309,0.1017058192853828,0.14012329756197572,0.02359409019708418,0.026264541861792945,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,42,43,0.050758912284449904,0.2036733361115717,0.2091854130006601,0.09721925447629062,0.12657167254448506,0.15127622942524063,0.03424437222152986,0.03553232017467734,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,43,42,0.03282391649534937,0.19293763642151773,0.19071767065923206,0.08641535418570365,0.04896759332629223,0.10732175978543607,0.026714247866060113,0.02746979655192982,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,43,43,0.01664313788809756,0.19056107358317065,0.18944229058173648,0.09721925447629062,0.034277950910144295,0.1021452205300226,0.014446352239003427,0.014568954730320608,18,43|43,gate5a_id_unsw,128,128
