protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus,gate,max_train,max_test
id,id6292a46b,qsvc_pauli_xyz_r1,12,target_shift,label_flip_r_0.100,0.053942098787187254,0.0,0.0,0.0,0.8306353631849717,0.0384460339081343,0.16850008144641954,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id8c8771f4,qsvc_zz_r1,12,target_shift,label_flip_r_0.100,0.05338014074197507,0.0,0.0,0.0,0.7708957440241865,0.020237357150301193,0.14936166125453446,5,2,0.0,0.0,0.0,0.0,0.04296875,0.0009251517779158,True,False,evaluation_or_label_path,gate2_id_256,256,256
id,id6292a46b,qsvc_zz_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.053125,0.0,0.0,0.0,0.0,0.058575862601790665,0.026625392091723033,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
ood,tr993984ca__teb9107599,svc_rbf,10,target_shift,label_flip_prior_preserving_r_0.100,0.053125,0.0,0.0,0.0,0.0,0.0409196146041038,0.01859982482004718,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate6_ood_unsw,128,128
id,id6292a46b,svc_rbf,8,target_shift,label_flip_r_0.100,0.05247343997204633,0.0,0.0,0.0,0.8306353631849717,0.07157182520697355,0.1835572593095283,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id8c8771f4,qsvc_zz_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.05234375,0.0,0.0,0.0,0.0,0.018273924361453628,0.008306329255206194,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate2_id_256,256,256
id,id6292a46b,qsvc_zz_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.0515625,0.0,0.0,0.0,0.0,0.035922375396571435,0.01632835245298702,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
ood,tr993984ca__teb9107599,svc_rbf,12,target_shift,label_flip_prior_preserving_r_0.100,0.0515625,0.0,0.0,0.0,0.0,0.03110421591991498,0.014138279963597716,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate6_ood_unsw,128,128
ood,tr649b5ffb__te0e535a99,qsvc_zz_r1,12,target_shift,label_flip_r_0.100,0.051197585068215735,0.0,0.0,0.0,0.9031082880500362,0.07890461704976287,0.20006724194080788,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate3b_ood_tue_fri_portscan,128,128
id,id6292a46b,qsvc_zz_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.05,0.0,0.0,0.0,0.0,0.03803911813116665,0.017290508241439385,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,target_shift,label_flip_prior_preserving_r_0.100,0.05,0.0,0.0,0.0,0.0,0.05794897393008904,0.02634044269549502,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
ood,tr993984ca__teb9107599,svc_rbf,8,target_shift,label_flip_prior_preserving_r_0.100,0.05,0.0,0.0,0.0,0.0,0.04655197667627641,0.021159989398307464,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate6_ood_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,10,target_shift,label_flip_r_0.100,0.04990657925396797,0.0,0.0,0.0,0.8306353631849717,0.03880041307247946,0.16866116288475824,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,12,target_shift,label_flip_r_0.100,0.04976140497426438,0.0,0.0,0.0,0.8306353631849717,0.03532178073894289,0.16707996636951433,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,8,target_shift,label_flip_r_0.100,0.04958374274131469,0.0,0.0,0.0,0.8306353631849717,0.05836727953271216,0.17755519309395493,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
