protocol,dataset_tag,model,svd_dim,split_seed,impact_mean,stealth_full_sharednorm_mean,gate,max_train,max_test
id,idcc6a61e9,qsvc_zz_r1,10,45,0.09339664996679038,0.06368228097846387,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,10,46,0.1046980428658856,0.06294269831915181,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,12,42,0.15250011229933946,0.0892359163051421,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,12,43,0.14370300463641023,0.07773118920210087,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,12,44,0.13805360957857926,0.07903666404690582,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,12,45,0.11700757247749043,0.0720504870749621,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,12,46,0.1027582825129868,0.06109170106123011,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,8,42,0.009223440960672135,0.008767693690038708,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,8,43,0.01456195321862934,0.013830118044373996,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,8,44,0.0032394264791870218,0.00296604986362749,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,8,45,0.006762826410000273,0.006304945328303584,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,8,46,0.007604927903803491,0.007165297251419865,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,10,42,0.016513666975696537,0.015236680864229458,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,10,43,0.018481456747507875,0.01745760379795607,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,10,44,0.011753365078672777,0.010818240406102098,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,10,45,0.02142765642700625,0.019219079610879236,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,10,46,0.016951264535981496,0.016055325447775475,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,12,42,0.016222668709227846,0.015265747243519846,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,12,43,0.014328399687116612,0.013463308572663198,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,12,44,0.01856724110457837,0.01665228875470906,gate5b_id_ton_iot,128,128
id,idcc6a61e9,svc_rbf,12,45,0.010004216924761207,0.009436609542316416,gate5b_id_ton_iot,128,128
