mechanism,strength,n_rows,n_material,material_fraction_tau0,detection_I_X,material_served_I_X,material_served_rate_I_X,detection_I_XF,material_served_I_XF,material_served_rate_I_XF,detection_I_XFY,material_served_I_XFY,material_served_rate_I_XFY
mean_shift,0.02,600,174,0.29,0.0066666666666666,173,0.9942528735632185,0.06,155,0.8908045977011494,0.0566666666666666,156,0.896551724137931
mean_shift,0.05,600,237,0.395,0.0783333333333333,215,0.9071729957805909,0.2366666666666666,151,0.6371308016877637,0.2166666666666666,159,0.6708860759493671
mean_shift,0.1,600,322,0.5366666666666666,0.3416666666666667,202,0.6273291925465838,0.4833333333333333,139,0.4316770186335403,0.4533333333333333,148,0.4596273291925465
mean_shift,0.25,600,411,0.685,0.79,69,0.1678832116788321,0.8016666666666666,65,0.1581508515815085,0.79,67,0.1630170316301703
mean_shift,0.5,600,454,0.7566666666666667,0.89,37,0.0814977973568281,0.9,33,0.0726872246696035,0.8916666666666667,35,0.0770925110132158
scaling_drift,0.02,600,241,0.4016666666666666,0.05,215,0.8921161825726142,0.225,131,0.5435684647302904,0.2216666666666666,132,0.5477178423236515
scaling_drift,0.05,600,313,0.5216666666666666,0.35,179,0.5718849840255591,0.4666666666666667,107,0.3418530351437699,0.4483333333333333,114,0.3642172523961661
scaling_drift,0.1,600,350,0.5833333333333334,0.565,120,0.3428571428571428,0.6616666666666666,76,0.2171428571428571,0.6533333333333333,78,0.2228571428571428
scaling_drift,0.25,600,431,0.7183333333333334,0.755,71,0.1647331786542923,0.79,61,0.1415313225058004,0.7716666666666666,68,0.1577726218097447
scaling_drift,0.5,600,485,0.8083333333333333,0.875,47,0.0969072164948453,0.8833333333333333,41,0.0845360824742268,0.8633333333333333,49,0.1010309278350515
