gate,protocol,dataset_tag,svd_dim,split_seed,model_seed,model,attack,attack_family,attack_priority_group,impact_bal_acc,bal_acc,bal_acc_clean,integrity_jsd_vs_clean_eval,integrity_mmd_vs_clean_eval,integrity_ks_reject05_vs_clean_eval,integrity_score_jsd_vs_clean_eval,integrity_pred_pos_rate_shift,integrity_pred_jsd,integrity_label_prior_shift,integrity_label_jsd,integrity_confusion_profile_l1,integrity_confusion_profile_jsd,integrity_pred_disagreement,integrity_confusion_profile_l1_delta,integrity_confusion_profile_jsd_delta,label_flip_rate,atk_family,atk_priority_group,atk_strength_nominal,atk_strength_eff,atk_sham_type,atk_pool_half,atk_draw_index,atk_n_pool_half,atk_n_pool_total,atk_n_samples,atk_n_features,atk_pos_rate_draw,atk_pool_sampling,atk_sigma,atk_mean_abs_delta,atk_max_abs_delta,atk_alpha
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_10,null_control,null_calibration,0.0095238095238094,0.7404761904761905,0.75,0.0312384878994341,0.0,0.0,0.0480737225952209,0.02734375,0.0004111043140826,0.0078125,3.051975144599192e-05,0.0546875,0.0008243160796255,0.39453125,0.0546875,0.0008243160796255,0.4453125,null_control,null_calibration,0.0,0.0,clean_resample,calibration,10.0,322.0,644.0,256.0,8.0,0.5078125,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_11,null_control,null_calibration,0.0,0.7569635751453934,0.75,0.0292947133900294,0.0,0.0,0.0525079686986264,0.05078125,0.0013976783264745,0.02734375,0.0003741668633658,0.1015625,0.0014846137990631,0.44921875,0.1015625,0.0014846137990631,0.44921875,null_control,null_calibration,0.0,0.0,clean_resample,calibration,11.0,322.0,644.0,256.0,8.0,0.52734375,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_12,null_control,null_calibration,0.0,0.7612414467253177,0.75,0.0294527034587084,0.0,0.125,0.0478807879367918,0.015625,0.0001352901281188,0.015625,0.0001221050969211,0.046875,0.0005569749235113,0.484375,0.046875,0.0005569749235113,0.5,null_control,null_calibration,0.0,0.0,clean_resample,calibration,12.0,322.0,644.0,256.0,8.0,0.484375,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_13,null_control,null_calibration,0.0,0.76953125,0.75,0.0308173540694225,0.0,0.0,0.0446974239415239,0.03515625,0.0006762124583316,0.0,0.0,0.0703125,0.0009684275728413,0.48828125,0.0703125,0.0009684275728413,0.5390625,null_control,null_calibration,0.0,0.0,clean_resample,calibration,13.0,322.0,644.0,256.0,8.0,0.5,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_14,null_control,null_calibration,0.0124633431085043,0.7375366568914956,0.75,0.0323089354050634,0.0,0.0,0.0491755839402332,0.0078125,3.4007227108287e-05,0.015625,0.0001221050969211,0.03125,0.0006673117243918,0.421875,0.03125,0.0006673117243918,0.53125,null_control,null_calibration,0.0,0.0,clean_resample,calibration,14.0,322.0,644.0,256.0,8.0,0.484375,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_15,null_control,null_calibration,0.0,0.76171875,0.75,0.0309754512164925,0.0,0.125,0.0429086856176786,0.01953125,0.0002108314115279,0.0,0.0,0.0390625,0.0003013619072925,0.48828125,0.0390625,0.0003013619072925,0.5625,null_control,null_calibration,0.0,0.0,clean_resample,calibration,15.0,322.0,644.0,256.0,8.0,0.5,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_16,null_control,null_calibration,0.0,0.76171875,0.75,0.0318448921750594,0.0225496975667262,0.125,0.0510727267873033,0.03515625,0.0006762124583316,0.0,0.0,0.0703125,0.000967650020991,0.46484375,0.0703125,0.000967650020991,0.515625,null_control,null_calibration,0.0,0.0,clean_resample,calibration,16.0,322.0,644.0,256.0,8.0,0.5,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_17,null_control,null_calibration,0.0,0.7554251482364447,0.75,0.0307181903936872,0.0,0.0,0.0505124188771471,0.03515625,0.0006762124583316,0.01953125,0.0001908198068629,0.0703125,0.0007162330743284,0.48828125,0.0703125,0.0007162330743284,0.51953125,null_control,null_calibration,0.0,0.0,clean_resample,calibration,17.0,322.0,644.0,256.0,8.0,0.51953125,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_18,null_control,null_calibration,0.0,0.7706464017579198,0.75,0.0292577571056129,0.0,0.0,0.0474926325380548,0.0234375,0.0003028083369322,0.00390625,7.629530352796501e-06,0.046875,0.0004714296618707,0.453125,0.046875,0.0004714296618707,0.56640625,null_control,null_calibration,0.0,0.0,clean_resample,calibration,18.0,322.0,644.0,256.0,8.0,0.50390625,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_19,null_control,null_calibration,0.0127418665690044,0.7372581334309956,0.75,0.0308125175703525,0.0,0.0,0.0570988450747007,0.03125,0.0005356078585013,0.00390625,7.629530352796501e-06,0.0625,0.0014830329791628,0.46875,0.0625,0.0014830329791628,0.51953125,null_control,null_calibration,0.0,0.0,clean_resample,calibration,19.0,322.0,644.0,256.0,8.0,0.49609375,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_calib_20,null_control,null_calibration,0.0,0.7521367521367521,0.75,0.0298736799936086,0.0,0.0,0.0426735817283745,0.03125,0.0005356078585013,0.0078125,3.051975144599192e-05,0.0625,0.0007019114287455,0.4765625,0.0625,0.0007019114287455,0.5,null_control,null_calibration,0.0,0.0,clean_resample,calibration,20.0,322.0,644.0,256.0,8.0,0.5078125,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_01,null_control,null_evaluation,0.0,0.7745648854961833,0.75,0.0304851884062869,0.0,0.125,0.0286236117949438,0.0390625,0.0008328164480711,0.01171875,6.867555470620136e-05,0.078125,0.0016763995170635,0.421875,0.078125,0.0016763995170635,0.51171875,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,1.0,322.0,644.0,256.0,8.0,0.48828125,simple_random_without_replacement,,,,
