gate,svd_dim,split_seed,model_seed,n_eval,near_duplicate_rows_1e-6,near_duplicate_row_fraction_1e-6,max_cluster_mass_width_0.01sd,mean_cluster_mass_width_0.01sd,max_cluster_mass_width_0.001sd,n_features_cluster_ge_0.20_width_0.01sd,n_features
gate3a_ood_tue_wed,10,46,42,128,9,0.0703125,0.8125,0.4984375,0.4921875,10,10
gate3a_ood_tue_wed,10,46,43,128,4,0.03125,0.8203125,0.49140625,0.4140625,10,10
gate3a_ood_tue_wed,12,42,42,128,3,0.0234375,0.7578125,0.4309895833333333,0.4453125,12,12
gate3a_ood_tue_wed,12,42,43,128,9,0.0703125,0.7890625,0.453125,0.5078125,12,12
gate3a_ood_tue_wed,12,43,42,128,5,0.0390625,0.703125,0.4583333333333333,0.453125,12,12
gate3a_ood_tue_wed,12,43,43,128,5,0.0390625,0.796875,0.462890625,0.4609375,12,12
gate3a_ood_tue_wed,12,44,42,128,6,0.046875,0.8203125,0.4361979166666667,0.4609375,12,12
gate3a_ood_tue_wed,12,44,43,128,10,0.078125,0.7578125,0.5377604166666666,0.546875,12,12
gate3a_ood_tue_wed,12,45,42,128,5,0.0390625,0.796875,0.478515625,0.5234375,12,12
gate3a_ood_tue_wed,12,45,43,128,10,0.078125,0.6015625,0.4850260416666667,0.5,12,12
gate3a_ood_tue_wed,12,46,42,128,9,0.0703125,0.8125,0.4811197916666667,0.4921875,12,12
gate3a_ood_tue_wed,12,46,43,128,4,0.03125,0.8203125,0.470703125,0.4140625,12,12
gate3b_ood_tue_fri_portscan,8,42,42,128,17,0.1328125,0.84375,0.7216796875,0.78125,8,8
gate3b_ood_tue_fri_portscan,8,42,43,128,14,0.109375,0.8515625,0.7353515625,0.8359375,8,8
gate3b_ood_tue_fri_portscan,8,43,42,128,17,0.1328125,0.875,0.7568359375,0.8046875,8,8
gate3b_ood_tue_fri_portscan,8,43,43,128,14,0.109375,0.8515625,0.74609375,0.796875,8,8
gate3b_ood_tue_fri_portscan,8,44,42,128,18,0.140625,0.828125,0.703125,0.78125,8,8
gate3b_ood_tue_fri_portscan,8,44,43,128,17,0.1328125,0.9140625,0.7861328125,0.8984375,8,8
gate3b_ood_tue_fri_portscan,8,45,42,128,16,0.125,0.8671875,0.759765625,0.8359375,8,8
gate3b_ood_tue_fri_portscan,8,45,43,128,19,0.1484375,0.875,0.7587890625,0.8046875,8,8
gate3b_ood_tue_fri_portscan,8,46,42,128,20,0.15625,0.890625,0.748046875,0.828125,8,8
gate3b_ood_tue_fri_portscan,8,46,43,128,15,0.1171875,0.921875,0.806640625,0.8515625,8,8
gate3b_ood_tue_fri_portscan,10,42,42,128,17,0.1328125,0.84375,0.7140625,0.78125,10,10
gate3b_ood_tue_fri_portscan,10,42,43,128,14,0.109375,0.8515625,0.7203125,0.8359375,10,10
gate3b_ood_tue_fri_portscan,10,43,42,128,17,0.1328125,0.875,0.73359375,0.8046875,10,10
gate3b_ood_tue_fri_portscan,10,43,43,128,14,0.109375,0.8515625,0.7375,0.796875,10,10
gate3b_ood_tue_fri_portscan,10,44,42,128,18,0.140625,0.828125,0.69765625,0.78125,10,10
gate3b_ood_tue_fri_portscan,10,44,43,128,17,0.1328125,0.9140625,0.78515625,0.8984375,10,10
