gate,model,model_C,model_gamma,n_cells
gate1_id_cicids,qsvc_zz_r1,0.1,,3
gate1_id_cicids,qsvc_zz_r1,1.0,,4
gate1_id_cicids,qsvc_zz_r1,10.0,,6
gate1_id_cicids,qsvc_zz_r1,100.0,,17
gate1_id_cicids,svc_rbf,0.1,scale,1
gate1_id_cicids,svc_rbf,1.0,0.01,1
gate1_id_cicids,svc_rbf,1.0,0.1,1
gate1_id_cicids,svc_rbf,1.0,1.0,2
gate1_id_cicids,svc_rbf,1.0,scale,2
gate1_id_cicids,svc_rbf,10.0,0.01,9
gate1_id_cicids,svc_rbf,10.0,0.1,1
gate1_id_cicids,svc_rbf,10.0,1.0,1
gate1_id_cicids,svc_rbf,10.0,scale,4
gate1_id_cicids,svc_rbf,100.0,0.01,3
gate1_id_cicids,svc_rbf,100.0,0.1,1
gate1_id_cicids,svc_rbf,100.0,1.0,2
gate1_id_cicids,svc_rbf,100.0,scale,2
gate6_ood_unsw,qsvc_zz_r1,1.0,,17
gate6_ood_unsw,qsvc_zz_r1,10.0,,13
gate6_ood_unsw,svc_rbf,0.1,1.0,1
gate6_ood_unsw,svc_rbf,1.0,0.1,1
gate6_ood_unsw,svc_rbf,1.0,1.0,1
gate6_ood_unsw,svc_rbf,10.0,0.01,6
gate6_ood_unsw,svc_rbf,10.0,0.1,3
gate6_ood_unsw,svc_rbf,10.0,1.0,3
gate6_ood_unsw,svc_rbf,10.0,scale,3
gate6_ood_unsw,svc_rbf,100.0,0.01,3
gate6_ood_unsw,svc_rbf,100.0,0.1,1
gate6_ood_unsw,svc_rbf,100.0,1.0,2
gate6_ood_unsw,svc_rbf,100.0,scale,6
