gate,attack_family,attack,target,target_kind,n,n_fire,detection_rate,ci95_low,ci95_high
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_jsd_vs_clean_eval,sensor,60,0,0.0,0.0,0.059629492286166916
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_mmd_vs_clean_eval,sensor,60,5,0.08333333333333333,0.027613310337426412,0.1838577833765858
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_ks_reject05_vs_clean_eval,sensor,60,0,0.0,0.0,0.059629492286166916
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_score_jsd_vs_clean_eval,sensor,60,0,0.0,0.0,0.059629492286166916
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_pred_pos_rate_shift,sensor,60,19,0.31666666666666665,0.20257550711897182,0.4495596877640524
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_pred_jsd,sensor,60,19,0.31666666666666665,0.20257550711897182,0.4495596877640524
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_label_prior_shift,sensor,60,0,0.0,0.0,0.059629492286166916
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_label_jsd,sensor,60,0,0.0,0.0,0.059629492286166916
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_confusion_profile_l1,sensor,60,18,0.3,0.18845144541972264,0.43208313387606156
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_confusion_profile_jsd,sensor,60,23,0.38333333333333336,0.26070705801599925,0.5178850485688385
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_X,regime,60,5,0.08333333333333333,0.027613310337426412,0.1838577833765858
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_XF,regime,60,19,0.31666666666666665,0.20257550711897182,0.4495596877640524
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_Ym,regime,60,0,0.0,0.0,0.059629492286166916
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_XFY,regime,60,23,0.38333333333333336,0.26070705801599925,0.5178850485688385
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_pred_disagreement,sensor_exact,60,59,0.9833333333333333,0.910600949942513,0.999578125547658
gate2_id_256,corruption,feature_sign_flip_p_0.020,integrity_confusion_profile_l1_delta,sensor_exact,60,58,0.9666666666666667,0.8847189555807483,0.9959373753579065
