subset,regime,auditor,n,n_fire,detection_rate
all_label_interventions,I_X,batch_level_calibrated,3600,0,0.0
all_label_interventions,I_XF,batch_level_calibrated,3600,0,0.0
all_label_interventions,I_Ym,batch_level_calibrated,3600,0,0.0
all_label_interventions,I_XFY,batch_level_calibrated,3600,43,0.011944444444444445
all_label_interventions,I_XF_item_aligned,item_aligned_exact,3600,0,0.0
all_label_interventions,I_XFY_item_aligned,item_aligned_exact,3600,3600,1.0
prior_preserving_label_interventions,I_X,batch_level_calibrated,1800,0,0.0
prior_preserving_label_interventions,I_XF,batch_level_calibrated,1800,0,0.0
prior_preserving_label_interventions,I_Ym,batch_level_calibrated,1800,0,0.0
prior_preserving_label_interventions,I_XFY,batch_level_calibrated,1800,21,0.011666666666666667
prior_preserving_label_interventions,I_XF_item_aligned,item_aligned_exact,1800,0,0.0
prior_preserving_label_interventions,I_XFY_item_aligned,item_aligned_exact,1800,1800,1.0
positive_impact_label_interventions,I_X,batch_level_calibrated,2184,0,0.0
positive_impact_label_interventions,I_XF,batch_level_calibrated,2184,0,0.0
positive_impact_label_interventions,I_Ym,batch_level_calibrated,2184,0,0.0
positive_impact_label_interventions,I_XFY,batch_level_calibrated,2184,40,0.018315018315018316
positive_impact_label_interventions,I_XF_item_aligned,item_aligned_exact,2184,0,0.0
positive_impact_label_interventions,I_XFY_item_aligned,item_aligned_exact,2184,2184,1.0
