all,attack_family,target,target_kind,n,n_fire,detection_rate,ci95_low,ci95_high
all_environments,pipeline,integrity_confusion_profile_l1,sensor,1800,15,0.008333333333333333,0.004671388094036717,0.01370737328117807
all_environments,pipeline,integrity_confusion_profile_jsd,sensor,1800,20,0.011111111111111112,0.006799797425742153,0.0171082769666977
all_environments,pipeline,I_X,regime,1800,0,0.0,0.0,0.0020472789343030334
all_environments,pipeline,I_XF,regime,1800,50,0.027777777777777776,0.02068593914776755,0.03645899093935767
all_environments,pipeline,I_Ym,regime,1800,0,0.0,0.0,0.0020472789343030334
all_environments,pipeline,I_XFY,regime,1800,50,0.027777777777777776,0.02068593914776755,0.03645899093935767
all_environments,pipeline,integrity_pred_disagreement,sensor_exact,1800,1174,0.6522222222222223,0.6297083125712087,0.6742388544104929
all_environments,pipeline,integrity_confusion_profile_l1_delta,sensor_exact,1800,1148,0.6377777777777778,0.6150855554078365,0.6600199761429519
all_environments,pipeline,integrity_confusion_profile_jsd_delta,sensor_exact,1800,1148,0.6377777777777778,0.6150855554078365,0.6600199761429519
all_environments,pipeline,label_flip_rate,sensor_exact,1800,0,0.0,0.0,0.0020472789343030334
all_environments,pipeline,I_XF_item_aligned,regime_exact,1800,1174,0.6522222222222223,0.6297083125712087,0.6742388544104929
all_environments,pipeline,I_XFY_item_aligned,regime_exact,1800,1174,0.6522222222222223,0.6297083125712087,0.6742388544104929
all_environments,target_shift,integrity_jsd_vs_clean_eval,sensor,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,integrity_mmd_vs_clean_eval,sensor,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,integrity_ks_reject05_vs_clean_eval,sensor,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,integrity_score_jsd_vs_clean_eval,sensor,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,integrity_pred_pos_rate_shift,sensor,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,integrity_pred_jsd,sensor,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,integrity_label_prior_shift,sensor,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,integrity_label_jsd,sensor,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,integrity_confusion_profile_l1,sensor,3600,5,0.001388888888888889,0.00045111737921690366,0.0032382024063766085
all_environments,target_shift,integrity_confusion_profile_jsd,sensor,3600,42,0.011666666666666667,0.00842088862052282,0.015737543689548612
all_environments,target_shift,I_X,regime,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,I_XF,regime,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,I_Ym,regime,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,I_XFY,regime,3600,43,0.011944444444444445,0.008657370850912286,0.016055697098059485
all_environments,target_shift,integrity_pred_disagreement,sensor_exact,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,integrity_confusion_profile_l1_delta,sensor_exact,3600,2792,0.7755555555555556,0.7615670558625472,0.7890951969372414
all_environments,target_shift,integrity_confusion_profile_jsd_delta,sensor_exact,3600,2792,0.7755555555555556,0.7615670558625472,0.7890951969372414
all_environments,target_shift,label_flip_rate,sensor_exact,3600,3600,1.0,0.9989758360769778,1.0
all_environments,target_shift,I_XF_item_aligned,regime_exact,3600,0,0.0,0.0,0.0010241639230221269
all_environments,target_shift,I_XFY_item_aligned,regime_exact,3600,3600,1.0,0.9989758360769778,1.0
