all,target,target_kind,n,n_fire,false_alarm_rate,ci95_low,ci95_high
all_environments,integrity_jsd_vs_clean_eval,sensor,12000,600,0.05,0.04616843283036461,0.054051673534862954
all_environments,integrity_mmd_vs_clean_eval,sensor,12000,822,0.0685,0.0640438753183831,0.07316678197375497
all_environments,integrity_ks_reject05_vs_clean_eval,sensor,12000,342,0.0285,0.025596001006208298,0.031635606098442626
all_environments,integrity_score_jsd_vs_clean_eval,sensor,12000,668,0.05566666666666667,0.05163097535744297,0.05991954424291705
all_environments,integrity_pred_pos_rate_shift,sensor,12000,520,0.043333333333333335,0.039759932200884605,0.04713031879084181
all_environments,integrity_pred_jsd,sensor,12000,586,0.04883333333333333,0.04504544605037135,0.05284193192169419
all_environments,integrity_label_prior_shift,sensor,12000,570,0.0475,0.04376277885413382,0.051458625595929605
all_environments,integrity_label_jsd,sensor,12000,570,0.0475,0.04376277885413382,0.051458625595929605
all_environments,integrity_confusion_profile_l1,sensor,12000,517,0.043083333333333335,0.03952004214464996,0.04687034037673079
all_environments,integrity_confusion_profile_jsd,sensor,12000,638,0.05316666666666667,0.04921945146600226,0.0573323529461571
all_environments,I_X,regime,12000,1500,0.125,0.11913260349025374,0.13104995277914439
all_environments,I_XF,regime,12000,2438,0.20316666666666666,0.19599873613986277,0.2104788641360654
all_environments,I_Ym,regime,12000,570,0.0475,0.04376277885413382,0.051458625595929605
all_environments,I_XFY,regime,12000,3113,0.2594166666666667,0.25159180249612917,0.2673583864842989
