condition,svd_dim,metric,mean,std,ci95_low,ci95_high,n,clusters_positive,n_clusters,svc_impact_mean,zz_impact_mean
gate1_id_cicids__tuned_cv5,8,zz_minus_svc_impact_mean,0.04257966232754564,0.026692042737379372,0.009437113822025361,0.07572221083306592,5,5,5,0.01927859362318558,0.061858255950731224
gate1_id_cicids__tuned_cv5,10,zz_minus_svc_impact_mean,0.07128811549641366,0.01764473964532127,0.04937927752113954,0.09319695347168777,5,5,5,0.019632302585672216,0.09092041808208587
gate1_id_cicids__tuned_cv5,12,zz_minus_svc_impact_mean,0.07763873930710703,0.013405645629297563,0.060993431756530575,0.09428404685768349,5,5,5,0.020080864542908184,0.09771960385001519
gate6_ood_unsw__tuned_cv5,8,zz_minus_svc_impact_mean,0.02294888019661267,0.010221923202893751,0.010256686163175764,0.03564107423004957,5,5,5,0.018455286753219446,0.041404166949832115
gate6_ood_unsw__tuned_cv5,10,zz_minus_svc_impact_mean,0.03480509565597273,0.011557325080254824,0.02045478118828286,0.0491554101236626,5,5,5,0.01612147729057187,0.0509265729465446
gate6_ood_unsw__tuned_cv5,12,zz_minus_svc_impact_mean,0.045866860737648806,0.007055793447817932,0.03710593603473125,0.05462778544056636,5,5,5,0.019010864991164837,0.06487772572881365
gate1_id_cicids__reference_untuned,8,zz_minus_svc_impact_mean,0.02454411168283021,0.014202480391346526,0.006909403095700289,0.04217882026996013,5,5,5,0.017912203207641496,0.04245631489047171
gate1_id_cicids__reference_untuned,10,zz_minus_svc_impact_mean,0.03476679427808778,0.013843433775194923,0.01757790094791019,0.05195568760826537,5,5,5,0.017021082381380732,0.05178787665946851
gate1_id_cicids__reference_untuned,12,zz_minus_svc_impact_mean,0.04071484740841784,0.008229855742912757,0.030496131822032556,0.050933562994803123,5,5,5,0.019028476715065388,0.059743324123483224
gate6_ood_unsw__reference_untuned,8,zz_minus_svc_impact_mean,0.022575125052771372,0.006266546982133944,0.014794179272003192,0.030356070833539552,5,5,5,0.017730328264185073,0.04030545331695644
gate6_ood_unsw__reference_untuned,10,zz_minus_svc_impact_mean,0.03790533903359119,0.009563665198366501,0.026030480265905223,0.049780197801277154,5,5,5,0.017258855853323866,0.05516419488691506
gate6_ood_unsw__reference_untuned,12,zz_minus_svc_impact_mean,0.04826640960135896,0.006654949584711162,0.04000319829216201,0.05652962091055591,5,5,5,0.017391302686756076,0.06565771228811504
