condition,svd_dim,metric,mean,std,ci95_low,ci95_high,n,clusters_positive,n_clusters,svc_impact_mean,zz_impact_mean
P0_reference,8,zz_minus_svc_impact_mean,0.02454411168283021,0.014202480391346526,0.006909403095700289,0.04217882026996013,5,5,5,0.017912203207641496,0.04245631489047171
P0_reference,10,zz_minus_svc_impact_mean,0.03476679427808778,0.013843433775194923,0.01757790094791019,0.05195568760826537,5,5,5,0.017021082381380732,0.05178787665946851
P0_reference,12,zz_minus_svc_impact_mean,0.04071484740841784,0.008229855742912757,0.030496131822032556,0.050933562994803123,5,5,5,0.019028476715065388,0.059743324123483224
PA_standard_standard,8,zz_minus_svc_impact_mean,0.006958455724117909,0.004473398158990659,0.001403998280468199,0.01251291316776762,5,5,5,0.017912203207641496,0.02487065893175941
PA_standard_standard,10,zz_minus_svc_impact_mean,0.012957339654041056,0.00717031545946977,0.004054217092253542,0.021860462215828567,5,5,5,0.017021082381380732,0.02997842203542179
PA_standard_standard,12,zz_minus_svc_impact_mean,0.011128891918740233,0.004749638063366173,0.005231437330960197,0.017026346506520268,5,5,5,0.019028476715065388,0.03015736863380562
PB_minmax2pi_minmax2pi,8,zz_minus_svc_impact_mean,0.023845133095328097,0.014845153783963566,0.005412440093982125,0.04227782609667407,5,5,5,0.018611181795143615,0.04245631489047171
PB_minmax2pi_minmax2pi,10,zz_minus_svc_impact_mean,0.03233620997931376,0.013465205026886999,0.015616949668995794,0.049055470289631725,5,5,5,0.01945166668015475,0.05178787665946851
PB_minmax2pi_minmax2pi,12,zz_minus_svc_impact_mean,0.039619769360723645,0.010865247295406772,0.02612878296243621,0.05311075575901108,5,5,5,0.02012355476275958,0.059743324123483224
