gate,svd_dim,model,target,target_kind,n,n_fire,false_alarm_rate,ci95_low,ci95_high
gate2_id_256,10,qsvc_zz_r1,integrity_confusion_profile_jsd,sensor,200,30,0.15,0.10354952352186264,0.2071587036685507
gate2_id_256,10,qsvc_zz_r1,I_X,regime,200,41,0.205,0.15131057199551942,0.26765392078528527
gate2_id_256,10,qsvc_zz_r1,I_XF,regime,200,48,0.24,0.1825719038924728,0.3053062856471396
gate2_id_256,10,qsvc_zz_r1,I_Ym,regime,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,10,qsvc_zz_r1,I_XFY,regime,200,68,0.34,0.27466827583075526,0.4101559390887147
gate2_id_256,10,svc_rbf,integrity_jsd_vs_clean_eval,sensor,200,29,0.145,0.09930862255520756,0.20156149617317962
gate2_id_256,10,svc_rbf,integrity_mmd_vs_clean_eval,sensor,200,6,0.03,0.011087455672254776,0.06415062670502698
gate2_id_256,10,svc_rbf,integrity_ks_reject05_vs_clean_eval,sensor,200,11,0.055,0.027772254552006544,0.09627764443391293
gate2_id_256,10,svc_rbf,integrity_score_jsd_vs_clean_eval,sensor,200,36,0.18,0.12936892834839725,0.24038109688400744
gate2_id_256,10,svc_rbf,integrity_pred_pos_rate_shift,sensor,200,0,0.0,0.0,0.018275340355136237
gate2_id_256,10,svc_rbf,integrity_pred_jsd,sensor,200,0,0.0,0.0,0.018275340355136237
gate2_id_256,10,svc_rbf,integrity_label_prior_shift,sensor,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,10,svc_rbf,integrity_label_jsd,sensor,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,10,svc_rbf,integrity_confusion_profile_l1,sensor,200,2,0.01,0.001213349013736031,0.03565466839723975
gate2_id_256,10,svc_rbf,integrity_confusion_profile_jsd,sensor,200,2,0.01,0.001213349013736031,0.03565466839723975
gate2_id_256,10,svc_rbf,I_X,regime,200,42,0.21,0.15573975672412838,0.27306870461379884
gate2_id_256,10,svc_rbf,I_XF,regime,200,52,0.26,0.20068485487634063,0.3265777536571397
gate2_id_256,10,svc_rbf,I_Ym,regime,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,10,svc_rbf,I_XFY,regime,200,58,0.29,0.22815698936351192,0.3581874521622911
gate2_id_256,12,qsvc_zz_r1,integrity_jsd_vs_clean_eval,sensor,200,21,0.105,0.06618122702871179,0.15601870554750288
gate2_id_256,12,qsvc_zz_r1,integrity_mmd_vs_clean_eval,sensor,200,8,0.04,0.017424808994480605,0.07729196822601608
gate2_id_256,12,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,sensor,200,7,0.035,0.014185525898419248,0.07078099835097719
gate2_id_256,12,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,sensor,200,17,0.085,0.05029591863025729,0.13260516582955237
gate2_id_256,12,qsvc_zz_r1,integrity_pred_pos_rate_shift,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate2_id_256,12,qsvc_zz_r1,integrity_pred_jsd,sensor,200,4,0.02,0.00547556587955645,0.05041360908989634
gate2_id_256,12,qsvc_zz_r1,integrity_label_prior_shift,sensor,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,12,qsvc_zz_r1,integrity_label_jsd,sensor,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,12,qsvc_zz_r1,integrity_confusion_profile_l1,sensor,200,14,0.07,0.038795570429562824,0.1146597335371105
gate2_id_256,12,qsvc_zz_r1,integrity_confusion_profile_jsd,sensor,200,26,0.13,0.08670835276857528,0.1846523305234126
gate2_id_256,12,qsvc_zz_r1,I_X,regime,200,30,0.15,0.10354952352186264,0.2071587036685507
gate2_id_256,12,qsvc_zz_r1,I_XF,regime,200,47,0.235,0.1780707346006876,0.2999618726472491
gate2_id_256,12,qsvc_zz_r1,I_Ym,regime,200,9,0.045,0.020780422227004353,0.08370268807585404
gate2_id_256,12,qsvc_zz_r1,I_XFY,regime,200,69,0.345,0.27936547597156597,0.4153072390103894
