gate,model,svd_dim,split_seed,model_seed,model_tuning,model_C,model_gamma,model_cv_bal_acc
gate1_id_cicids,qsvc_zz_r1,8,42,42,cv5,10.0,,0.7179487179487178
gate1_id_cicids,qsvc_zz_r1,8,42,43,cv5,10.0,,0.7025641025641025
gate1_id_cicids,qsvc_zz_r1,8,43,42,cv5,0.1,,0.7346153846153847
gate1_id_cicids,qsvc_zz_r1,8,43,43,cv5,1.0,,0.6955128205128205
gate1_id_cicids,qsvc_zz_r1,8,44,42,cv5,1.0,,0.7115384615384615
gate1_id_cicids,qsvc_zz_r1,8,44,43,cv5,1.0,,0.7339743589743589
gate1_id_cicids,qsvc_zz_r1,8,45,42,cv5,10.0,,0.7256410256410256
gate1_id_cicids,qsvc_zz_r1,8,45,43,cv5,1.0,,0.7205128205128204
gate1_id_cicids,qsvc_zz_r1,8,46,42,cv5,100.0,,0.7173076923076923
gate1_id_cicids,qsvc_zz_r1,8,46,43,cv5,100.0,,0.7576923076923077
gate1_id_cicids,qsvc_zz_r1,10,42,42,cv5,100.0,,0.7025641025641025
gate1_id_cicids,qsvc_zz_r1,10,42,43,cv5,100.0,,0.7275641025641025
gate1_id_cicids,qsvc_zz_r1,10,43,42,cv5,0.1,,0.7346153846153847
gate1_id_cicids,qsvc_zz_r1,10,43,43,cv5,100.0,,0.775
gate1_id_cicids,qsvc_zz_r1,10,44,42,cv5,10.0,,0.6884615384615385
gate1_id_cicids,qsvc_zz_r1,10,44,43,cv5,100.0,,0.7467948717948719
gate1_id_cicids,qsvc_zz_r1,10,45,42,cv5,100.0,,0.773076923076923
gate1_id_cicids,qsvc_zz_r1,10,45,43,cv5,10.0,,0.7506410256410257
gate1_id_cicids,qsvc_zz_r1,10,46,42,cv5,100.0,,0.7967948717948719
gate1_id_cicids,qsvc_zz_r1,10,46,43,cv5,100.0,,0.7794871794871796
gate1_id_cicids,qsvc_zz_r1,12,42,42,cv5,100.0,,0.826923076923077
gate1_id_cicids,qsvc_zz_r1,12,42,43,cv5,10.0,,0.7025641025641025
gate1_id_cicids,qsvc_zz_r1,12,43,42,cv5,100.0,,0.7551282051282052
gate1_id_cicids,qsvc_zz_r1,12,43,43,cv5,100.0,,0.7673076923076924
gate1_id_cicids,qsvc_zz_r1,12,44,42,cv5,0.1,,0.6961538461538461
gate1_id_cicids,qsvc_zz_r1,12,44,43,cv5,100.0,,0.7884615384615384
gate1_id_cicids,qsvc_zz_r1,12,45,42,cv5,100.0,,0.7647435897435898
gate1_id_cicids,qsvc_zz_r1,12,45,43,cv5,100.0,,0.8134615384615385
gate1_id_cicids,qsvc_zz_r1,12,46,42,cv5,100.0,,0.7814102564102565
gate1_id_cicids,qsvc_zz_r1,12,46,43,cv5,100.0,,0.7865384615384615
gate1_id_cicids,svc_rbf,8,42,42,cv5,10.0,0.01,0.7820512820512819
gate1_id_cicids,svc_rbf,8,42,43,cv5,100.0,0.01,0.7487179487179486
gate1_id_cicids,svc_rbf,8,43,42,cv5,1.0,0.01,0.7743589743589743
gate1_id_cicids,svc_rbf,8,43,43,cv5,10.0,scale,0.7737179487179487
gate1_id_cicids,svc_rbf,8,44,42,cv5,10.0,0.01,0.75
gate1_id_cicids,svc_rbf,8,44,43,cv5,1.0,scale,0.7884615384615385
gate1_id_cicids,svc_rbf,8,45,42,cv5,100.0,1.0,0.7891025641025641
gate1_id_cicids,svc_rbf,8,45,43,cv5,0.1,scale,0.7673076923076924
gate1_id_cicids,svc_rbf,8,46,42,cv5,10.0,1.0,0.8025641025641026
gate1_id_cicids,svc_rbf,8,46,43,cv5,100.0,0.1,0.8205128205128205
gate1_id_cicids,svc_rbf,10,42,42,cv5,10.0,0.01,0.7743589743589743
gate1_id_cicids,svc_rbf,10,42,43,cv5,100.0,0.01,0.7493589743589744
