condition,svd_dim,model,metric,mean,std,ci95_low,ci95_high,n
gate1_id_cicids__tuned_cv5,8,qsvc_zz_r1,clean_balanced_accuracy,0.75,0.02591113117465156,0.7178270812676999,0.7821729187323001,5
gate1_id_cicids__tuned_cv5,8,svc_rbf,clean_balanced_accuracy,0.74140625,0.014719877876106853,0.7231291075832821,0.759683392416718,5
gate1_id_cicids__tuned_cv5,10,qsvc_zz_r1,clean_balanced_accuracy,0.78125,0.009959022487485907,0.768884240319987,0.793615759680013,5
gate1_id_cicids__tuned_cv5,10,svc_rbf,clean_balanced_accuracy,0.74609375,0.01171875,0.7315430000210497,0.7606444999789503,5
gate1_id_cicids__tuned_cv5,12,qsvc_zz_r1,clean_balanced_accuracy,0.8015625,0.029928095795903054,0.7644018609154336,0.8387231390845663,5
gate1_id_cicids__tuned_cv5,12,svc_rbf,clean_balanced_accuracy,0.7796875,0.023856924194691362,0.7500652161195753,0.8093097838804246,5
gate6_ood_unsw__tuned_cv5,8,qsvc_zz_r1,clean_balanced_accuracy,0.75859375,0.01364394468482264,0.7416525550913721,0.7755349449086278,5
gate6_ood_unsw__tuned_cv5,8,svc_rbf,clean_balanced_accuracy,0.7390625,0.030181943393877902,0.7015866674919977,0.7765383325080022,5
gate6_ood_unsw__tuned_cv5,10,qsvc_zz_r1,clean_balanced_accuracy,0.75703125,0.019216209181638817,0.7331711748772065,0.7808913251227936,5
gate6_ood_unsw__tuned_cv5,10,svc_rbf,clean_balanced_accuracy,0.7234375,0.03465352361908886,0.6804094673112734,0.7664655326887265,5
gate6_ood_unsw__tuned_cv5,12,qsvc_zz_r1,clean_balanced_accuracy,0.7703125,0.008468548198702656,0.7597974085846175,0.7808275914153824,5
gate6_ood_unsw__tuned_cv5,12,svc_rbf,clean_balanced_accuracy,0.7359375,0.02337230515883061,0.7069169501292479,0.7649580498707521,5
gate1_id_cicids__reference_untuned,8,qsvc_zz_r1,clean_balanced_accuracy,0.734375,0.02591113117465156,0.7022020812676999,0.7665479187323001,5
gate1_id_cicids__reference_untuned,8,svc_rbf,clean_balanced_accuracy,0.753125,0.005793905068043487,0.7459309166680002,0.7603190833319999,5
gate1_id_cicids__reference_untuned,10,qsvc_zz_r1,clean_balanced_accuracy,0.728125,0.019255871162290997,0.7042156780237332,0.7520343219762669,5
gate1_id_cicids__reference_untuned,10,svc_rbf,clean_balanced_accuracy,0.746875,0.007513821899090369,0.7375453578589843,0.7562046421410156,5
gate1_id_cicids__reference_untuned,12,qsvc_zz_r1,clean_balanced_accuracy,0.746875,0.024766980443980246,0.716122732038493,0.7776272679615069,5
gate1_id_cicids__reference_untuned,12,svc_rbf,clean_balanced_accuracy,0.778125,0.023984502239076173,0.7483443070549014,0.8079056929450985,5
gate6_ood_unsw__reference_untuned,8,qsvc_zz_r1,clean_balanced_accuracy,0.76015625,0.01283724744152733,0.7442167020158221,0.7760957979841778,5
gate6_ood_unsw__reference_untuned,8,svc_rbf,clean_balanced_accuracy,0.7484375,0.01844643586424624,0.7255332246921906,0.7713417753078093,5
gate6_ood_unsw__reference_untuned,10,qsvc_zz_r1,clean_balanced_accuracy,0.765625,0.008734640537108554,0.7547795113078211,0.7764704886921789,5
gate6_ood_unsw__reference_untuned,10,svc_rbf,clean_balanced_accuracy,0.75390625,0.01953125,0.7296550000350827,0.7781574999649173,5
gate6_ood_unsw__reference_untuned,12,qsvc_zz_r1,clean_balanced_accuracy,0.76875,0.010111077426206863,0.7561954391768282,0.7813045608231719,5
gate6_ood_unsw__reference_untuned,12,svc_rbf,clean_balanced_accuracy,0.75546875,0.010186253758129139,0.7428208454319633,0.7681166545680368,5
