gate,target,target_kind,n,n_fire,false_alarm_rate,ci95_low,ci95_high
gate5b_id_ton_iot,integrity_label_jsd,sensor,2400,168,0.07,0.06011353735101668,0.08095070294202814
gate5b_id_ton_iot,integrity_confusion_profile_l1,sensor,2400,138,0.0575,0.04852287881328247,0.06757499828827639
gate5b_id_ton_iot,integrity_confusion_profile_jsd,sensor,2400,194,0.08083333333333333,0.07023641559869098,0.09246597181832257
gate5b_id_ton_iot,I_X,regime,2400,516,0.215,0.19871128225188173,0.23198717758575269
gate5b_id_ton_iot,I_XF,regime,2400,672,0.28,0.2621056496091894,0.2984327648072785
gate5b_id_ton_iot,I_Ym,regime,2400,168,0.07,0.06011353735101668,0.08095070294202814
gate5b_id_ton_iot,I_XFY,regime,2400,860,0.35833333333333334,0.3391235857547273,0.3778894571558104
gate6_ood_unsw,integrity_jsd_vs_clean_eval,sensor,1200,38,0.03166666666666667,0.02250466491544695,0.04320762247492772
gate6_ood_unsw,integrity_mmd_vs_clean_eval,sensor,1200,60,0.05,0.03836891443711109,0.06389437121473936
gate6_ood_unsw,integrity_ks_reject05_vs_clean_eval,sensor,1200,42,0.035,0.025339083209800474,0.047017378817409514
gate6_ood_unsw,integrity_score_jsd_vs_clean_eval,sensor,1200,87,0.0725,0.05847382337225046,0.08866217103560252
gate6_ood_unsw,integrity_pred_pos_rate_shift,sensor,1200,107,0.08916666666666667,0.07364810306290195,0.1067314669808974
gate6_ood_unsw,integrity_pred_jsd,sensor,1200,110,0.09166666666666666,0.0759400910453074,0.10942622001129627
gate6_ood_unsw,integrity_label_prior_shift,sensor,1200,60,0.05,0.03836891443711109,0.06389437121473936
gate6_ood_unsw,integrity_label_jsd,sensor,1200,60,0.05,0.03836891443711109,0.06389437121473936
gate6_ood_unsw,integrity_confusion_profile_l1,sensor,1200,78,0.065,0.05171543306240043,0.08046197568018895
gate6_ood_unsw,integrity_confusion_profile_jsd,sensor,1200,56,0.04666666666666667,0.035440990104981814,0.06017550316503035
gate6_ood_unsw,I_X,regime,1200,86,0.07166666666666667,0.05772050725062527,0.08775338451238356
gate6_ood_unsw,I_XF,regime,1200,230,0.19166666666666668,0.1697568066487415,0.21509857882170333
gate6_ood_unsw,I_Ym,regime,1200,60,0.05,0.03836891443711109,0.06389437121473936
gate6_ood_unsw,I_XFY,regime,1200,285,0.2375,0.21367303232425633,0.26262046444953385
