all,attack_family,attack,target,target_kind,n,n_fire,detection_rate,ci95_low,ci95_high
all_environments,corruption,feature_sign_flip_p_0.100,integrity_label_prior_shift,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,corruption,feature_sign_flip_p_0.100,integrity_label_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,corruption,feature_sign_flip_p_0.100,integrity_confusion_profile_l1,sensor,600,276,0.46,0.41956913864203943,0.5008263886408955
all_environments,corruption,feature_sign_flip_p_0.100,integrity_confusion_profile_jsd,sensor,600,327,0.545,0.504182873737062,0.5853721480555849
all_environments,corruption,feature_sign_flip_p_0.100,I_X,regime,600,454,0.7566666666666667,0.720284836172824,0.7904997870976076
all_environments,corruption,feature_sign_flip_p_0.100,I_XF,regime,600,526,0.8766666666666667,0.8476553378829209,0.9019033847647943
all_environments,corruption,feature_sign_flip_p_0.100,I_Ym,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,corruption,feature_sign_flip_p_0.100,I_XFY,regime,600,527,0.8783333333333333,0.8494659154483959,0.9034085785573798
all_environments,corruption,feature_sign_flip_p_0.100,integrity_pred_disagreement,sensor_exact,600,544,0.9066666666666666,0.8805111130951372,0.9287265121946553
all_environments,corruption,feature_sign_flip_p_0.100,integrity_confusion_profile_l1_delta,sensor_exact,600,538,0.8966666666666666,0.8694921202073271,0.9198538767491116
all_environments,corruption,feature_sign_flip_p_0.100,integrity_confusion_profile_jsd_delta,sensor_exact,600,538,0.8966666666666666,0.8694921202073271,0.9198538767491116
all_environments,corruption,feature_sign_flip_p_0.100,label_flip_rate,sensor_exact,600,0,0.0,0.0,0.006129271330669258
all_environments,corruption,feature_sign_flip_p_0.100,I_XF_item_aligned,regime_exact,600,544,0.9066666666666666,0.8805111130951372,0.9287265121946553
all_environments,corruption,feature_sign_flip_p_0.100,I_XFY_item_aligned,regime_exact,600,544,0.9066666666666666,0.8805111130951372,0.9287265121946553
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_jsd_vs_clean_eval,sensor,600,415,0.6916666666666667,0.6530039231765469,0.7284302343444631
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_mmd_vs_clean_eval,sensor,600,109,0.18166666666666667,0.15161134588133715,0.21489381795083676
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_ks_reject05_vs_clean_eval,sensor,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_score_jsd_vs_clean_eval,sensor,600,383,0.6383333333333333,0.5984474908236626,0.6768499714524578
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_pred_pos_rate_shift,sensor,600,18,0.03,0.01787480235788056,0.04699961041127931
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_pred_jsd,sensor,600,19,0.03166666666666667,0.01917090026733212,0.049010998614013666
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_label_prior_shift,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_label_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_confusion_profile_l1,sensor,600,18,0.03,0.01787480235788056,0.04699961041127931
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_confusion_profile_jsd,sensor,600,21,0.035,0.021793621965507267,0.05300524321915088
all_environments,covariate_shift,mean_shift_pf_delta_0.020,I_X,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.020,I_XF,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.020,I_Ym,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.020,I_XFY,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_pred_disagreement,sensor_exact,600,214,0.3566666666666667,0.3182917765751255,0.3964603686826742
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_confusion_profile_l1_delta,sensor_exact,600,205,0.3416666666666667,0.3037444183075425,0.38115663503798525
all_environments,covariate_shift,mean_shift_pf_delta_0.020,integrity_confusion_profile_jsd_delta,sensor_exact,600,205,0.3416666666666667,0.3037444183075425,0.38115663503798525
all_environments,covariate_shift,mean_shift_pf_delta_0.020,label_flip_rate,sensor_exact,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.020,I_XF_item_aligned,regime_exact,600,214,0.3566666666666667,0.3182917765751255,0.3964603686826742
all_environments,covariate_shift,mean_shift_pf_delta_0.020,I_XFY_item_aligned,regime_exact,600,214,0.3566666666666667,0.3182917765751255,0.3964603686826742
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_jsd_vs_clean_eval,sensor,600,485,0.8083333333333333,0.7745166475757238,0.8390799247077313
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_mmd_vs_clean_eval,sensor,600,205,0.3416666666666667,0.3037444183075425,0.38115663503798525
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_ks_reject05_vs_clean_eval,sensor,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_score_jsd_vs_clean_eval,sensor,600,472,0.7866666666666666,0.7516816373277174,0.8188010049218858
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_pred_pos_rate_shift,sensor,600,68,0.11333333333333333,0.0890899002323898,0.1414571672127131
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_pred_jsd,sensor,600,71,0.11833333333333333,0.09358583418685672,0.14690820986853503
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_label_prior_shift,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_label_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.050,integrity_confusion_profile_l1,sensor,600,62,0.10333333333333333,0.08014612325088846,0.1305078797926728
