regime,trusted_reference,coverage_feature,coverage_prediction,coverage_label,unverified_boundaries
I_X,False,calibrated,blind,blind,prediction+label
I_XF,False,calibrated,calibrated,blind,label
I_Ym,False,blind,blind,marginal,feature+prediction+label
I_XFY,False,calibrated,calibrated,calibrated,none
I_XFY_trusted,True,exact,exact,exact,none
