gate,attack_family,attack,regime,rule,n,n_fire,detection_rate
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_X,family_v12,60,60,1.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_X,family,60,60,1.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_XF,union,60,60,1.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_XF,family_v12,60,60,1.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_XF,family,60,60,1.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_Ym,union,60,0,0.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_Ym,family_v12,60,0,0.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_Ym,family,60,0,0.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_XFY,union,60,60,1.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_XFY,family_v12,60,60,1.0
gate2_id_256,covariate_shift,scaling_drift_alpha_0.100,I_XFY,family,60,60,1.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_X,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_X,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_X,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_XF,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_XF,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_XF,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_Ym,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_Ym,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_Ym,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_XFY,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_XFY,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.020,I_XFY,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_X,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_X,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_X,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_XF,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_XF,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_XF,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_Ym,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_Ym,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_Ym,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_XFY,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_XFY,family_v12,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.050,I_XFY,family,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.100,I_X,union,60,0,0.0
gate2_id_256,pipeline,feature_dropout_p_0.100,I_X,family_v12,60,0,0.0
