regime,policy,observation_class,reason,n
I_Ym,family_calibrated_strict,clean,unverified_boundary:feature,11430
I_Ym,family_calibrated_strict,clean,unverified_boundary:label,11430
I_Ym,family_calibrated_strict,clean,unverified_boundary:prediction,11430
I_Ym,family_calibrated_strict,intervened,unverified_boundary:feature,10800
I_Ym,family_calibrated_strict,intervened,unverified_boundary:label,10800
I_Ym,family_calibrated_strict,intervened,unverified_boundary:prediction,10800
I_Ym,serve_always,benign,policy_serve_always,1200
I_Ym,serve_always,clean,policy_serve_always,12000
I_Ym,serve_always,intervened,policy_serve_always,10800
I_Ym,union_uncalibrated,benign,allowed_with_residual_blind_region:feature+prediction+label,1200
I_Ym,union_uncalibrated,clean,allowed_with_residual_blind_region:feature+prediction+label,11430
I_Ym,union_uncalibrated,clean,union_sensor_fired,570
I_Ym,union_uncalibrated,intervened,allowed_with_residual_blind_region:feature+prediction+label,10800
