gate,regime,rule,n_draws,n_fire,pooled_rate,n_clusters,cluster_mean,cluster_ci95_low,cluster_ci95_high,n_test,n_pool_half,max_disjoint_draws_per_half,unit
gate2_id_256,I_X,union,1200,244,0.20333333333333334,5,0.2033333333333333,-0.044659716398013805,0.4513263830646804,256,322,1,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate2_id_256,I_X,family,1200,159,0.1325,5,0.1325,-0.04500801767285817,0.3100080176728582,256,322,1,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate2_id_256,I_XF,union,1200,294,0.245,5,0.24500000000000002,-0.011664793252507993,0.501664793252508,256,322,1,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate2_id_256,I_XF,family,1200,150,0.125,5,0.125,-0.01967591037266936,0.26967591037266936,256,322,1,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate2_id_256,I_Ym,union,1200,54,0.045,5,0.045,-0.04655956570242831,0.1365595657024283,256,322,1,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate2_id_256,I_Ym,family,1200,54,0.045,5,0.045,-0.04655956570242831,0.1365595657024283,256,322,1,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate2_id_256,I_XFY,union,1200,397,0.3308333333333333,5,0.3308333333333333,0.061890715480123704,0.5997759511865429,256,322,1,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate2_id_256,I_XFY,family,1200,175,0.14583333333333334,5,0.14583333333333331,0.0012036822457386354,0.290462984420928,256,322,1,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3a_ood_tue_wed,I_X,union,1200,180,0.15,5,0.15,0.023484586489353337,0.2765154135106467,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3a_ood_tue_wed,I_X,family,1200,118,0.09833333333333333,5,0.09833333333333334,-0.008046752556581618,0.20471341922324832,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3a_ood_tue_wed,I_XF,union,1200,276,0.23,5,0.22999999999999998,0.11763636367799948,0.3423636363220005,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3a_ood_tue_wed,I_XF,family,1200,114,0.095,5,0.095,0.02097954188293817,0.16902045811706184,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3a_ood_tue_wed,I_Ym,union,1200,30,0.025,5,0.025,-0.006041599955094162,0.05604159995509417,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3a_ood_tue_wed,I_Ym,family,1200,30,0.025,5,0.025,-0.006041599955094162,0.05604159995509417,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3a_ood_tue_wed,I_XFY,union,1200,305,0.25416666666666665,5,0.2541666666666667,0.11452737878913641,0.393805954544197,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3a_ood_tue_wed,I_XFY,family,1200,122,0.10166666666666667,5,0.10166666666666666,0.022137815641717573,0.18119551769161574,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3b_ood_tue_fri_portscan,I_X,union,1200,79,0.06583333333333333,5,0.06583333333333333,0.0032776844099144664,0.1283889822567522,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3b_ood_tue_fri_portscan,I_X,family,1200,47,0.03916666666666667,5,0.03916666666666666,0.00017542951100159299,0.07815790382233173,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3b_ood_tue_fri_portscan,I_XF,union,1200,192,0.16,5,0.16,0.055140431855958044,0.264859568144042,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3b_ood_tue_fri_portscan,I_XF,family,1200,54,0.045,5,0.045,-0.00639861584039509,0.09639861584039508,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3b_ood_tue_fri_portscan,I_Ym,union,1200,30,0.025,5,0.025,-0.006041599955094162,0.05604159995509417,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3b_ood_tue_fri_portscan,I_Ym,family,1200,30,0.025,5,0.025,-0.006041599955094162,0.05604159995509417,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3b_ood_tue_fri_portscan,I_XFY,union,1200,237,0.1975,5,0.19749999999999995,0.09855025077525528,0.29644974922474465,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3b_ood_tue_fri_portscan,I_XFY,family,1200,55,0.04583333333333333,5,0.04583333333333334,-0.0014421616899197298,0.0931088283565864,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
gate3c_ood_wed_thu_webattacks,I_X,union,1200,84,0.07,5,0.07,0.026192101003592566,0.11380789899640745,128,1436,11,environment x split-seed cluster; two-sided 95% Student-t over 5 clusters
