family_rule,gate,regime,policy,tau,n_clean,decision_fpr,benign_interruption_rate,n_material,unsafe_allow,containment
conformal,gate6_ood_unsw,I_XF,union_uncalibrated,0.0,1200,0.19166666666666668,0.24166666666666667,852,598,0.2981220657276995
conformal,gate2_id_256,I_XF,family_calibrated,0.0,1200,0.115,1.0,830,550,0.3373493975903614
conformal,gate3a_ood_tue_wed,I_XF,family_calibrated,0.0,1200,0.08083333333333333,0.9583333333333334,457,285,0.37636761487964987
conformal,gate3b_ood_tue_fri_portscan,I_XF,family_calibrated,0.0,1200,0.023333333333333334,1.0,424,252,0.4056603773584906
conformal,gate3c_ood_wed_thu_webattacks,I_XF,family_calibrated,0.0,1200,0.035833333333333335,0.55,545,269,0.5064220183486239
conformal,gate3d_ood_wed_fri_morning,I_XF,family_calibrated,0.0,1200,0.04083333333333333,1.0,479,224,0.5323590814196242
conformal,gate5a_id_unsw,I_XF,family_calibrated,0.0,2400,0.041666666666666664,0.15,1742,1159,0.3346727898966705
conformal,gate5b_id_ton_iot,I_XF,family_calibrated,0.0,2400,0.07541666666666667,0.1875,1679,1010,0.3984514592019059
conformal,gate6_ood_unsw,I_XF,family_calibrated,0.0,1200,0.049166666666666664,0.0,852,616,0.27699530516431925
conformal,gate2_id_256,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,830,0,1.0
conformal,gate3a_ood_tue_wed,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,457,0,1.0
conformal,gate3b_ood_tue_fri_portscan,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,424,0,1.0
conformal,gate3c_ood_wed_thu_webattacks,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,545,0,1.0
conformal,gate3d_ood_wed_fri_morning,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,479,0,1.0
conformal,gate5a_id_unsw,I_XF,family_calibrated_strict,0.0,2400,1.0,1.0,1742,0,1.0
conformal,gate5b_id_ton_iot,I_XF,family_calibrated_strict,0.0,2400,1.0,1.0,1679,0,1.0
conformal,gate6_ood_unsw,I_XF,family_calibrated_strict,0.0,1200,1.0,1.0,852,0,1.0
conformal,gate2_id_256,I_Ym,serve_always,0.0,1200,0.0,0.0,830,830,0.0
conformal,gate3a_ood_tue_wed,I_Ym,serve_always,0.0,1200,0.0,0.0,457,457,0.0
conformal,gate3b_ood_tue_fri_portscan,I_Ym,serve_always,0.0,1200,0.0,0.0,424,424,0.0
conformal,gate3c_ood_wed_thu_webattacks,I_Ym,serve_always,0.0,1200,0.0,0.0,545,545,0.0
conformal,gate3d_ood_wed_fri_morning,I_Ym,serve_always,0.0,1200,0.0,0.0,479,479,0.0
conformal,gate5a_id_unsw,I_Ym,serve_always,0.0,2400,0.0,0.0,1742,1742,0.0
conformal,gate5b_id_ton_iot,I_Ym,serve_always,0.0,2400,0.0,0.0,1679,1679,0.0
conformal,gate6_ood_unsw,I_Ym,serve_always,0.0,1200,0.0,0.0,852,852,0.0
conformal,gate2_id_256,I_Ym,union_uncalibrated,0.0,1200,0.045,0.0,830,830,0.0
conformal,gate3a_ood_tue_wed,I_Ym,union_uncalibrated,0.0,1200,0.025,0.0,457,457,0.0
conformal,gate3b_ood_tue_fri_portscan,I_Ym,union_uncalibrated,0.0,1200,0.025,0.0,424,424,0.0
conformal,gate3c_ood_wed_thu_webattacks,I_Ym,union_uncalibrated,0.0,1200,0.025,0.0,545,545,0.0
conformal,gate3d_ood_wed_fri_morning,I_Ym,union_uncalibrated,0.0,1200,0.025,0.0,479,479,0.0
conformal,gate5a_id_unsw,I_Ym,union_uncalibrated,0.0,2400,0.07,0.0,1742,1742,0.0
conformal,gate5b_id_ton_iot,I_Ym,union_uncalibrated,0.0,2400,0.07,0.0,1679,1679,0.0
conformal,gate6_ood_unsw,I_Ym,union_uncalibrated,0.0,1200,0.05,0.0,852,852,0.0
conformal,gate2_id_256,I_Ym,family_calibrated,0.0,1200,0.045,0.0,830,830,0.0
conformal,gate3a_ood_tue_wed,I_Ym,family_calibrated,0.0,1200,0.025,0.0,457,457,0.0
conformal,gate3b_ood_tue_fri_portscan,I_Ym,family_calibrated,0.0,1200,0.025,0.0,424,424,0.0
conformal,gate3c_ood_wed_thu_webattacks,I_Ym,family_calibrated,0.0,1200,0.025,0.0,545,545,0.0
conformal,gate3d_ood_wed_fri_morning,I_Ym,family_calibrated,0.0,1200,0.025,0.0,479,479,0.0
conformal,gate5a_id_unsw,I_Ym,family_calibrated,0.0,2400,0.07,0.0,1742,1742,0.0
conformal,gate5b_id_ton_iot,I_Ym,family_calibrated,0.0,2400,0.07,0.0,1679,1679,0.0
conformal,gate6_ood_unsw,I_Ym,family_calibrated,0.0,1200,0.05,0.0,852,852,0.0
conformal,gate2_id_256,I_Ym,family_calibrated_strict,0.0,1200,1.0,1.0,830,0,1.0
conformal,gate3a_ood_tue_wed,I_Ym,family_calibrated_strict,0.0,1200,1.0,1.0,457,0,1.0
conformal,gate3b_ood_tue_fri_portscan,I_Ym,family_calibrated_strict,0.0,1200,1.0,1.0,424,0,1.0
conformal,gate3c_ood_wed_thu_webattacks,I_Ym,family_calibrated_strict,0.0,1200,1.0,1.0,545,0,1.0
conformal,gate3d_ood_wed_fri_morning,I_Ym,family_calibrated_strict,0.0,1200,1.0,1.0,479,0,1.0
conformal,gate5a_id_unsw,I_Ym,family_calibrated_strict,0.0,2400,1.0,1.0,1742,0,1.0
conformal,gate5b_id_ton_iot,I_Ym,family_calibrated_strict,0.0,2400,1.0,1.0,1679,0,1.0
conformal,gate6_ood_unsw,I_Ym,family_calibrated_strict,0.0,1200,1.0,1.0,852,0,1.0
conformal,gate2_id_256,I_XFY,serve_always,0.0,1200,0.0,0.0,830,830,0.0
conformal,gate3a_ood_tue_wed,I_XFY,serve_always,0.0,1200,0.0,0.0,457,457,0.0
conformal,gate3b_ood_tue_fri_portscan,I_XFY,serve_always,0.0,1200,0.0,0.0,424,424,0.0
conformal,gate3c_ood_wed_thu_webattacks,I_XFY,serve_always,0.0,1200,0.0,0.0,545,545,0.0
conformal,gate3d_ood_wed_fri_morning,I_XFY,serve_always,0.0,1200,0.0,0.0,479,479,0.0
conformal,gate5a_id_unsw,I_XFY,serve_always,0.0,2400,0.0,0.0,1742,1742,0.0
conformal,gate5b_id_ton_iot,I_XFY,serve_always,0.0,2400,0.0,0.0,1679,1679,0.0
conformal,gate6_ood_unsw,I_XFY,serve_always,0.0,1200,0.0,0.0,852,852,0.0
conformal,gate2_id_256,I_XFY,union_uncalibrated,0.0,1200,0.3308333333333333,1.0,830,514,0.38072289156626504
conformal,gate3a_ood_tue_wed,I_XFY,union_uncalibrated,0.0,1200,0.25416666666666665,0.975,457,279,0.38949671772428884
conformal,gate3b_ood_tue_fri_portscan,I_XFY,union_uncalibrated,0.0,1200,0.1975,1.0,424,236,0.44339622641509435
conformal,gate3c_ood_wed_thu_webattacks,I_XFY,union_uncalibrated,0.0,1200,0.18083333333333335,0.9583333333333334,545,246,0.5486238532110091
conformal,gate3d_ood_wed_fri_morning,I_XFY,union_uncalibrated,0.0,1200,0.2575,1.0,479,216,0.5490605427974948
conformal,gate5a_id_unsw,I_XFY,union_uncalibrated,0.0,2400,0.20958333333333334,0.44583333333333336,1742,1129,0.351894374282434
conformal,gate5b_id_ton_iot,I_XFY,union_uncalibrated,0.0,2400,0.35833333333333334,0.7583333333333333,1679,962,0.42703990470518166
conformal,gate6_ood_unsw,I_XFY,union_uncalibrated,0.0,1200,0.2375,0.24166666666666667,852,598,0.2981220657276995
conformal,gate2_id_256,I_XFY,family_calibrated,0.0,1200,0.12333333333333334,1.0,830,534,0.3566265060240964
conformal,gate3a_ood_tue_wed,I_XFY,family_calibrated,0.0,1200,0.065,0.9333333333333333,457,288,0.36980306345733044
conformal,gate3b_ood_tue_fri_portscan,I_XFY,family_calibrated,0.0,1200,0.0375,1.0,424,252,0.4056603773584906
conformal,gate3c_ood_wed_thu_webattacks,I_XFY,family_calibrated,0.0,1200,0.03666666666666667,0.5,545,269,0.5064220183486239
conformal,gate3d_ood_wed_fri_morning,I_XFY,family_calibrated,0.0,1200,0.034166666666666665,1.0,479,232,0.5156576200417536
conformal,gate5a_id_unsw,I_XFY,family_calibrated,0.0,2400,0.034583333333333334,0.05416666666666667,1742,1170,0.3283582089552239
conformal,gate5b_id_ton_iot,I_XFY,family_calibrated,0.0,2400,0.06208333333333333,0.1875,1679,1024,0.3901131625967838
conformal,gate6_ood_unsw,I_XFY,family_calibrated,0.0,1200,0.04083333333333333,0.0,852,621,0.2711267605633803
conformal,gate2_id_256,I_XFY,family_calibrated_strict,0.0,1200,0.12333333333333334,1.0,830,534,0.3566265060240964
conformal,gate3a_ood_tue_wed,I_XFY,family_calibrated_strict,0.0,1200,0.065,0.9333333333333333,457,288,0.36980306345733044
conformal,gate3b_ood_tue_fri_portscan,I_XFY,family_calibrated_strict,0.0,1200,0.0375,1.0,424,252,0.4056603773584906
conformal,gate3c_ood_wed_thu_webattacks,I_XFY,family_calibrated_strict,0.0,1200,0.03666666666666667,0.5,545,269,0.5064220183486239
conformal,gate3d_ood_wed_fri_morning,I_XFY,family_calibrated_strict,0.0,1200,0.034166666666666665,1.0,479,232,0.5156576200417536
conformal,gate5a_id_unsw,I_XFY,family_calibrated_strict,0.0,2400,0.034583333333333334,0.05416666666666667,1742,1170,0.3283582089552239
conformal,gate5b_id_ton_iot,I_XFY,family_calibrated_strict,0.0,2400,0.06208333333333333,0.1875,1679,1024,0.3901131625967838
conformal,gate6_ood_unsw,I_XFY,family_calibrated_strict,0.0,1200,0.04083333333333333,0.0,852,621,0.2711267605633803
conformal,gate2_id_256,I_XFY_trusted,serve_always,0.0,120,0.0,0.0,830,830,0.0
conformal,gate3a_ood_tue_wed,I_XFY_trusted,serve_always,0.0,120,0.0,0.0,457,457,0.0
conformal,gate3b_ood_tue_fri_portscan,I_XFY_trusted,serve_always,0.0,120,0.0,0.0,424,424,0.0
conformal,gate3c_ood_wed_thu_webattacks,I_XFY_trusted,serve_always,0.0,120,0.0,0.0,545,545,0.0
conformal,gate3d_ood_wed_fri_morning,I_XFY_trusted,serve_always,0.0,120,0.0,0.0,479,479,0.0
conformal,gate5a_id_unsw,I_XFY_trusted,serve_always,0.0,240,0.0,0.0,1742,1742,0.0
conformal,gate5b_id_ton_iot,I_XFY_trusted,serve_always,0.0,240,0.0,0.0,1679,1679,0.0
conformal,gate6_ood_unsw,I_XFY_trusted,serve_always,0.0,120,0.0,0.0,852,852,0.0
conformal,gate2_id_256,I_XFY_trusted,union_uncalibrated,0.0,120,0.0,1.0,830,0,1.0
conformal,gate3a_ood_tue_wed,I_XFY_trusted,union_uncalibrated,0.0,120,0.0,0.975,457,0,1.0
conformal,gate3b_ood_tue_fri_portscan,I_XFY_trusted,union_uncalibrated,0.0,120,0.0,1.0,424,0,1.0
conformal,gate3c_ood_wed_thu_webattacks,I_XFY_trusted,union_uncalibrated,0.0,120,0.0,0.9583333333333334,545,0,1.0
conformal,gate3d_ood_wed_fri_morning,I_XFY_trusted,union_uncalibrated,0.0,120,0.0,1.0,479,0,1.0
conformal,gate5a_id_unsw,I_XFY_trusted,union_uncalibrated,0.0,240,0.0,0.4791666666666667,1742,0,1.0
conformal,gate5b_id_ton_iot,I_XFY_trusted,union_uncalibrated,0.0,240,0.0,0.7708333333333334,1679,0,1.0
conformal,gate6_ood_unsw,I_XFY_trusted,union_uncalibrated,0.0,120,0.0,0.2833333333333333,852,0,1.0
conformal,gate2_id_256,I_XFY_trusted,family_calibrated,0.0,120,0.0,1.0,830,0,1.0
conformal,gate3a_ood_tue_wed,I_XFY_trusted,family_calibrated,0.0,120,0.0,0.9333333333333333,457,0,1.0
conformal,gate3b_ood_tue_fri_portscan,I_XFY_trusted,family_calibrated,0.0,120,0.0,1.0,424,0,1.0
conformal,gate3c_ood_wed_thu_webattacks,I_XFY_trusted,family_calibrated,0.0,120,0.0,0.5083333333333333,545,0,1.0
conformal,gate3d_ood_wed_fri_morning,I_XFY_trusted,family_calibrated,0.0,120,0.0,1.0,479,0,1.0
conformal,gate5a_id_unsw,I_XFY_trusted,family_calibrated,0.0,240,0.0,0.125,1742,0,1.0
conformal,gate5b_id_ton_iot,I_XFY_trusted,family_calibrated,0.0,240,0.0,0.24166666666666667,1679,0,1.0
conformal,gate6_ood_unsw,I_XFY_trusted,family_calibrated,0.0,120,0.0,0.06666666666666667,852,0,1.0
conformal,gate2_id_256,I_XFY_trusted,family_calibrated_strict,0.0,120,0.0,1.0,830,0,1.0
conformal,gate3a_ood_tue_wed,I_XFY_trusted,family_calibrated_strict,0.0,120,0.0,0.9333333333333333,457,0,1.0
conformal,gate3b_ood_tue_fri_portscan,I_XFY_trusted,family_calibrated_strict,0.0,120,0.0,1.0,424,0,1.0
conformal,gate3c_ood_wed_thu_webattacks,I_XFY_trusted,family_calibrated_strict,0.0,120,0.0,0.5083333333333333,545,0,1.0
conformal,gate3d_ood_wed_fri_morning,I_XFY_trusted,family_calibrated_strict,0.0,120,0.0,1.0,479,0,1.0
conformal,gate5a_id_unsw,I_XFY_trusted,family_calibrated_strict,0.0,240,0.0,0.125,1742,0,1.0
conformal,gate5b_id_ton_iot,I_XFY_trusted,family_calibrated_strict,0.0,240,0.0,0.24166666666666667,1679,0,1.0
conformal,gate6_ood_unsw,I_XFY_trusted,family_calibrated_strict,0.0,120,0.0,0.06666666666666667,852,0,1.0
v12_asymmetric,gate2_id_256,I_X,serve_always,0.0,1200,0.0,0.0,830,830,0.0
v12_asymmetric,gate3a_ood_tue_wed,I_X,serve_always,0.0,1200,0.0,0.0,457,457,0.0
v12_asymmetric,gate3b_ood_tue_fri_portscan,I_X,serve_always,0.0,1200,0.0,0.0,424,424,0.0
v12_asymmetric,gate3c_ood_wed_thu_webattacks,I_X,serve_always,0.0,1200,0.0,0.0,545,545,0.0
v12_asymmetric,gate3d_ood_wed_fri_morning,I_X,serve_always,0.0,1200,0.0,0.0,479,479,0.0
v12_asymmetric,gate5a_id_unsw,I_X,serve_always,0.0,2400,0.0,0.0,1742,1742,0.0
v12_asymmetric,gate5b_id_ton_iot,I_X,serve_always,0.0,2400,0.0,0.0,1679,1679,0.0
v12_asymmetric,gate6_ood_unsw,I_X,serve_always,0.0,1200,0.0,0.0,852,852,0.0
v12_asymmetric,gate2_id_256,I_X,union_uncalibrated,0.0,1200,0.20333333333333334,1.0,830,595,0.28313253012048195
v12_asymmetric,gate3a_ood_tue_wed,I_X,union_uncalibrated,0.0,1200,0.15,0.975,457,292,0.3610503282275711
v12_asymmetric,gate3b_ood_tue_fri_portscan,I_X,union_uncalibrated,0.0,1200,0.06583333333333333,1.0,424,237,0.4410377358490566
