all,attack_family,attack,regime,rule,n,n_fire,detection_rate
all_environments,pipeline,feature_dropout_p_0.020,I_XF,union,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.020,I_XF,family,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.020,I_Ym,union,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.020,I_Ym,family,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.020,I_XFY,union,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.020,I_XFY,family,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.050,I_X,union,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.050,I_X,family,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.050,I_XF,union,600,13,0.021666666666666667
all_environments,pipeline,feature_dropout_p_0.050,I_XF,family,600,7,0.011666666666666667
all_environments,pipeline,feature_dropout_p_0.050,I_Ym,union,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.050,I_Ym,family,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.050,I_XFY,union,600,13,0.021666666666666667
all_environments,pipeline,feature_dropout_p_0.050,I_XFY,family,600,7,0.011666666666666667
all_environments,pipeline,feature_dropout_p_0.100,I_X,union,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.100,I_X,family,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.100,I_XF,union,600,37,0.06166666666666667
all_environments,pipeline,feature_dropout_p_0.100,I_XF,family,600,23,0.03833333333333333
all_environments,pipeline,feature_dropout_p_0.100,I_Ym,union,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.100,I_Ym,family,600,0,0.0
all_environments,pipeline,feature_dropout_p_0.100,I_XFY,union,600,37,0.06166666666666667
all_environments,pipeline,feature_dropout_p_0.100,I_XFY,family,600,20,0.03333333333333333
all_environments,target_shift,label_flip_prior_preserving_r_0.020,I_X,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.020,I_X,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.020,I_XF,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.020,I_XF,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.020,I_Ym,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.020,I_Ym,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.020,I_XFY,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.020,I_XFY,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.050,I_X,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.050,I_X,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.050,I_XF,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.050,I_XF,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.050,I_Ym,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.050,I_Ym,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.050,I_XFY,union,600,1,0.0016666666666666668
all_environments,target_shift,label_flip_prior_preserving_r_0.050,I_XFY,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.100,I_X,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.100,I_X,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.100,I_XF,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.100,I_XF,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.100,I_Ym,union,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.100,I_Ym,family,600,0,0.0
all_environments,target_shift,label_flip_prior_preserving_r_0.100,I_XFY,union,600,20,0.03333333333333333
all_environments,target_shift,label_flip_prior_preserving_r_0.100,I_XFY,family,600,9,0.015
all_environments,target_shift,label_flip_r_0.020,I_X,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.020,I_X,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.020,I_XF,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.020,I_XF,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.020,I_Ym,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.020,I_Ym,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.020,I_XFY,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.020,I_XFY,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.050,I_X,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.050,I_X,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.050,I_XF,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.050,I_XF,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.050,I_Ym,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.050,I_Ym,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.050,I_XFY,union,600,2,0.0033333333333333335
all_environments,target_shift,label_flip_r_0.050,I_XFY,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.100,I_X,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.100,I_X,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.100,I_XF,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.100,I_XF,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.100,I_Ym,union,600,0,0.0
all_environments,target_shift,label_flip_r_0.100,I_Ym,family,600,0,0.0
all_environments,target_shift,label_flip_r_0.100,I_XFY,union,600,20,0.03333333333333333
all_environments,target_shift,label_flip_r_0.100,I_XFY,family,600,7,0.011666666666666667
