regime,policy,observation_class,action,n
I_XFY_trusted,serve_always,benign,hold,0
I_XFY_trusted,serve_always,benign,block,0
I_XFY_trusted,serve_always,intervened,allow,10800
I_XFY_trusted,serve_always,intervened,hold,0
I_XFY_trusted,serve_always,intervened,block,0
I_XFY_trusted,union_uncalibrated,clean,allow,1200
I_XFY_trusted,union_uncalibrated,clean,hold,0
I_XFY_trusted,union_uncalibrated,clean,block,0
I_XFY_trusted,union_uncalibrated,benign,allow,274
I_XFY_trusted,union_uncalibrated,benign,hold,841
I_XFY_trusted,union_uncalibrated,benign,block,85
I_XFY_trusted,union_uncalibrated,intervened,allow,776
I_XFY_trusted,union_uncalibrated,intervened,hold,1737
I_XFY_trusted,union_uncalibrated,intervened,block,8287
I_XFY_trusted,family_calibrated,clean,allow,1200
I_XFY_trusted,family_calibrated,clean,hold,0
I_XFY_trusted,family_calibrated,clean,block,0
I_XFY_trusted,family_calibrated,benign,allow,535
I_XFY_trusted,family_calibrated,benign,hold,580
I_XFY_trusted,family_calibrated,benign,block,85
I_XFY_trusted,family_calibrated,intervened,allow,811
I_XFY_trusted,family_calibrated,intervened,hold,1702
I_XFY_trusted,family_calibrated,intervened,block,8287
I_XFY_trusted,family_calibrated_strict,clean,allow,1200
I_XFY_trusted,family_calibrated_strict,clean,hold,0
I_XFY_trusted,family_calibrated_strict,clean,block,0
I_XFY_trusted,family_calibrated_strict,benign,allow,535
I_XFY_trusted,family_calibrated_strict,benign,hold,580
I_XFY_trusted,family_calibrated_strict,benign,block,85
I_XFY_trusted,family_calibrated_strict,intervened,allow,811
I_XFY_trusted,family_calibrated_strict,intervened,hold,1702
I_XFY_trusted,family_calibrated_strict,intervened,block,8287
