regime,union_rate,v12_rate,conformal_rate,nominal_alpha,conformal_exact_level,v12_excess_over_nominal,rule_bias_v12_minus_conformal,design_effect_conformal_minus_nominal,resplit_v12_rate,resplit_conformal_rate,resplit_v12_excess_under_exchangeability
I_X,0.125,0.06108333333333334,0.056,0.05,0.04975124378109453,0.011083333333333334,0.0050833333333333355,0.005999999999999998,0.05221666666666666,0.04406666666666667,0.0022166666666666585
I_XF,0.20316666666666666,0.07258333333333333,0.057916666666666665,0.05,0.04975124378109453,0.02258333333333333,0.014666666666666668,0.007916666666666662,0.057824999999999994,0.0417638888888889,0.007824999999999992
I_Ym,0.0475,0.0475,0.0475,0.05,0.04975124378109453,-0.0025000000000000022,0.0,-0.0025000000000000022,0.039975,0.039975,-0.010025000000000006
I_XFY,0.2594166666666667,0.0785,0.05308333333333334,0.05,0.04975124378109453,0.028499999999999998,0.025416666666666664,0.0030833333333333338,0.059449999999999996,0.03563611111111111,0.009449999999999993
