gate,svd_dim,model,regime,rule,n,n_fire,false_alarm_rate
gate2_id_256,8,qsvc_zz_r1,I_X,union,200,41,0.205
gate2_id_256,8,qsvc_zz_r1,I_X,family_v12,200,31,0.155
gate2_id_256,8,qsvc_zz_r1,I_X,family,200,31,0.155
gate2_id_256,8,qsvc_zz_r1,I_XF,union,200,43,0.215
gate2_id_256,8,qsvc_zz_r1,I_XF,family_v12,200,17,0.085
gate2_id_256,8,qsvc_zz_r1,I_XF,family,200,16,0.08
gate2_id_256,8,qsvc_zz_r1,I_Ym,union,200,9,0.045
gate2_id_256,8,qsvc_zz_r1,I_Ym,family_v12,200,9,0.045
gate2_id_256,8,qsvc_zz_r1,I_Ym,family,200,9,0.045
gate2_id_256,8,qsvc_zz_r1,I_XFY,union,200,83,0.415
gate2_id_256,8,qsvc_zz_r1,I_XFY,family_v12,200,41,0.205
gate2_id_256,8,qsvc_zz_r1,I_XFY,family,200,33,0.165
gate2_id_256,8,svc_rbf,I_X,union,200,39,0.195
gate2_id_256,8,svc_rbf,I_X,family_v12,200,31,0.155
gate2_id_256,8,svc_rbf,I_X,family,200,31,0.155
gate2_id_256,8,svc_rbf,I_XF,union,200,52,0.26
gate2_id_256,8,svc_rbf,I_XF,family_v12,200,29,0.145
gate2_id_256,8,svc_rbf,I_XF,family,200,25,0.125
gate2_id_256,8,svc_rbf,I_Ym,union,200,9,0.045
gate2_id_256,8,svc_rbf,I_Ym,family_v12,200,9,0.045
gate2_id_256,8,svc_rbf,I_Ym,family,200,9,0.045
gate2_id_256,8,svc_rbf,I_XFY,union,200,60,0.3
gate2_id_256,8,svc_rbf,I_XFY,family_v12,200,30,0.15
gate2_id_256,8,svc_rbf,I_XFY,family,200,25,0.125
gate2_id_256,10,qsvc_zz_r1,I_X,union,200,41,0.205
gate2_id_256,10,qsvc_zz_r1,I_X,family_v12,200,28,0.14
gate2_id_256,10,qsvc_zz_r1,I_X,family,200,23,0.115
gate2_id_256,10,qsvc_zz_r1,I_XF,union,200,48,0.24
gate2_id_256,10,qsvc_zz_r1,I_XF,family_v12,200,23,0.115
gate2_id_256,10,qsvc_zz_r1,I_XF,family,200,20,0.1
gate2_id_256,10,qsvc_zz_r1,I_Ym,union,200,9,0.045
gate2_id_256,10,qsvc_zz_r1,I_Ym,family_v12,200,9,0.045
gate2_id_256,10,qsvc_zz_r1,I_Ym,family,200,9,0.045
gate2_id_256,10,qsvc_zz_r1,I_XFY,union,200,68,0.34
gate2_id_256,10,qsvc_zz_r1,I_XFY,family_v12,200,25,0.125
gate2_id_256,10,qsvc_zz_r1,I_XFY,family,200,20,0.1
gate2_id_256,10,svc_rbf,I_X,union,200,42,0.21
gate2_id_256,10,svc_rbf,I_X,family_v12,200,28,0.14
gate2_id_256,10,svc_rbf,I_X,family,200,24,0.12
gate2_id_256,10,svc_rbf,I_XF,union,200,52,0.26
gate2_id_256,10,svc_rbf,I_XF,family_v12,200,37,0.185
gate2_id_256,10,svc_rbf,I_XF,family,200,35,0.175
gate2_id_256,10,svc_rbf,I_Ym,union,200,9,0.045
gate2_id_256,10,svc_rbf,I_Ym,family_v12,200,9,0.045
gate2_id_256,10,svc_rbf,I_Ym,family,200,9,0.045
gate2_id_256,10,svc_rbf,I_XFY,union,200,58,0.29
gate2_id_256,10,svc_rbf,I_XFY,family_v12,200,30,0.15
gate2_id_256,10,svc_rbf,I_XFY,family,200,29,0.145
gate2_id_256,12,qsvc_zz_r1,I_X,union,200,30,0.15
gate2_id_256,12,qsvc_zz_r1,I_X,family_v12,200,17,0.085
gate2_id_256,12,qsvc_zz_r1,I_X,family,200,17,0.085
gate2_id_256,12,qsvc_zz_r1,I_XF,union,200,47,0.235
gate2_id_256,12,qsvc_zz_r1,I_XF,family_v12,200,18,0.09
gate2_id_256,12,qsvc_zz_r1,I_XF,family,200,18,0.09
gate2_id_256,12,qsvc_zz_r1,I_Ym,union,200,9,0.045
gate2_id_256,12,qsvc_zz_r1,I_Ym,family_v12,200,9,0.045
gate2_id_256,12,qsvc_zz_r1,I_Ym,family,200,9,0.045
gate2_id_256,12,qsvc_zz_r1,I_XFY,union,200,69,0.345
gate2_id_256,12,qsvc_zz_r1,I_XFY,family_v12,200,25,0.125
gate2_id_256,12,qsvc_zz_r1,I_XFY,family,200,20,0.1
gate2_id_256,12,svc_rbf,I_X,union,200,51,0.255
gate2_id_256,12,svc_rbf,I_X,family_v12,200,24,0.12
gate2_id_256,12,svc_rbf,I_X,family,200,24,0.12
gate2_id_256,12,svc_rbf,I_XF,union,200,52,0.26
gate2_id_256,12,svc_rbf,I_XF,family_v12,200,26,0.13
gate2_id_256,12,svc_rbf,I_XF,family,200,24,0.12
gate2_id_256,12,svc_rbf,I_Ym,union,200,9,0.045
gate2_id_256,12,svc_rbf,I_Ym,family_v12,200,9,0.045
gate2_id_256,12,svc_rbf,I_Ym,family,200,9,0.045
gate2_id_256,12,svc_rbf,I_XFY,union,200,59,0.295
gate2_id_256,12,svc_rbf,I_XFY,family_v12,200,24,0.12
gate2_id_256,12,svc_rbf,I_XFY,family,200,21,0.105
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_X,union,200,31,0.155
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_X,family_v12,200,22,0.11
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_X,family,200,18,0.09
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XF,union,200,46,0.23
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XF,family_v12,200,17,0.085
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XF,family,200,14,0.07
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_Ym,union,200,5,0.025
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_Ym,family_v12,200,5,0.025
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_Ym,family,200,5,0.025
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XFY,union,200,51,0.255
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XFY,family_v12,200,17,0.085
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XFY,family,200,14,0.07
gate3a_ood_tue_wed,8,svc_rbf,I_X,union,200,31,0.155
gate3a_ood_tue_wed,8,svc_rbf,I_X,family_v12,200,22,0.11
gate3a_ood_tue_wed,8,svc_rbf,I_X,family,200,18,0.09
gate3a_ood_tue_wed,8,svc_rbf,I_XF,union,200,48,0.24
gate3a_ood_tue_wed,8,svc_rbf,I_XF,family_v12,200,24,0.12
gate3a_ood_tue_wed,8,svc_rbf,I_XF,family,200,24,0.12
gate3a_ood_tue_wed,8,svc_rbf,I_Ym,union,200,5,0.025
gate3a_ood_tue_wed,8,svc_rbf,I_Ym,family_v12,200,5,0.025
gate3a_ood_tue_wed,8,svc_rbf,I_Ym,family,200,5,0.025
gate3a_ood_tue_wed,8,svc_rbf,I_XFY,union,200,56,0.28
gate3a_ood_tue_wed,8,svc_rbf,I_XFY,family_v12,200,25,0.125
gate3a_ood_tue_wed,8,svc_rbf,I_XFY,family,200,11,0.055
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_X,union,200,33,0.165
