regime,policy,tau,trusted_reference,n_clean,false_hold,false_block,n_benign,benign_hold,benign_block,n_intervened,n_material,n_immaterial,unsafe_allow,true_hold,true_block,immaterial_allow,integrity_only_hold_block,residual_blind_material,decision_fpr,benign_hold_block_rate,safe_allow,containment,unsafe_allow_rate,coverage
I_Ym,union_uncalibrated,0.02,False,12000,570,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,3028,0.0475,0.0,19628,0.0,1.0,0.20357706470278802
I_Ym,union_uncalibrated,0.05,False,12000,570,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,1614,0.0475,0.0,21560,0.0,1.0,0.13689839572192508
I_Ym,family_calibrated,0.0,False,12000,570,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,5450,0.0475,0.0,16422,0.0,1.0,0.22231735159817356
I_Ym,family_calibrated,0.02,False,12000,570,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,3028,0.0475,0.0,19628,0.0,1.0,0.20357706470278802
I_Ym,family_calibrated,0.05,False,12000,570,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,1614,0.0475,0.0,21560,0.0,1.0,0.13689839572192508
I_Ym,family_calibrated_strict,0.0,False,12000,12000,0,1200,1200,0,10800,7008,3792,0,7008,0,0,3792,5450,1.0,1.0,0,1.0,0.0,0.22231735159817356
I_Ym,family_calibrated_strict,0.02,False,12000,12000,0,1200,1200,0,10800,3802,6998,0,3802,0,0,6998,3028,1.0,1.0,0,1.0,0.0,0.20357706470278802
I_Ym,family_calibrated_strict,0.05,False,12000,12000,0,1200,1200,0,10800,1870,8930,0,1870,0,0,8930,1614,1.0,1.0,0,1.0,0.0,0.13689839572192508
I_XFY,serve_always,0.0,False,12000,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,0,0.0,0.0,16992,0.0,1.0,1.0
I_XFY,serve_always,0.02,False,12000,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,0,0.0,0.0,20198,0.0,1.0,1.0
I_XFY,serve_always,0.05,False,12000,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,0,0.0,0.0,22130,0.0,1.0,1.0
I_XFY,union_uncalibrated,0.0,False,12000,3113,0,1200,910,0,10800,7008,3792,4180,2828,0,1894,1898,0,0.2594166666666667,0.7583333333333333,11071,0.4035388127853881,0.5964611872146118,1.0
I_XFY,union_uncalibrated,0.02,False,12000,3113,0,1200,910,0,10800,3802,6998,1926,1876,0,4148,2850,0,0.2594166666666667,0.7583333333333333,13325,0.4934245134139926,0.5065754865860074,1.0
I_XFY,union_uncalibrated,0.05,False,12000,3113,0,1200,910,0,10800,1870,8930,521,1349,0,5553,3377,0,0.2594166666666667,0.7583333333333333,14730,0.7213903743315508,0.2786096256684492,1.0
I_XFY,family_calibrated,0.0,False,12000,942,0,1200,630,0,10800,7008,3792,4322,2686,0,1933,1859,0,0.0785,0.525,13561,0.3832762557077626,0.6167237442922374,1.0
I_XFY,family_calibrated,0.02,False,12000,942,0,1200,630,0,10800,3802,6998,2036,1766,0,4219,2779,0,0.0785,0.525,15847,0.46449237243556024,0.5355076275644398,1.0
I_XFY,family_calibrated,0.05,False,12000,942,0,1200,630,0,10800,1870,8930,597,1273,0,5658,3272,0,0.0785,0.525,17286,0.6807486631016043,0.31925133689839574,1.0
I_XFY,family_calibrated_strict,0.0,False,12000,942,0,1200,630,0,10800,7008,3792,4322,2686,0,1933,1859,0,0.0785,0.525,13561,0.3832762557077626,0.6167237442922374,1.0
I_XFY,family_calibrated_strict,0.02,False,12000,942,0,1200,630,0,10800,3802,6998,2036,1766,0,4219,2779,0,0.0785,0.525,15847,0.46449237243556024,0.5355076275644398,1.0
I_XFY,family_calibrated_strict,0.05,False,12000,942,0,1200,630,0,10800,1870,8930,597,1273,0,5658,3272,0,0.0785,0.525,17286,0.6807486631016043,0.31925133689839574,1.0
I_XFY_trusted,serve_always,0.0,True,1200,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,0,0.0,0.0,6192,0.0,1.0,1.0
I_XFY_trusted,serve_always,0.02,True,1200,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,0,0.0,0.0,9398,0.0,1.0,1.0
I_XFY_trusted,serve_always,0.05,True,1200,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,0,0.0,0.0,11330,0.0,1.0,1.0
I_XFY_trusted,union_uncalibrated,0.0,True,1200,0,0,1200,841,85,10800,7008,3792,0,0,7008,776,3016,0,0.0,0.7716666666666666,2250,1.0,0.0,1.0
I_XFY_trusted,union_uncalibrated,0.02,True,1200,0,0,1200,841,85,10800,3802,6998,0,0,3802,776,6222,0,0.0,0.7716666666666666,2250,1.0,0.0,1.0
I_XFY_trusted,union_uncalibrated,0.05,True,1200,0,0,1200,841,85,10800,1870,8930,0,0,1870,776,8154,0,0.0,0.7716666666666666,2250,1.0,0.0,1.0
I_XFY_trusted,family_calibrated,0.0,True,1200,0,0,1200,580,85,10800,7008,3792,0,0,7008,811,2981,0,0.0,0.5541666666666667,2546,1.0,0.0,1.0
I_XFY_trusted,family_calibrated,0.02,True,1200,0,0,1200,580,85,10800,3802,6998,0,0,3802,811,6187,0,0.0,0.5541666666666667,2546,1.0,0.0,1.0
I_XFY_trusted,family_calibrated,0.05,True,1200,0,0,1200,580,85,10800,1870,8930,0,0,1870,811,8119,0,0.0,0.5541666666666667,2546,1.0,0.0,1.0
I_XFY_trusted,family_calibrated_strict,0.0,True,1200,0,0,1200,580,85,10800,7008,3792,0,0,7008,811,2981,0,0.0,0.5541666666666667,2546,1.0,0.0,1.0
I_XFY_trusted,family_calibrated_strict,0.02,True,1200,0,0,1200,580,85,10800,3802,6998,0,0,3802,811,6187,0,0.0,0.5541666666666667,2546,1.0,0.0,1.0
I_XFY_trusted,family_calibrated_strict,0.05,True,1200,0,0,1200,580,85,10800,1870,8930,0,0,1870,811,8119,0,0.0,0.5541666666666667,2546,1.0,0.0,1.0
