regime,policy,tau,attack_family,n,n_material,unsafe_allow,true_hold_block,integrity_only_hold_block,containment
I_Ym,family_calibrated_strict,0.05,corruption,1800,589,0,589,1211,1.0
I_Ym,family_calibrated_strict,0.05,covariate_shift,3600,763,0,763,2837,1.0
I_Ym,family_calibrated_strict,0.05,pipeline,1800,74,0,74,1726,1.0
I_XFY,serve_always,0.0,target_shift,3600,2617,2617,0,0,0.0
I_XFY,serve_always,0.0,corruption,1800,1464,1464,0,0,0.0
I_XFY,serve_always,0.0,covariate_shift,3600,1848,1848,0,0,0.0
I_XFY,serve_always,0.0,pipeline,1800,1079,1079,0,0,0.0
I_XFY,serve_always,0.02,target_shift,3600,1319,1319,0,0,0.0
I_XFY,serve_always,0.02,corruption,1800,1027,1027,0,0,0.0
I_XFY,serve_always,0.02,covariate_shift,3600,1075,1075,0,0,0.0
I_XFY,serve_always,0.02,pipeline,1800,381,381,0,0,0.0
I_XFY,serve_always,0.05,target_shift,3600,444,444,0,0,0.0
I_XFY,serve_always,0.05,corruption,1800,589,589,0,0,0.0
I_XFY,serve_always,0.05,covariate_shift,3600,763,763,0,0,0.0
I_XFY,serve_always,0.05,pipeline,1800,74,74,0,0,0.0
I_XFY,union_uncalibrated,0.0,target_shift,3600,2617,2574,43,0,0.016431027894535728
I_XFY,union_uncalibrated,0.0,corruption,1800,1464,569,895,138,0.6113387978142076
I_XFY,union_uncalibrated,0.0,covariate_shift,3600,1848,0,1848,1752,1.0
I_XFY,union_uncalibrated,0.0,pipeline,1800,1079,1037,42,8,0.03892493049119555
I_XFY,union_uncalibrated,0.02,target_shift,3600,1319,1276,43,0,0.032600454890068235
I_XFY,union_uncalibrated,0.02,corruption,1800,1027,307,720,313,0.7010710808179162
I_XFY,union_uncalibrated,0.02,covariate_shift,3600,1075,0,1075,2525,1.0
I_XFY,union_uncalibrated,0.02,pipeline,1800,381,343,38,12,0.09973753280839895
I_XFY,union_uncalibrated,0.05,target_shift,3600,444,403,41,2,0.09234234234234234
I_XFY,union_uncalibrated,0.05,corruption,1800,589,70,519,514,0.8811544991511036
I_XFY,union_uncalibrated,0.05,covariate_shift,3600,763,0,763,2837,1.0
I_XFY,union_uncalibrated,0.05,pipeline,1800,74,48,26,24,0.35135135135135137
I_XFY,family_calibrated,0.0,target_shift,3600,2617,2601,16,0,0.00611387084447841
I_XFY,family_calibrated,0.0,corruption,1800,1464,663,801,113,0.5471311475409836
I_XFY,family_calibrated,0.0,covariate_shift,3600,1848,3,1845,1743,0.9983766233766234
I_XFY,family_calibrated,0.0,pipeline,1800,1079,1055,24,3,0.022242817423540315
I_XFY,family_calibrated,0.02,target_shift,3600,1319,1303,16,0,0.012130401819560273
I_XFY,family_calibrated,0.02,corruption,1800,1027,372,655,259,0.6377799415774099
I_XFY,family_calibrated,0.02,covariate_shift,3600,1075,2,1073,2515,0.998139534883721
I_XFY,family_calibrated,0.02,pipeline,1800,381,359,22,5,0.05774278215223097
I_XFY,family_calibrated,0.05,target_shift,3600,444,428,16,0,0.036036036036036036
I_XFY,family_calibrated,0.05,corruption,1800,589,113,476,438,0.8081494057724957
I_XFY,family_calibrated,0.05,covariate_shift,3600,763,0,763,2825,1.0
I_XFY,family_calibrated,0.05,pipeline,1800,74,56,18,9,0.24324324324324326
I_XFY,family_calibrated_strict,0.0,target_shift,3600,2617,2601,16,0,0.00611387084447841
I_XFY,family_calibrated_strict,0.0,corruption,1800,1464,663,801,113,0.5471311475409836
I_XFY,family_calibrated_strict,0.0,covariate_shift,3600,1848,3,1845,1743,0.9983766233766234
I_XFY,family_calibrated_strict,0.0,pipeline,1800,1079,1055,24,3,0.022242817423540315
I_XFY,family_calibrated_strict,0.02,target_shift,3600,1319,1303,16,0,0.012130401819560273
I_XFY,family_calibrated_strict,0.02,corruption,1800,1027,372,655,259,0.6377799415774099
I_XFY,family_calibrated_strict,0.02,covariate_shift,3600,1075,2,1073,2515,0.998139534883721
I_XFY,family_calibrated_strict,0.02,pipeline,1800,381,359,22,5,0.05774278215223097
I_XFY,family_calibrated_strict,0.05,target_shift,3600,444,428,16,0,0.036036036036036036
I_XFY,family_calibrated_strict,0.05,corruption,1800,589,113,476,438,0.8081494057724957
I_XFY,family_calibrated_strict,0.05,covariate_shift,3600,763,0,763,2825,1.0
I_XFY,family_calibrated_strict,0.05,pipeline,1800,74,56,18,9,0.24324324324324326
I_XFY_trusted,serve_always,0.0,target_shift,3600,2617,2617,0,0,0.0
I_XFY_trusted,serve_always,0.0,corruption,1800,1464,1464,0,0,0.0
I_XFY_trusted,serve_always,0.0,covariate_shift,3600,1848,1848,0,0,0.0
