regime,rule,n_draws,n_fire,pooled_rate,environment_cluster_mean_min,environment_cluster_mean_max,n_environments,nominal_alpha,note
I_X,union,12000,1500,0.125,0.06333333333333332,0.21500000000000002,8,0.05,pooled rate is descriptive: draws within a cell overlap; inference is per environment over split clusters
I_X,family,12000,733,0.06108333333333334,0.025416666666666664,0.1325,8,0.05,pooled rate is descriptive: draws within a cell overlap; inference is per environment over split clusters
I_XF,union,12000,2438,0.20316666666666666,0.135,0.27999999999999997,8,0.05,pooled rate is descriptive: draws within a cell overlap; inference is per environment over split clusters
I_XF,family,12000,871,0.07258333333333333,0.045,0.125,8,0.05,pooled rate is descriptive: draws within a cell overlap; inference is per environment over split clusters
I_Ym,union,12000,570,0.0475,0.025,0.06999999999999999,8,0.05,pooled rate is descriptive: draws within a cell overlap; inference is per environment over split clusters
I_Ym,family,12000,570,0.0475,0.025,0.06999999999999999,8,0.05,pooled rate is descriptive: draws within a cell overlap; inference is per environment over split clusters
I_XFY,union,12000,3113,0.2594166666666667,0.18083333333333332,0.3583333333333333,8,0.05,pooled rate is descriptive: draws within a cell overlap; inference is per environment over split clusters
I_XFY,family,12000,942,0.0785,0.04583333333333334,0.14583333333333331,8,0.05,pooled rate is descriptive: draws within a cell overlap; inference is per environment over split clusters
