geometry,attack,attack_class,mechanism,strength,subset,regime,rule,n,n_fire,response_rate,clean_n_fire,attack_only,clean_only,both_fire
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_X,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_X,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_XF,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_XF,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_Ym,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_Ym,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_XFY,union,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,all,I_XFY,family,600,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_X,union,262,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_X,family,262,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_XF,union,262,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_XF,family,262,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_Ym,union,262,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_Ym,family,262,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_XFY,union,262,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,material,I_XFY,family,262,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_X,union,283,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_X,family,283,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_XF,union,283,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_XF,family,283,0,0.0,0,0,0,0
original_v136,label_flip_prior_preserving_r_0.020,label,label_flip_prior_preserving,0.02,aggregate_separable,I_Ym,union,283,0,0.0,0,0,0,0
