geometry,regime,policy,policy_class,n,n_material,allow,hold,block,unsafe_allow,material_held_or_blocked
original_v136,I_X,serve_always,baseline (always serve),3600,2617,3600,0,0,2617,0
original_v136,I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",3600,2617,3600,0,0,2617,0
original_v136,I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",3600,2617,3600,0,0,2617,0
original_v136,I_X,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",3600,2617,0,3600,0,0,2617
original_v136,I_XF,serve_always,baseline (always serve),3600,2617,3600,0,0,2617,0
original_v136,I_XF,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",3600,2617,3600,0,0,2617,0
original_v136,I_XF,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",3600,2617,3600,0,0,2617,0
original_v136,I_XF,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",3600,2617,0,3600,0,0,2617
original_v136,I_Ym,serve_always,baseline (always serve),3600,2617,3600,0,0,2617,0
original_v136,I_Ym,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",3600,2617,3600,0,0,2617,0
original_v136,I_Ym,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",3600,2617,3600,0,0,2617,0
original_v136,I_Ym,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",3600,2617,0,3600,0,0,2617
original_v136,I_XFY,serve_always,baseline (always serve),3600,2617,3600,0,0,2617,0
original_v136,I_XFY,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",3600,2617,3557,43,0,2574,43
original_v136,I_XFY,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",3600,2617,3589,11,0,2606,11
original_v136,I_XFY,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",3600,2617,3589,11,0,2606,11
original_v136,I_XFY_trusted,serve_always,baseline (always serve),3600,2617,3600,0,0,2617,0
original_v136,I_XFY_trusted,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",3600,2617,0,0,3600,0,2617
original_v136,I_XFY_trusted,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",3600,2617,0,0,3600,0,2617
original_v136,I_XFY_trusted,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",3600,2617,0,0,3600,0,2617
corrected_original,I_X,serve_always,baseline (always serve),3600,2617,3600,0,0,2617,0
corrected_original,I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",3600,2617,3600,0,0,2617,0
corrected_original,I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",3600,2617,3600,0,0,2617,0
corrected_original,I_X,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",3600,2617,0,3600,0,0,2617
corrected_original,I_XF,serve_always,baseline (always serve),3600,2617,3600,0,0,2617,0
corrected_original,I_XF,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",3600,2617,3600,0,0,2617,0
