signal_set,group,norm,norm_include_clean,combine,max_impact_err,max_stealth_err,dim8,dim10,dim12
vs_clean_4_standard,protocol_dataset_dim_family,max,True,component_mean,0.0,0.06731156977530461,1.5389841219617426,1.775194359536626,1.5993140279542462
vs_clean_4_standard,protocol_dataset_dim_family,max,False,component_mean,0.0,0.06731156977530461,1.5389841219617426,1.775194359536626,1.5993140279542462
vs_clean_4_standard,protocol_dataset_dim_family,absmax,True,component_mean,0.0,0.06731156977530461,1.5389841219617426,1.775194359536626,1.5993140279542462
vs_clean_4_standard,protocol_dataset_dim_family,absmax,False,component_mean,0.0,0.06731156977530461,1.5389841219617426,1.775194359536626,1.5993140279542462
simple_6,protocol_dataset_dim,minmax,True,component_mean,0.0,0.08135143617954421,1.6604448801428426,1.8868310188234727,1.7376137452060214
simple_6,protocol_dataset_dim,minmax,False,component_mean,0.0,0.08135143617954421,1.6604448801428426,1.8868310188234727,1.7376137452060214
simple_6,protocol_dim,minmax,True,component_mean,0.0,0.08135143617954421,1.6604448801428426,1.8868310188234727,1.7376137452060214
simple_6,protocol_dim,minmax,False,component_mean,0.0,0.08135143617954421,1.6604448801428426,1.8868310188234727,1.7376137452060214
simple_6,protocol_dataset_dim,max,True,component_mean,0.0,0.11661095240866137,1.6621945366754507,1.9220905350525899,1.781615164748001
simple_6,protocol_dataset_dim,max,False,component_mean,0.0,0.11661095240866137,1.6621945366754507,1.9220905350525899,1.781615164748001
simple_6,protocol_dataset_dim,absmax,True,component_mean,0.0,0.11661095240866137,1.6621945366754507,1.9220905350525899,1.781615164748001
simple_6,protocol_dataset_dim,absmax,False,component_mean,0.0,0.11661095240866137,1.6621945366754507,1.9220905350525899,1.781615164748001
simple_6,protocol_dim,max,True,component_mean,0.0,0.11661095240866137,1.6621945366754507,1.9220905350525899,1.781615164748001
simple_6,protocol_dim,max,False,component_mean,0.0,0.11661095240866137,1.6621945366754507,1.9220905350525899,1.781615164748001
simple_6,protocol_dim,absmax,True,component_mean,0.0,0.11661095240866137,1.6621945366754507,1.9220905350525899,1.781615164748001
simple_6,protocol_dim,absmax,False,component_mean,0.0,0.11661095240866137,1.6621945366754507,1.9220905350525899,1.781615164748001
simple_4_standard,protocol_dataset_dim_family,minmax,True,component_mean,0.0,0.12357429922776975,1.6110379677008748,1.8928543619433904,1.7901998969573205
simple_4_standard,protocol_dataset_dim_family,minmax,False,component_mean,0.0,0.12357429922776975,1.6110379677008748,1.8928543619433904,1.7901998969573205
vs_clean_4_standard,protocol_dataset_dim,minmax,True,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dataset_dim,minmax,False,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dataset_dim,max,True,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dataset_dim,max,False,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dataset_dim,absmax,True,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dataset_dim,absmax,False,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dim,minmax,True,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dim,minmax,False,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dim,max,True,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dim,max,False,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dim,absmax,True,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
vs_clean_4_standard,protocol_dim,absmax,False,component_mean,0.0,0.12407242906101534,1.5171336402278235,1.8354534356739016,1.790698026790566
simple_4_standard,protocol_dataset_dim,max,True,component_mean,0.0,0.12992499151341508,1.626795425165436,1.9052172807770946,1.7965505892429658
simple_4_standard,protocol_dataset_dim,max,False,component_mean,0.0,0.12992499151341508,1.626795425165436,1.9052172807770946,1.7965505892429658
simple_4_standard,protocol_dataset_dim,absmax,True,component_mean,0.0,0.12992499151341508,1.626795425165436,1.9052172807770946,1.7965505892429658
simple_4_standard,protocol_dataset_dim,absmax,False,component_mean,0.0,0.12992499151341508,1.626795425165436,1.9052172807770946,1.7965505892429658
simple_4_standard,protocol_dim,max,True,component_mean,0.0,0.12992499151341508,1.626795425165436,1.9052172807770946,1.7965505892429658
simple_4_standard,protocol_dim,max,False,component_mean,0.0,0.12992499151341508,1.626795425165436,1.9052172807770946,1.7965505892429658
simple_4_standard,protocol_dim,absmax,True,component_mean,0.0,0.12992499151341508,1.626795425165436,1.9052172807770946,1.7965505892429658
simple_4_standard,protocol_dim,absmax,False,component_mean,0.0,0.12992499151341508,1.626795425165436,1.9052172807770946,1.7965505892429658
simple_4_standard,protocol_dataset_dim,minmax,True,component_mean,0.0,0.13206043626182207,1.6274815545756984,1.9065655442600766,1.7986860339913728
simple_4_standard,protocol_dataset_dim,minmax,False,component_mean,0.0,0.13206043626182207,1.6274815545756984,1.9065655442600766,1.7986860339913728
simple_4_standard,protocol_dim,minmax,True,component_mean,0.0,0.13206043626182207,1.6274815545756984,1.9065655442600766,1.7986860339913728
simple_4_standard,protocol_dim,minmax,False,component_mean,0.0,0.13206043626182207,1.6274815545756984,1.9065655442600766,1.7986860339913728
simple_6,protocol_dataset,minmax,True,component_mean,0.0,0.15307975115483852,1.7410956259935224,1.951899630365866,1.7879439664454617
simple_6,protocol_dataset,minmax,False,component_mean,0.0,0.15307975115483852,1.7410956259935224,1.951899630365866,1.7879439664454617
simple_6,protocol_only,minmax,True,component_mean,0.0,0.15307975115483852,1.7410956259935224,1.951899630365866,1.7879439664454617
simple_6,protocol_only,minmax,False,component_mean,0.0,0.15307975115483852,1.7410956259935224,1.951899630365866,1.7879439664454617
simple_4_standard,protocol_dataset_dim_family,max,True,component_mean,0.0,0.15928979463957815,1.5040788772609168,1.9647693772835066,1.8107189950676308
simple_4_standard,protocol_dataset_dim_family,max,False,component_mean,0.0,0.15928979463957815,1.5040788772609168,1.9647693772835066,1.8107189950676308
simple_4_standard,protocol_dataset_dim_family,absmax,True,component_mean,0.0,0.15928979463957815,1.5040788772609168,1.9647693772835066,1.8107189950676308
simple_4_standard,protocol_dataset_dim_family,absmax,False,component_mean,0.0,0.15928979463957815,1.5040788772609168,1.9647693772835066,1.8107189950676308
vs_clean_4_standard,protocol_dataset,minmax,True,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_dataset,minmax,False,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_dataset,max,True,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_dataset,max,False,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_dataset,absmax,True,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_dataset,absmax,False,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_only,minmax,True,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_only,minmax,False,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_only,max,True,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_only,max,False,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_only,absmax,True,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
vs_clean_4_standard,protocol_only,absmax,False,component_mean,0.0,0.18113790194441504,1.630549249816129,1.900651994564026,1.8477634996739658
simple_6,protocol_dataset,max,True,component_mean,0.0,0.18234321529550424,1.7482554436783575,1.9878227979394327,1.8382713399440218
simple_6,protocol_dataset,max,False,component_mean,0.0,0.18234321529550424,1.7482554436783575,1.9878227979394327,1.8382713399440218
simple_6,protocol_dataset,absmax,True,component_mean,0.0,0.18234321529550424,1.7482554436783575,1.9878227979394327,1.8382713399440218
simple_6,protocol_dataset,absmax,False,component_mean,0.0,0.18234321529550424,1.7482554436783575,1.9878227979394327,1.8382713399440218
simple_6,protocol_only,max,True,component_mean,0.0,0.18234321529550424,1.7482554436783575,1.9878227979394327,1.8382713399440218
simple_6,protocol_only,max,False,component_mean,0.0,0.18234321529550424,1.7482554436783575,1.9878227979394327,1.8382713399440218
simple_6,protocol_only,absmax,True,component_mean,0.0,0.18234321529550424,1.7482554436783575,1.9878227979394327,1.8382713399440218
simple_6,protocol_only,absmax,False,component_mean,0.0,0.18234321529550424,1.7482554436783575,1.9878227979394327,1.8382713399440218
simple_4_standard,protocol_dataset,max,True,component_mean,0.0,0.18939625937133786,1.7159252202001745,1.9728071831903342,1.8560218571008886
simple_4_standard,protocol_dataset,max,False,component_mean,0.0,0.18939625937133786,1.7159252202001745,1.9728071831903342,1.8560218571008886
simple_4_standard,protocol_dataset,absmax,True,component_mean,0.0,0.18939625937133786,1.7159252202001745,1.9728071831903342,1.8560218571008886
simple_4_standard,protocol_dataset,absmax,False,component_mean,0.0,0.18939625937133786,1.7159252202001745,1.9728071831903342,1.8560218571008886
simple_4_standard,protocol_only,max,True,component_mean,0.0,0.18939625937133786,1.7159252202001745,1.9728071831903342,1.8560218571008886
simple_4_standard,protocol_only,max,False,component_mean,0.0,0.18939625937133786,1.7159252202001745,1.9728071831903342,1.8560218571008886
simple_4_standard,protocol_only,absmax,True,component_mean,0.0,0.18939625937133786,1.7159252202001745,1.9728071831903342,1.8560218571008886
simple_4_standard,protocol_only,absmax,False,component_mean,0.0,0.18939625937133786,1.7159252202001745,1.9728071831903342,1.8560218571008886
simple_4_standard,protocol_dataset,minmax,True,component_mean,0.0,0.19035173391862248,1.7169339813062536,1.9742018648602213,1.8569773316481732
simple_4_standard,protocol_dataset,minmax,False,component_mean,0.0,0.19035173391862248,1.7169339813062536,1.9742018648602213,1.8569773316481732
simple_4_standard,protocol_only,minmax,True,component_mean,0.0,0.19035173391862248,1.7169339813062536,1.9742018648602213,1.8569773316481732
simple_4_standard,protocol_only,minmax,False,component_mean,0.0,0.19035173391862248,1.7169339813062536,1.9742018648602213,1.8569773316481732
vs_clean_11,protocol_dataset_dim_family,max,True,block_mean,0.0,0.22134011236662343,1.8093559872053073,1.9840868654399673,1.8274641290333065
vs_clean_11,protocol_dataset_dim_family,max,False,block_mean,0.0,0.22134011236662343,1.8093559872053073,1.9840868654399673,1.8274641290333065
vs_clean_11,protocol_dataset_dim_family,absmax,True,block_mean,0.0,0.22134011236662343,1.8093559872053073,1.9840868654399673,1.8274641290333065
vs_clean_11,protocol_dataset_dim_family,absmax,False,block_mean,0.0,0.22134011236662343,1.8093559872053073,1.9840868654399673,1.8274641290333065
vs_clean_4_standard,protocol_dataset_dim_family,minmax,True,component_mean,0.0,0.2322564211907825,1.7504415505485362,2.037736003834711,1.86034297796506
vs_clean_4_standard,protocol_dataset_dim_family,minmax,False,component_mean,0.0,0.2322564211907825,1.7504415505485362,2.037736003834711,1.86034297796506
vs_clean_11,protocol_dataset_dim,minmax,True,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dataset_dim,minmax,False,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dataset_dim,max,True,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dataset_dim,max,False,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dataset_dim,absmax,True,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dataset_dim,absmax,False,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dim,minmax,True,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dim,minmax,False,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dim,max,True,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dim,max,False,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
vs_clean_11,protocol_dim,absmax,True,block_mean,0.0,0.23554107412644032,1.7789992419593865,2.010365985475094,1.902166671855991
