Dimension,Model,Balanced accuracy,ROC-AUC,F1 positive
8,QSVC-PauliXYZ,0.7591,0.8281,0.7002
8,QSVC-Z/PauliXZ-equivalent,0.7448,0.8385,0.6809
8,QSVC-ZZ,0.7513,0.8499,0.7179
8,SVC-RBF,0.7513,0.8581,0.6684
10,QSVC-PauliXYZ,0.7643,0.8266,0.7157
10,QSVC-Z/PauliXZ-equivalent,0.7591,0.8553,0.7067
10,QSVC-ZZ,0.7331,0.8550,0.7069
10,SVC-RBF,0.7461,0.8370,0.6627
12,QSVC-PauliXYZ,0.7786,0.8475,0.7449
12,QSVC-Z/PauliXZ-equivalent,0.7812,0.8439,0.7515
12,QSVC-ZZ,0.7474,0.8855,0.7291
12,SVC-RBF,0.7878,0.8014,0.7324
