geometry,family_rule,regime,policy,policy_class,n_clean,false_hold,false_block,decision_fpr,n_benign,benign_hold,benign_block,benign_interruption_rate,n_intervened,n_material,allow,hold,block,unsafe_allow,material_held_or_blocked,n_immaterial,integrity_only_hold_block
primary_v136,conformal,I_X,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,conformal,I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,1500,0,0.125,1200,907,0,0.7558333333333334,10800,7008,6356,4444,0,4429,2579,3792,1865
primary_v136,conformal,I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,672,0,0.056,1200,654,0,0.545,10800,7008,6438,4362,0,4496,2512,3792,1850
primary_v136,conformal,I_X,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v136,conformal,I_XF,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,conformal,I_XF,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,2438,0,0.20316666666666666,1200,910,0,0.7583333333333333,10800,7008,6125,4675,0,4231,2777,3792,1898
primary_v136,conformal,I_XF,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,695,0,0.057916666666666665,1200,622,0,0.5183333333333333,10800,7008,6327,4473,0,4365,2643,3792,1830
primary_v136,conformal,I_XF,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v136,conformal,I_Ym,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,conformal,I_Ym,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,570,0,0.0475,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,conformal,I_Ym,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,570,0,0.0475,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,conformal,I_Ym,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v136,conformal,I_XFY,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,conformal,I_XFY,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,3113,0,0.2594166666666667,1200,910,0,0.7583333333333333,10800,7008,6074,4726,0,4180,2828,3792,1898
primary_v136,conformal,I_XFY,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,637,0,0.05308333333333334,1200,590,0,0.49166666666666664,10800,7008,6365,4435,0,4390,2618,3792,1817
primary_v136,conformal,I_XFY,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,637,0,0.05308333333333334,1200,590,0,0.49166666666666664,10800,7008,6365,4435,0,4390,2618,3792,1817
primary_v136,conformal,I_XFY_trusted,serve_always,baseline (always serve),1200,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v136,conformal,I_XFY_trusted,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",1200,0,0,0.0,1200,841,85,0.7716666666666666,10800,7008,776,1737,8287,0,7008,3792,3016
primary_v136,conformal,I_XFY_trusted,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",1200,0,0,0.0,1200,544,85,0.5241666666666667,10800,7008,848,1665,8287,0,7008,3792,2944
primary_v136,conformal,I_XFY_trusted,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",1200,0,0,0.0,1200,544,85,0.5241666666666667,10800,7008,848,1665,8287,0,7008,3792,2944
primary_v137_corrected_jsd,conformal,I_X,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,conformal,I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,1478,0,0.12316666666666666,1200,904,0,0.7533333333333333,10800,7008,6356,4444,0,4429,2579,3792,1865
primary_v137_corrected_jsd,conformal,I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,677,0,0.056416666666666664,1200,650,0,0.5416666666666666,10800,7008,6439,4361,0,4496,2512,3792,1849
primary_v137_corrected_jsd,conformal,I_X,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v137_corrected_jsd,conformal,I_XF,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,conformal,I_XF,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,2417,0,0.20141666666666666,1200,905,0,0.7541666666666667,10800,7008,6127,4673,0,4233,2775,3792,1898
primary_v137_corrected_jsd,conformal,I_XF,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,711,0,0.05925,1200,603,0,0.5025,10800,7008,6338,4462,0,4368,2640,3792,1822
primary_v137_corrected_jsd,conformal,I_XF,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v137_corrected_jsd,conformal,I_Ym,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,conformal,I_Ym,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,570,0,0.0475,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,conformal,I_Ym,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,570,0,0.0475,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,conformal,I_Ym,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,12000,0,1.0,1200,1200,0,1.0,10800,7008,0,10800,0,0,7008,3792,3792
primary_v137_corrected_jsd,conformal,I_XFY,serve_always,baseline (always serve),12000,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,conformal,I_XFY,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",12000,3088,0,0.25733333333333336,1200,905,0,0.7541666666666667,10800,7008,6076,4724,0,4182,2826,3792,1898
primary_v137_corrected_jsd,conformal,I_XFY,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",12000,655,0,0.05458333333333333,1200,576,0,0.48,10800,7008,6381,4419,0,4394,2614,3792,1805
primary_v137_corrected_jsd,conformal,I_XFY,family_calibrated_strict,"sensor-coverage-complete relative to the declared evidence dimensions, abstaining on missing coverage (a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee)",12000,655,0,0.05458333333333333,1200,576,0,0.48,10800,7008,6381,4419,0,4394,2614,3792,1805
primary_v137_corrected_jsd,conformal,I_XFY_trusted,serve_always,baseline (always serve),1200,0,0,0.0,1200,0,0,0.0,10800,7008,10800,0,0,7008,0,3792,0
primary_v137_corrected_jsd,conformal,I_XFY_trusted,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",1200,0,0,0.0,1200,837,85,0.7683333333333333,10800,7008,776,1737,8287,0,7008,3792,3016
primary_v137_corrected_jsd,conformal,I_XFY_trusted,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",1200,0,0,0.0,1200,532,85,0.5141666666666667,10800,7008,857,1656,8287,0,7008,3792,2935
