scope,attack,attack_class,mechanism,strength,regime,rule,n,primary_n_fire,without_ks_n_fire,delta_n_fire,surviving_primary_fires,ablation_role
near_null_original,sham_tiny_gaussian_sigma_0.001,sham,tiny_gaussian,0.001,I_X,union,600,392,0,-392,0,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_gaussian_sigma_0.001,sham,tiny_gaussian,0.001,I_X,family,600,275,0,-275,0,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_gaussian_sigma_0.001,sham,tiny_gaussian,0.001,I_XF,union,600,392,1,-391,1,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_gaussian_sigma_0.001,sham,tiny_gaussian,0.001,I_XF,family,600,247,1,-246,1,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_gaussian_sigma_0.001,sham,tiny_gaussian,0.001,I_Ym,union,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_gaussian_sigma_0.001,sham,tiny_gaussian,0.001,I_Ym,family,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_gaussian_sigma_0.001,sham,tiny_gaussian,0.001,I_XFY,union,600,392,1,-391,1,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_gaussian_sigma_0.001,sham,tiny_gaussian,0.001,I_XFY,family,600,243,1,-242,1,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_scaling_alpha_0.001,sham,tiny_scaling,0.001,I_X,union,600,512,13,-499,13,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_scaling_alpha_0.001,sham,tiny_scaling,0.001,I_X,family,600,375,10,-365,10,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_scaling_alpha_0.001,sham,tiny_scaling,0.001,I_XF,union,600,513,77,-436,77,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_scaling_alpha_0.001,sham,tiny_scaling,0.001,I_XF,family,600,356,63,-293,61,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_scaling_alpha_0.001,sham,tiny_scaling,0.001,I_Ym,union,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_scaling_alpha_0.001,sham,tiny_scaling,0.001,I_Ym,family,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_scaling_alpha_0.001,sham,tiny_scaling,0.001,I_XFY,union,600,513,77,-436,77,descriptive frozen-only; never replaces the prespecified primary family
near_null_original,sham_tiny_scaling_alpha_0.001,sham,tiny_scaling,0.001,I_XFY,family,600,333,61,-272,61,descriptive frozen-only; never replaces the prespecified primary family
core_original,feature_dropout_p_0.020,pipeline,dropout,,I_X,union,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
core_original,feature_dropout_p_0.020,pipeline,dropout,,I_X,family,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
core_original,feature_dropout_p_0.020,pipeline,dropout,,I_XF,union,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
core_original,feature_dropout_p_0.020,pipeline,dropout,,I_XF,family,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
core_original,feature_dropout_p_0.020,pipeline,dropout,,I_Ym,union,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
core_original,feature_dropout_p_0.020,pipeline,dropout,,I_Ym,family,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
core_original,feature_dropout_p_0.020,pipeline,dropout,,I_XFY,union,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
core_original,feature_dropout_p_0.020,pipeline,dropout,,I_XFY,family,600,0,0,0,0,descriptive frozen-only; never replaces the prespecified primary family
