regime,n_cells,n_draws,n_fire,pooled_rate,construction
I_X,60,12000,582,0.0485,"split conformal (reference draws 01-10, calibration draws 11-20, p-value resolution 1/101)"
I_XF,60,12000,433,0.036083333333333335,"split conformal (reference draws 01-10, calibration draws 11-20, p-value resolution 1/101)"
I_XFY,60,12000,400,0.03333333333333333,"split conformal (reference draws 01-10, calibration draws 11-20, p-value resolution 1/101)"
I_Ym,60,12000,804,0.067,"split conformal (reference draws 01-10, calibration draws 11-20, p-value resolution 1/101)"
