nan_occurrence_id,source_release,source_file,source_row_index_zero_based,affected_row_identifier,sensor_column,base_sensor,geometry_value_role,classification,lineage_role,historical_family_nan_treatment,environment,dataset_tag,model,branch,svd_dim,split_seed,model_seed,attack,attack_class,mechanism,strength,side,regime_relevance,gate_a,clean_resample,near_null,previous_union_fire__I_X,previous_family_fire__I_X,other_sensor_fired__I_X,previous_union_fire__I_XF,previous_family_fire__I_XF,other_sensor_fired__I_XF,previous_union_fire__I_Ym,previous_family_fire__I_Ym,other_sensor_fired__I_Ym,previous_union_fire__I_XFY,previous_family_fire__I_XFY,other_sensor_fired__I_XFY
6a938d4dae27d1d1656d,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,2959,gate3c_ood_wed_thu_webattacks|8|44|42|qsvc_zz_r1|scaling_drift_alpha_0.100|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,8,44,42,scaling_drift_alpha_0.100,control,scaling_drift,0.1,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
f4a1d78c7d6c5cfd0932,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,3006,gate3c_ood_wed_thu_webattacks|8|45|43|qsvc_zz_r1|scaling_drift_alpha_0.050|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,8,45,43,scaling_drift_alpha_0.050,control,scaling_drift,0.05,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
5569e6a1c56c493ee0ac,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,3007,gate3c_ood_wed_thu_webattacks|8|45|43|qsvc_zz_r1|scaling_drift_alpha_0.100|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,8,45,43,scaling_drift_alpha_0.100,control,scaling_drift,0.1,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
b1c98e460a3cea5a2328,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,3023,gate3c_ood_wed_thu_webattacks|8|46|42|qsvc_zz_r1|scaling_drift_alpha_0.100|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,8,46,42,scaling_drift_alpha_0.100,control,scaling_drift,0.1,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
e70bcf7762a879e8e6bb,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,3279,gate3c_ood_wed_thu_webattacks|10|44|42|qsvc_zz_r1|scaling_drift_alpha_0.100|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,10,44,42,scaling_drift_alpha_0.100,control,scaling_drift,0.1,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
8ac62041dee0ca9e48f0,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,3326,gate3c_ood_wed_thu_webattacks|10|45|43|qsvc_zz_r1|scaling_drift_alpha_0.050|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,10,45,43,scaling_drift_alpha_0.050,control,scaling_drift,0.05,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
55caa5bb83b433758fff,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,3327,gate3c_ood_wed_thu_webattacks|10|45|43|qsvc_zz_r1|scaling_drift_alpha_0.100|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,10,45,43,scaling_drift_alpha_0.100,control,scaling_drift,0.1,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
545bb412da85fda53b22,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,3343,gate3c_ood_wed_thu_webattacks|10|46|42|qsvc_zz_r1|scaling_drift_alpha_0.100|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,10,46,42,scaling_drift_alpha_0.100,control,scaling_drift,0.1,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
0ba80458a3e830b1d591,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,3599,gate3c_ood_wed_thu_webattacks|12|44|42|qsvc_zz_r1|scaling_drift_alpha_0.100|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,12,44,42,scaling_drift_alpha_0.100,control,scaling_drift,0.1,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
b8fd8f0e91086cbde769,v1.3.6-or-earlier-frozen,publication/artifact/evidence/adversarial/adversarial_unique_observations.csv,3646,gate3c_ood_wed_thu_webattacks|12|45|43|qsvc_zz_r1|scaling_drift_alpha_0.050|integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,integrity_jsd_vs_clean_eval,primary,histogram_support_defect,canonical_original_geometry,NaN_to_minus_infinity,gate3c_ood_wed_thu_webattacks,trc82af0ba__te3ec6a4d7,qsvc_zz_r1,quantum,12,45,43,scaling_drift_alpha_0.050,control,scaling_drift,0.05,feature-side,I_X;I_XF;I_XFY,True,False,False,True,True,True,True,True,True,False,False,,True,True,True
