svd_dim,n_environments,mean_of_environment_differences,min_environment_difference,max_environment_difference,environments_positive_mean,environments_ci_excludes_zero
8,8,0.02693123394961749,-8.696157690368175e-05,0.09381979578588337,7,4
10,8,0.03998368323935399,0.0010737755125274427,0.09508042452349152,8,7
12,8,0.04942736988780821,0.00402536929469604,0.1158501747752948,8,5
