scenario,overall_status,fail_closed_action,input_preprocessing_status,circuit_kernel_status,execution_result_status,evaluation_report_status,circuit_changed,semantic_kernel_max_abs_delta,kernel_symmetry_residual,kernel_diagonal_residual,kernel_minimum_eigenvalue,prediction_disagreement,repeated_estimation_discrepancy,label_changed,label_prior_abs_delta,balanced_accuracy,envelope_sha256
clean,pass,allow,pass,pass,pass,pass,False,0.0,2.220446049250313e-16,5.329070518200751e-15,1.0380212445066532e-16,0.0,0.0,False,0.0,0.6875,45808f37376fa78be141fbd56910295511d6b3897c231a2628cb8d21528683a9
approved_transpilation,pass,allow,pass,pass,pass,pass,True,7.105427357601002e-15,1.1102230246251565e-16,8.43769498715119e-15,-1.1879422463943205e-16,0.0,0.0,False,0.0,0.6875,5cb6d3cb6c483c9f0dfcc6471454da5c88106d89da892f9f465246b68cf9d3ad
circuit_parameter_mutation,fail,block,pass,fail,pass,pass,True,0.15303603699354706,1.1102230246251565e-16,2.7755575615628914e-15,9.474161667055423e-16,0.03125,0.0,False,0.0,0.71875,088c677112fcd11e976de83a20c02a571e312988f8aec12b664d227ee509b28e
kernel_psd_preserving_substitution,fail,block,pass,fail,pass,pass,False,0.04999999999999993,2.220446049250313e-16,5.10702591327572e-15,0.050000000000000204,0.0,0.0,False,0.0,0.6875,c41bd6cbd9098cadad915d36560fb1600060b3ae1ecf643611761db7455a2bb3
label_prior_preserving_corruption,fail,block,pass,pass,pass,fail,False,0.0,2.220446049250313e-16,5.329070518200751e-15,1.0380212445066532e-16,0.0,0.0,True,0.0,0.5625,904aa6a84ee07f7e590bf7586060aac6bf935f755159ff9e31d5a563350535d2
approved_shot_emulator_256,review,hold,pass,review,review,pass,False,0.07678334023428968,0.0,0.0,-0.0927978988688421,0.03125,0.1015625,False,0.0,0.71875,50b7278346e6382dcb8883ca38e9bd2993536f463dd41c6e29b8bd4081f3881c
